commit,rows,slope_rows,selection_rule,length,skip,z_window,smoothing,score,scan_blob
4cfe03a,84,24,old_three,20,0,40,5,1.3829417054283268,8b7e713d0efa019351c94ee7ccbd1174e612bc50
4cfe03a,84,24,new_two,20,0,120,0,1.3979216792918916,8b7e713d0efa019351c94ee7ccbd1174e612bc50
0a91aed,120,36,old_three,20,0,40,5,1.3829417054283268,4be518e5b430d3896ab8c7cc96718043922a3755
0a91aed,120,36,new_two,20,0,120,0,1.3979216792918916,4be518e5b430d3896ab8c7cc96718043922a3755
98f22f2,174,36,old_three,20,0,40,5,1.3829417054283268,4c7b3d8be87c1d2c96490df487123f992414445f
98f22f2,174,36,new_two,20,0,120,0,1.3979216792918916,4c7b3d8be87c1d2c96490df487123f992414445f
f7ad5b1,174,36,old_three,20,0,40,5,1.3829417054283268,4c7b3d8be87c1d2c96490df487123f992414445f
f7ad5b1,174,36,new_two,20,0,120,0,1.3979216792918916,4c7b3d8be87c1d2c96490df487123f992414445f
