pit_policy,candidate,q,target,window,model,n,oos_r2,spearman_ic,partial_ic,cosine_early_late,confirmation_score_spearman,state_UU_share,state_DD_share,state_DIV_share,gate_name,gate_pass,is_in_sample,affects_verdict
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M0,35.0,0.04730711206240501,0.503641456582633,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,35.0,0.15744131454126276,0.42633053221288525,0.1378504756776296,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,0.1378504756776296,,,,,,partial_ic,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,,0.09462804183314101,0.11694985644591749,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,727.0,,,,,,0.47042640990371387,0.3920220082530949,0.1375515818431912,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2022,M1,11.0,0.11009177763747535,0.3545454545454546,0.05887914135121213,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2023,M1,11.0,0.4602249364287506,0.4909090909090909,-0.11166392221329094,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2017,M1,713.0,,,,,,0.520336605890603,0.37727910238429174,0.10238429172510519,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2020,M1,71.0,,0.1476525821596244,0.07504725054138389,,,,,,,,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2020,M1,1443.0,,,,,,0.49272349272349275,0.40332640332640335,0.10395010395010396,state_coverage,True,False,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2018-2020,M1,730.0,,,,,,0.4657534246575342,0.42876712328767125,0.10547945205479452,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021,M1,11.0,0.11108284719356509,0.4090909090909091,0.0951532808592604,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M0,35.0,0.0962442024915342,0.3596638655462185,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,35.0,0.17093806233911502,0.3434173669467787,0.08177371895226346,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,0.08177371895226346,,,,,,partial_ic,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,,-0.26042518600187553,-0.08767220649801617,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,727.0,,,,,,0.4511691884456671,0.3920220082530949,0.15680880330123798,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2022,M1,11.0,0.19786487545014808,0.4090909090909091,0.06765024581001654,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2023,M1,11.0,-0.06401953698286422,0.06363636363636364,-0.365654119623239,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,m1_increment,True,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,partial_ic,False,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2017,M1,713.0,,,,,,0.5371669004207573,0.38288920056100983,0.07994389901823282,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2020,M1,71.0,,0.14503688799463446,0.05094732575610428,,,,,,,,True,False
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2020,M1,1443.0,,,,,,0.5038115038115039,0.40540540540540543,0.09078309078309078,state_coverage,False,False,False
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2018-2020,M1,730.0,,,,,,0.4712328767123288,0.4273972602739726,0.10136986301369863,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021,M1,11.0,0.22503067044456115,0.6818181818181819,0.7198105361171916,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M0,35.0,0.07672325142131031,0.4773109243697479,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,35.0,0.18822947530003686,0.49075630252100844,0.1328044377614438,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,,,,,,,m1_increment,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,0.1328044377614438,,,,,,partial_ic,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,,-0.2607365898130742,-0.05532341236355241,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,727.0,,,,,,0.45667125171939477,0.39614855570839064,0.14718019257221457,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2022,M1,11.0,0.14757734450378512,0.3727272727272728,-0.20159824892504868,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2023,M1,11.0,0.21327261011395615,0.44545454545454555,-0.6131661898526826,,,,,,,,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,2021-2023,,35.0,,,,,,,,,interaction_axis_corr,True,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,structure,,3.0,,,,,,,,,beta_h_same_sign,True,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,structure,,110.0,,,,,,,,,hard_sort_complete,True,False,True
