pit_policy,candidate,component,is_candidate,window,executable,n_obs,ann_return,sharpe,maxdd,turnover,baseline_sharpe,sharpe_difference,baseline_maxdd,maxdd_difference,baseline_turnover,turnover_ratio,partial_ic,gate_name,gate_pass,affects_verdict
legal_deadline,B3_dual_target,B3_1000,False,2021-2023,False,727,0.06999961028510766,0.5870447344075099,-0.18328830627336734,13.14305364511692,1.000930606530241,-0.4138858721227311,-0.1312448943202561,-0.05204341195311124,8.42503438789546,1.5600000000000003,,,,False
legal_deadline,B3_dual_target,B3_1000,False,post-IM,True,352,0.04726434738117158,0.4372719021229295,-0.10022540026952065,13.224431818181818,0.8446896774523189,-0.40741777532938944,-0.12103448714531062,0.020809086875789973,8.352272727272727,1.5833333333333335,,,,False
legal_deadline,B3_dual_target,B3_1000,False,pre-IM,False,375,0.09134044373093567,0.7082638139762876,-0.18328830627336734,13.066666666666668,1.127664287358439,-0.4194004733821515,-0.1312448943202561,-0.05204341195311124,8.493333333333332,1.5384615384615388,,,,False
legal_deadline,B3_dual_target,B3_500,False,2021-2023,True,727,0.1024840679486201,0.8146511686398447,-0.13954678442297475,9.099037138927098,1.000930606530241,-0.18627943789039636,-0.1312448943202561,-0.008301890102718645,8.42503438789546,1.0800000000000003,,,,False
legal_deadline,B3_dual_target,B3_500,False,post-IM,True,352,0.022884649971611493,0.22163718234128904,-0.1395467844229752,8.352272727272727,0.8446896774523189,-0.6230524951110299,-0.12103448714531062,-0.01851229727766457,8.352272727272727,1.0,,,,False
legal_deadline,B3_dual_target,B3_500,False,pre-IM,True,375,0.17720138828970544,1.2325806681114118,-0.11172466544517456,9.8,1.127664287358439,0.10491638075297272,-0.1312448943202561,0.019520228875081536,8.493333333333332,1.153846153846154,,,,False
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.08624183911686388,0.8089905330819487,-0.1474466685369641,11.121045392022008,1.000930606530241,-0.19194007344829234,-0.1312448943202561,-0.016201774216707987,8.42503438789546,1.32,,maxdd_worsening,True,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.08624183911686388,0.8089905330819487,-0.1474466685369641,11.121045392022008,1.000930606530241,-0.19194007344829234,-0.1312448943202561,-0.016201774216707987,8.42503438789546,1.32,,partial_ic,True,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.08624183911686388,0.8089905330819487,-0.1474466685369641,11.121045392022008,1.000930606530241,-0.19194007344829234,-0.1312448943202561,-0.016201774216707987,8.42503438789546,1.32,,sharpe_improvement,False,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.08624183911686388,0.8089905330819487,-0.1474466685369641,11.121045392022008,1.000930606530241,-0.19194007344829234,-0.1312448943202561,-0.016201774216707987,8.42503438789546,1.32,,turnover_multiple,True,True
legal_deadline,B3_dual_target,aggregate,True,post-IM,True,352,0.03507449867639154,0.3888299363752042,-0.11027658302515464,10.788352272727273,0.8446896774523189,-0.45585974107711474,-0.12103448714531062,0.010757904120155981,8.352272727272727,1.2916666666666667,,post_im_maxdd_difference,True,True
legal_deadline,B3_dual_target,aggregate,True,post-IM,True,352,0.03507449867639154,0.3888299363752042,-0.11027658302515464,10.788352272727273,0.8446896774523189,-0.45585974107711474,-0.12103448714531062,0.010757904120155981,8.352272727272727,1.2916666666666667,,post_im_min_days,True,True
legal_deadline,B3_dual_target,aggregate,True,post-IM,True,352,0.03507449867639154,0.3888299363752042,-0.11027658302515464,10.788352272727273,0.8446896774523189,-0.45585974107711474,-0.12103448714531062,0.010757904120155981,8.352272727272727,1.2916666666666667,,post_im_partial_ic,False,True
legal_deadline,B3_dual_target,aggregate,True,post-IM,True,352,0.03507449867639154,0.3888299363752042,-0.11027658302515464,10.788352272727273,0.8446896774523189,-0.45585974107711474,-0.12103448714531062,0.010757904120155981,8.352272727272727,1.2916666666666667,,post_im_sharpe_difference,False,True
legal_deadline,B3_dual_target,blend,True,2021-2023,False,727,0.08624183911686388,0.8089905330819487,-0.1474466685369641,11.121045392022008,1.000930606530241,-0.19194007344829234,-0.1312448943202561,-0.016201774216707987,8.42503438789546,1.32,,,,False
legal_deadline,B3_dual_target,blend,True,post-IM,True,352,0.03507449867639154,0.3888299363752042,-0.11027658302515464,10.788352272727273,0.8446896774523189,-0.45585974107711474,-0.12103448714531062,0.010757904120155981,8.352272727272727,1.2916666666666667,,,,False
legal_deadline,B3_dual_target,blend,True,pre-IM,False,375,0.1342709160103206,1.11875501094131,-0.1474466685369641,11.433333333333334,1.127664287358439,-0.00890927641712902,-0.1312448943202561,-0.016201774216707987,8.493333333333332,1.3461538461538463,,,,False
legal_deadline,B3_dual_target,q1000,False,2021-2023,False,35,,,,,,,,,,,0.1795860288114909,partial_ic_leg,True,False
legal_deadline,B3_dual_target,q1000,False,post-IM,True,17,,,,,,,,,,,0.2760677055408446,post_im_partial_ic_leg,True,False
legal_deadline,B3_dual_target,q500,False,2021-2023,False,35,,,,,,,,,,,0.1068067373707532,partial_ic_leg,True,False
legal_deadline,B3_dual_target,q500,False,post-IM,True,17,,,,,,,,,,,-0.09314856247178215,post_im_partial_ic_leg,False,False
legal_deadline,B3_unified,aggregate,True,2021-2023,False,727,0.10435868317083981,0.8236769593030718,-0.12521639651537642,9.773039889958733,1.000930606530241,-0.1772536472271692,-0.1312448943202561,0.0060284978048796845,8.42503438789546,1.16,,maxdd_worsening,True,True
legal_deadline,B3_unified,aggregate,True,2021-2023,False,727,0.10435868317083981,0.8236769593030718,-0.12521639651537642,9.773039889958733,1.000930606530241,-0.1772536472271692,-0.1312448943202561,0.0060284978048796845,8.42503438789546,1.16,,partial_ic,False,True
legal_deadline,B3_unified,aggregate,True,2021-2023,False,727,0.10435868317083981,0.8236769593030718,-0.12521639651537642,9.773039889958733,1.000930606530241,-0.1772536472271692,-0.1312448943202561,0.0060284978048796845,8.42503438789546,1.16,,sharpe_improvement,False,True
legal_deadline,B3_unified,aggregate,True,2021-2023,False,727,0.10435868317083981,0.8236769593030718,-0.12521639651537642,9.773039889958733,1.000930606530241,-0.1772536472271692,-0.1312448943202561,0.0060284978048796845,8.42503438789546,1.16,,turnover_multiple,True,True
