date,symbol,open,high,low,close,volume,open_interest
2015-04-16,IC00.CFE,7681.0,7790.0,7480.2,7707.8,116888,6643
2015-04-16,IC01.CFE,7520.0,7757.0,7464.4,7652.4,5285,856
2015-04-16,IC02.CFE,7752.8,7762.8,7516.2,7643.2,743,215
2015-04-16,IC03.CFE,7799.6,7799.6,7525.0,7625.2,484,226
2015-04-17,IC00.CFE,7722.0,7918.8,7631.2,7758.2,114214,9144
2015-04-17,IC01.CFE,7651.4,7804.6,7585.4,7674.8,7740,1352
2015-04-17,IC02.CFE,7649.0,7714.0,7569.6,7608.8,571,298
2015-04-17,IC03.CFE,7625.2,7706.2,7527.4,7562.0,460,365
2015-04-20,IC00.CFE,7760.0,7857.0,7582.0,7622.2,98781,10706
2015-04-20,IC01.CFE,7719.4,7771.2,7475.4,7505.0,5564,1491
2015-04-20,IC02.CFE,7590.0,7698.2,7419.0,7419.4,454,343
2015-04-20,IC03.CFE,7559.8,7638.4,7302.4,7388.2,425,469
2015-04-21,IC00.CFE,7650.2,8147.0,7640.2,8140.4,132545,16732
2015-04-21,IC01.CFE,7550.2,8093.2,7530.2,8075.0,6806,1761
2015-04-21,IC02.CFE,7481.6,8024.0,7471.0,8024.0,610,401
2015-04-21,IC03.CFE,7462.0,7947.6,7414.4,7941.8,632,630
2015-04-22,IC00.CFE,8158.0,8237.8,8104.4,8189.8,121034,14854
2015-04-22,IC01.CFE,8135.2,8175.0,8041.2,8126.6,7002,1718
2015-04-22,IC02.CFE,8075.2,8075.2,7962.6,8029.0,702,423
2015-04-22,IC03.CFE,7959.2,8019.8,7900.2,7926.8,751,739
2015-04-23,IC00.CFE,8193.0,8378.8,8160.4,8265.6,132278,14805
2015-04-23,IC01.CFE,8108.0,8306.8,8096.8,8204.0,5799,1761
2015-04-23,IC02.CFE,8029.0,8180.0,7984.4,8102.0,461,464
2015-04-23,IC03.CFE,7942.0,8113.0,7918.0,8043.0,486,800
2015-04-24,IC00.CFE,8247.8,8349.8,8123.8,8327.2,126381,14603
2015-04-24,IC01.CFE,8167.8,8267.4,8035.4,8240.0,6943,2235
2015-04-24,IC02.CFE,8080.0,8151.0,7948.2,8120.0,595,384
2015-04-24,IC03.CFE,8015.8,8053.0,7862.4,8039.0,357,893
2015-04-27,IC00.CFE,8368.0,8548.0,8292.0,8347.2,125335,15187
2015-04-27,IC01.CFE,8220.4,8490.0,8220.4,8262.6,7851,2596
2015-04-27,IC02.CFE,8177.6,8419.8,8140.0,8187.0,1046,608
2015-04-27,IC03.CFE,8039.0,8320.8,8026.6,8068.2,633,909
2015-04-28,IC00.CFE,8308.0,8419.0,8011.6,8147.0,164120,15900
2015-04-28,IC01.CFE,8262.0,8335.0,7940.6,8054.0,9281,2753
2015-04-28,IC02.CFE,8144.2,8257.8,7881.8,7993.4,849,607
2015-04-28,IC03.CFE,8074.0,8141.4,7777.2,7894.2,537,929
2015-04-29,IC00.CFE,8138.0,8309.0,8079.0,8302.2,134158,17677
2015-04-29,IC01.CFE,8066.6,8209.0,7997.0,8209.0,5535,2889
2015-04-29,IC02.CFE,8076.6,8118.0,7933.8,8118.0,679,690
2015-04-29,IC03.CFE,7900.0,8025.8,7825.6,8024.0,392,979
2015-04-30,IC00.CFE,8320.0,8408.0,8291.2,8338.8,120118,16354
2015-04-30,IC01.CFE,8236.8,8314.4,8204.6,8234.6,5500,3046
2015-04-30,IC02.CFE,8139.4,8224.8,8122.2,8154.0,354,711
2015-04-30,IC03.CFE,8056.8,8123.0,8020.4,8041.0,233,989
2015-05-04,IC00.CFE,8370.2,8527.4,8202.4,8347.2,101734,16271
2015-05-04,IC01.CFE,8274.8,8384.0,8112.4,8226.4,4384,3328
2015-05-04,IC02.CFE,8200.0,8299.0,8025.8,8140.4,539,764
2015-05-04,IC03.CFE,8060.0,8132.0,7919.8,8031.2,231,986
2015-05-05,IC00.CFE,8334.8,8345.0,8090.0,8145.0,109987,15884
2015-05-05,IC01.CFE,8217.2,8220.0,7970.4,8019.4,6804,3923
2015-05-05,IC02.CFE,8121.8,8127.6,7892.2,7935.4,522,841
2015-05-05,IC03.CFE,8012.0,8016.0,7780.0,7830.6,210,971
2015-05-06,IC00.CFE,8168.0,8280.6,7970.0,8040.8,111973,15456
2015-05-06,IC01.CFE,8118.2,8166.6,7858.8,7933.0,7587,4019
2015-05-06,IC02.CFE,7935.4,8071.0,7774.6,7835.2,640,845
2015-05-06,IC03.CFE,7830.6,7950.0,7601.0,7705.0,448,1005
2015-05-07,IC00.CFE,8020.0,8068.0,7901.0,7911.4,109599,15127
2015-05-07,IC01.CFE,7900.0,7948.0,7811.0,7834.4,7818,4074
2015-05-07,IC02.CFE,7804.0,7859.6,7715.0,7716.0,692,827
2015-05-07,IC03.CFE,7710.8,7720.0,7610.0,7612.0,393,910
2015-05-08,IC00.CFE,7933.4,8171.4,7921.0,8171.2,121062,16258
2015-05-08,IC01.CFE,7894.8,8085.0,7854.0,8085.0,11857,4183
2015-05-08,IC02.CFE,7775.8,7976.6,7755.6,7976.6,1654,1126
2015-05-08,IC03.CFE,7660.8,7859.0,7644.6,7859.0,368,932
2015-05-11,IC00.CFE,8170.0,8508.0,8144.0,8489.8,124722,16314
2015-05-11,IC01.CFE,8118.8,8403.4,8041.4,8394.0,15844,5421
2015-05-11,IC02.CFE,7976.6,8228.0,7926.0,8211.6,1714,1395
2015-05-11,IC03.CFE,7899.8,8116.6,7854.2,8109.0,343,983
2015-05-12,IC00.CFE,8499.6,8648.0,8415.4,8647.8,152019,14671
2015-05-12,IC01.CFE,8394.0,8565.0,8311.0,8557.6,30321,11079
2015-05-12,IC02.CFE,8220.2,8349.4,8152.0,8323.8,1296,1486
2015-05-12,IC03.CFE,8132.6,8230.0,8042.2,8226.0,461,1057
2015-05-13,IC00.CFE,8595.0,8779.0,8492.0,8695.8,189658,14624
2015-05-13,IC01.CFE,8500.0,8656.6,8400.0,8571.6,54812,16503
2015-05-13,IC02.CFE,8319.6,8404.6,8207.4,8367.4,2162,1931
2015-05-13,IC03.CFE,8182.2,8265.4,8100.0,8203.0,987,1325
2015-05-14,IC00.CFE,8689.0,8813.6,8645.2,8760.4,112711,8971
2015-05-14,IC01.CFE,8530.0,8680.0,8477.6,8603.0,133372,23309
2015-05-14,IC02.CFE,8367.4,8445.0,8255.0,8345.0,2254,2273
2015-05-14,IC03.CFE,8192.6,8278.0,8100.4,8162.8,779,1357
2015-05-15,IC00.CFE,8754.8,8769.8,8605.4,8755.2,36739,0
2015-05-15,IC01.CFE,8610.0,8718.0,8482.0,8579.8,182662,28064
2015-05-15,IC02.CFE,8348.0,8483.2,8266.0,8348.6,2397,1979
2015-05-15,IC03.CFE,8147.0,8318.4,8101.4,8216.6,764,1431
2015-05-18,IC00.CFE,8640.6,8822.2,8580.0,8798.4,202968,32183
2015-05-18,IC01.CFE,8597.6,8726.6,8485.0,8705.6,2668,490
2015-05-18,IC02.CFE,8385.0,8586.0,8346.4,8557.6,2430,2156
2015-05-18,IC03.CFE,8282.8,8428.8,8222.2,8378.2,795,1475
2015-05-19,IC00.CFE,8805.6,9154.4,8736.2,9120.8,228488,33556
2015-05-19,IC01.CFE,8705.6,9071.8,8643.0,9043.6,3071,620
2015-05-19,IC02.CFE,8591.0,9024.4,8498.0,8969.0,5180,2468
2015-05-19,IC03.CFE,8432.6,8848.0,8350.0,8800.4,1037,1596
2015-05-20,IC00.CFE,9121.8,9463.6,9111.2,9286.8,239847,35302
2015-05-20,IC01.CFE,9003.2,9397.0,9003.2,9203.0,3463,846
2015-05-20,IC02.CFE,9000.8,9339.0,8963.8,9156.2,4424,2407
2015-05-20,IC03.CFE,8838.0,9181.6,8826.6,8990.8,1150,1600
2015-05-21,IC00.CFE,9311.4,9755.0,9301.0,9734.6,256460,38615
2015-05-21,IC01.CFE,9244.2,9675.8,9236.6,9666.6,3449,848
2015-05-21,IC02.CFE,9195.0,9613.2,9192.8,9594.2,5113,2598
2015-05-21,IC03.CFE,9070.4,9458.8,9042.6,9435.0,1699,1901
2015-05-22,IC00.CFE,9783.0,9867.4,9525.0,9741.2,285617,37707
2015-05-22,IC01.CFE,9652.2,9793.0,9470.0,9680.2,4414,1114
2015-05-22,IC02.CFE,9601.0,9733.6,9400.0,9611.8,5058,2482
2015-05-22,IC03.CFE,9500.2,9583.4,9250.0,9449.4,1494,1882
2015-05-25,IC00.CFE,9610.0,10020.8,9455.4,9966.6,262755,39837
2015-05-25,IC01.CFE,9460.2,9956.0,9411.6,9912.2,3597,1059
2015-05-25,IC02.CFE,9498.0,9848.6,9316.8,9804.0,4823,2514
2015-05-25,IC03.CFE,9249.0,9675.6,9151.0,9646.6,910,1888
2015-05-26,IC00.CFE,9988.0,10535.0,9986.2,10532.2,258963,40848
2015-05-26,IC01.CFE,9919.0,10482.2,9919.0,10482.2,3984,1211
2015-05-26,IC02.CFE,9808.0,10395.4,9808.0,10395.0,5326,2717
2015-05-26,IC03.CFE,9649.0,10200.6,9649.0,10200.6,1227,2078
2015-05-27,IC00.CFE,10598.4,10718.0,10366.0,10552.0,307346,42800
2015-05-27,IC01.CFE,10512.8,10721.8,10362.0,10582.0,6728,2344
2015-05-27,IC02.CFE,10395.2,10730.2,10304.0,10582.4,7783,3404
2015-05-27,IC03.CFE,10245.0,10503.0,10085.2,10404.0,1878,2053
2015-05-28,IC00.CFE,10580.0,10758.8,9818.0,9977.2,360766,40149
2015-05-28,IC01.CFE,10637.8,10778.0,9958.2,10059.0,11122,4345
2015-05-28,IC02.CFE,10600.0,10808.0,9900.0,10036.0,11907,4368
2015-05-28,IC03.CFE,10450.0,10669.8,9750.0,9840.0,2904,2569
2015-05-29,IC00.CFE,10126.8,10370.0,9901.0,10121.0,354628,40059
2015-05-29,IC01.CFE,10098.0,10436.8,10010.0,10170.0,10791,5250
2015-05-29,IC02.CFE,10066.0,10479.6,9920.0,10245.0,10630,4785
2015-05-29,IC03.CFE,9858.2,10200.0,9700.0,10035.0,2898,3040
2015-06-01,IC00.CFE,10170.2,11089.8,10168.0,11025.6,257035,45365
2015-06-01,IC01.CFE,10600.0,11065.6,10228.0,11022.6,7174,5923
2015-06-01,IC02.CFE,10260.0,11142.2,10260.0,11130.0,8648,5671
2015-06-01,IC03.CFE,10099.8,10950.0,10063.2,10906.0,1764,3110
2015-06-02,IC00.CFE,11058.0,11385.0,10830.0,11250.4,280807,44075
2015-06-02,IC01.CFE,11058.8,11459.8,10894.2,11312.0,7565,6404
2015-06-02,IC02.CFE,11002.2,11618.6,11002.2,11430.0,9661,5968
2015-06-02,IC03.CFE,10922.0,11548.0,10906.6,11387.6,3169,3044
2015-06-03,IC00.CFE,11281.2,11436.0,10809.0,11103.2,334871,44367
2015-06-03,IC01.CFE,11352.2,11511.8,10860.0,11134.4,9180,6731
2015-06-03,IC02.CFE,11506.2,11684.2,10966.6,11248.4,12460,6544
2015-06-03,IC03.CFE,11441.4,11627.2,10851.2,11115.2,2852,3000
2015-06-04,IC00.CFE,11127.0,11255.4,10030.0,10869.2,376160,35808
2015-06-04,IC01.CFE,11134.4,11278.2,10125.6,10918.2,17262,8649
2015-06-04,IC02.CFE,11435.0,11435.0,10171.8,10895.4,14256,5941
2015-06-04,IC03.CFE,11176.8,11263.6,10059.8,10697.0,4172,3148
2015-06-05,IC00.CFE,10900.0,11258.0,10540.0,10949.0,337852,33977
2015-06-05,IC01.CFE,10915.0,11388.0,10555.4,10944.6,13551,8723
2015-06-05,IC02.CFE,10980.0,11254.6,10540.0,10900.4,13897,5399
2015-06-05,IC03.CFE,10657.0,11059.2,10350.0,10691.8,2097,3126
2015-06-08,IC00.CFE,10840.0,10939.2,10384.2,10602.6,305756,31732
2015-06-08,IC01.CFE,10830.0,10916.6,10356.6,10529.8,17139,9489
2015-06-08,IC02.CFE,10896.4,10896.4,10270.2,10451.0,12290,6069
2015-06-08,IC03.CFE,10692.6,10692.6,10025.6,10195.0,3019,3194
2015-06-09,IC00.CFE,10599.0,10950.0,10453.0,10700.4,322063,31957
2015-06-09,IC01.CFE,10542.4,10855.2,10360.0,10603.0,15362,9096
2015-06-09,IC02.CFE,10450.8,10766.0,10222.2,10478.0,10152,6226
2015-06-09,IC03.CFE,10274.0,10501.8,10000.0,10230.0,1824,3258
2015-06-10,IC00.CFE,10608.0,11326.0,10600.0,10987.8,312337,34462
2015-06-10,IC01.CFE,10601.8,11220.0,10495.4,10853.2,17065,8043
2015-06-10,IC02.CFE,10570.0,11160.0,10380.8,10775.0,11747,6324
2015-06-10,IC03.CFE,10152.2,10942.4,10152.2,10543.8,2610,3273
2015-06-11,IC00.CFE,11094.8,11290.0,10920.2,11258.8,267772,33448
2015-06-11,IC01.CFE,10920.2,11158.0,10821.0,11133.8,11819,8576
2015-06-11,IC02.CFE,10855.4,11071.0,10740.0,11044.8,9440,6368
2015-06-11,IC03.CFE,10617.0,10835.0,10502.6,10811.8,1455,3337
2015-06-12,IC00.CFE,11293.0,11585.0,11221.8,11427.8,253743,29351
2015-06-12,IC01.CFE,11121.0,11483.4,11117.2,11400.0,14465,9005
2015-06-12,IC02.CFE,11098.8,11412.2,11028.4,11375.6,11040,6395
2015-06-12,IC03.CFE,10844.4,11170.0,10799.0,11168.4,2041,3241
2015-06-15,IC00.CFE,11461.4,11560.0,11023.0,11228.6,237446,27571
2015-06-15,IC01.CFE,11406.0,11590.0,11022.0,11222.6,35585,15112
2015-06-15,IC02.CFE,11355.4,11535.2,10888.0,11177.8,12139,6938
2015-06-15,IC03.CFE,11181.0,11329.8,10670.0,10969.2,1995,3287
