date,divergent,pos_incumbent,pos_slope20,pos_fused,abs_incumbent,abs_slope20,follows,larger_abs_leg,fwd_ret_t1,window
2014-03-21,False,0,0,0,0.2825725014738179,0.0,incumbent_ew,incumbent_ew,0.004897055530094674,2014-2020
2014-03-24,False,0,0,0,0.37532207973344295,0.0,incumbent_ew,incumbent_ew,0.000644056505008761,2014-2020
2014-03-25,False,0,0,0,0.46444861852576924,0.0,incumbent_ew,incumbent_ew,0.0041304123801384485,2014-2020
2014-03-26,False,0,0,0,0.5057894906292921,0.0,incumbent_ew,incumbent_ew,-0.01734581712110128,2014-2020
2014-03-27,False,0,0,0,0.4877182138982226,0.0,incumbent_ew,incumbent_ew,-0.023764847983790693,2014-2020
2014-03-28,False,0,0,0,0.48440663187707333,0.0,incumbent_ew,incumbent_ew,-0.007325135495705293,2014-2020
2014-03-31,False,0,0,0,0.4300325856801213,0.0,incumbent_ew,incumbent_ew,0.016489263513733587,2014-2020
2014-04-01,False,0,0,0,0.3594307158116552,0.0,incumbent_ew,incumbent_ew,-0.0029773073859686305,2014-2020
2014-04-02,False,0,0,0,0.33597905244415216,0.0,incumbent_ew,incumbent_ew,-0.00040016439376711066,2014-2020
2014-04-03,False,0,0,0,0.33392066881018745,0.0,incumbent_ew,incumbent_ew,0.011563446720094683,2014-2020
2014-04-04,False,0,0,0,0.2883892457107363,0.0,incumbent_ew,incumbent_ew,0.008632844190639921,2014-2020
2014-04-08,False,0,0,0,0.26080488947176056,0.0,incumbent_ew,incumbent_ew,0.01050152311053465,2014-2020
2014-04-09,False,0,0,0,0.24228621784047677,0.0,incumbent_ew,incumbent_ew,0.004504097538588825,2014-2020
2014-04-10,False,0,0,0,0.21562730635598443,0.0,incumbent_ew,incumbent_ew,-0.004962569653229665,2014-2020
2014-04-11,False,0,0,0,0.23874218197721042,0.0,incumbent_ew,incumbent_ew,0.007421945321604895,2014-2020
2014-04-14,False,0,0,0,0.2795233358261334,0.0,incumbent_ew,incumbent_ew,-0.005638848562365906,2014-2020
2014-04-15,False,0,0,0,0.2967607327407672,0.0,incumbent_ew,incumbent_ew,0.0006769633942619868,2014-2020
2014-04-16,False,0,0,0,0.349830736709132,0.0,incumbent_ew,incumbent_ew,-0.0006101774523651904,2014-2020
2014-04-17,False,0,0,0,0.3454905083891121,0.0,incumbent_ew,incumbent_ew,0.004117384120123857,2014-2020
2014-04-18,False,0,0,0,0.2901487298636069,0.0,incumbent_ew,incumbent_ew,-0.015676661270688674,2014-2020
2014-04-21,False,0,0,0,0.17163162800306225,0.0,incumbent_ew,incumbent_ew,-0.007177838623773358,2014-2020
2014-04-22,False,0,0,0,0.03751937589472183,0.0,incumbent_ew,incumbent_ew,-0.004090051949211582,2014-2020
2014-04-23,True,1,0,1,0.12396496157749057,0.0,incumbent_ew,incumbent_ew,-0.010717583373226813,2014-2020
2014-04-24,True,1,0,1,0.21497642316992968,0.0,incumbent_ew,incumbent_ew,-0.02152620030393143,2014-2020
2014-04-25,True,1,0,1,0.2994659540273502,0.0,incumbent_ew,incumbent_ew,-0.03253511423659333,2014-2020
2014-04-28,True,1,0,1,0.35488532385024446,0.0,incumbent_ew,incumbent_ew,0.013571338031865388,2014-2020
2014-04-29,True,1,0,1,0.36065209649432595,0.0,incumbent_ew,incumbent_ew,0.00878331649447639,2014-2020
2014-04-30,True,1,0,1,0.3304405093434727,0.0,incumbent_ew,incumbent_ew,0.010020640860112229,2014-2020
2014-05-05,True,1,0,1,0.36777279560133186,0.0,incumbent_ew,incumbent_ew,0.006387163789443262,2014-2020
2014-05-06,True,1,0,1,0.3755776703405876,0.0,incumbent_ew,incumbent_ew,-0.017486169621550474,2014-2020
2014-05-07,True,1,0,1,0.3520745985744689,0.0,incumbent_ew,incumbent_ew,0.00045674528615452514,2014-2020
2014-05-08,True,1,0,1,0.345137997918311,0.0,incumbent_ew,incumbent_ew,-0.010623122401921481,2014-2020
2014-05-09,True,1,0,1,0.3371353971373888,0.0,incumbent_ew,incumbent_ew,0.02356833196785524,2014-2020
2014-05-12,True,1,0,1,0.2868053663129365,0.0,incumbent_ew,incumbent_ew,-0.0009462973510601658,2014-2020
2014-05-13,True,1,0,1,0.22672073135181922,0.0,incumbent_ew,incumbent_ew,-9.10093667629841e-05,2014-2020
2014-05-14,True,1,0,1,0.20573043216064574,0.0,incumbent_ew,incumbent_ew,-0.018779667065686623,2014-2020
2014-05-15,True,1,0,1,0.1508952009574496,0.0,incumbent_ew,incumbent_ew,-0.0029409356945951926,2014-2020
2014-05-16,True,1,0,1,0.14369823711670074,0.0,incumbent_ew,incumbent_ew,-0.004398474062826119,2014-2020
2014-05-19,True,1,0,1,0.12340367244718627,0.0,incumbent_ew,incumbent_ew,0.003823984528075308,2014-2020
2014-05-20,True,1,0,1,0.11393441720297563,0.0,incumbent_ew,incumbent_ew,0.008566690499687946,2014-2020
2014-05-21,True,1,0,1,0.0826396241826319,0.0,incumbent_ew,incumbent_ew,0.0008300293687930616,2014-2020
2014-05-22,True,1,0,1,0.12338851704102652,0.0,incumbent_ew,incumbent_ew,0.011453686943100005,2014-2020
2014-05-23,True,1,0,1,0.17353743115901418,0.0,incumbent_ew,incumbent_ew,0.012228348478931728,2014-2020
2014-05-26,True,1,0,1,0.258681808631701,0.0,incumbent_ew,incumbent_ew,-0.0034215860795610564,2014-2020
2014-05-27,True,1,0,1,0.3116018276144278,0.0,incumbent_ew,incumbent_ew,0.012831897657169744,2014-2020
2014-05-28,True,1,0,1,0.42303388407044196,0.0,incumbent_ew,incumbent_ew,-0.011071093644424768,2014-2020
2014-05-29,True,1,0,1,0.4935944492407941,0.0,incumbent_ew,incumbent_ew,0.00239107008299444,2014-2020
2014-05-30,True,1,0,1,0.5339316805653237,0.0,incumbent_ew,incumbent_ew,-0.0017111794129479052,2014-2020
2014-06-03,True,1,0,1,0.5352087183937855,0.0,incumbent_ew,incumbent_ew,-0.007552152294794834,2014-2020
2014-06-04,True,1,0,1,0.5593194282563007,0.0,incumbent_ew,incumbent_ew,0.01221495595365163,2014-2020
2014-06-05,True,1,0,1,0.5515802065368541,0.0,incumbent_ew,incumbent_ew,-0.0027561004030270952,2014-2020
2014-06-06,True,1,0,1,0.5457095199526916,0.0,incumbent_ew,incumbent_ew,-0.00647838336319323,2014-2020
2014-06-09,True,1,0,1,0.5295264993658515,0.0,incumbent_ew,incumbent_ew,0.011946037006428378,2014-2020
2014-06-10,True,1,0,1,0.5514779285297651,0.0,incumbent_ew,incumbent_ew,0.005746796277866673,2014-2020
2014-06-11,True,1,0,1,0.5853154551470123,0.0,incumbent_ew,incumbent_ew,-0.001653924435747467,2014-2020
2014-06-12,True,1,0,1,0.6009740745450454,0.0,incumbent_ew,incumbent_ew,0.011162581101618274,2014-2020
2014-06-13,True,1,0,1,0.6125487247829854,0.0,incumbent_ew,incumbent_ew,0.006584633875797885,2014-2020
2014-06-16,True,1,0,1,0.638904597948445,0.0,incumbent_ew,incumbent_ew,-0.009041948530212007,2014-2020
2014-06-17,True,1,0,1,0.6485494314271365,0.0,incumbent_ew,incumbent_ew,-0.00649871678301267,2014-2020
2014-06-18,True,1,0,1,0.6538563783210078,0.0,incumbent_ew,incumbent_ew,-0.028074989488003688,2014-2020
2014-06-19,True,1,0,1,0.6328500339285215,0.0,incumbent_ew,incumbent_ew,0.0102803488262736,2014-2020
2014-06-20,True,1,0,1,0.6114823806864523,0.0,incumbent_ew,incumbent_ew,0.010227759991888297,2014-2020
