spot,fut,pair,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
2000｜中证2000,500｜中证500,现货2000+期货500,full,0.26946845046880813,1.6768765359973576,-0.15796863665084182,1.7058351339982405,10.620925684485005,0.5656887755102041,3068
2000｜中证2000,500｜中证500,现货2000+期货500,train,0.3081270988476922,1.8275121339386466,-0.12426467398331409,2.4796033254717798,11.338605741066198,0.5776986951364176,1707
2000｜中证2000,500｜中证500,现货2000+期货500,val,0.11838843940330886,1.0316684369230624,-0.12699636123069225,0.932219145934844,8.76203576341128,0.5358974358974359,727
2000｜中证2000,500｜中证500,现货2000+期货500,holdout,0.33140346142690386,1.82030781812318,-0.15796863665084226,2.097906701311883,11.206624605678233,0.5688622754491018,634
2000｜中证2000,1000｜中证1000,现货2000+期货1000,full,0.2567312756590263,1.5057690716093894,-0.17389729002673227,1.4763385652505594,10.620925684485005,0.5593112244897959,3068
2000｜中证2000,1000｜中证1000,现货2000+期货1000,train,0.27166878688472734,1.5334325162851223,-0.16895191324192582,1.607965140327941,11.338605741066198,0.5634638196915777,1707
2000｜中证2000,1000｜中证1000,现货2000+期货1000,val,0.13582205256619242,1.0687947492948604,-0.12681891893990516,1.0709920388972367,8.76203576341128,0.5435897435897435,727
2000｜中证2000,1000｜中证1000,现货2000+期货1000,holdout,0.3470722427994594,1.7926799996931975,-0.17099522321364857,2.0297189376209235,11.206624605678233,0.5658682634730539,634
2000｜中证2000,300｜沪深300,现货2000+期货300,full,0.19838519592521073,1.430046495453788,-0.14907961978307305,1.3307331760966563,10.624388653407237,0.5593112244897959,3067
2000｜中证2000,300｜沪深300,现货2000+期货300,train,0.23265742821412705,1.6156271026987454,-0.12418386983261442,1.8734915293566106,11.34525205158265,0.5776986951364176,1706
2000｜中证2000,300｜沪深300,现货2000+期货300,val,0.06979044765565101,0.6336028176371411,-0.12564638613943657,0.5554512931092247,8.76203576341128,0.5282051282051282,727
2000｜中证2000,300｜沪深300,现货2000+期货300,holdout,0.24829171622235538,1.6273558766984964,-0.1490796197830735,1.6654973804175641,11.206624605678233,0.5479041916167665,634
1000｜中证1000,500｜中证500,现货1000+期货500,full,0.2584323393336073,1.603052836348995,-0.1755577072020752,1.4720649036281814,10.620925684485005,0.5586734693877551,3068
1000｜中证1000,500｜中证500,现货1000+期货500,train,0.2971327536106708,1.7531134895660738,-0.12696593950384039,2.340255621088704,11.338605741066198,0.5622775800711743,1707
1000｜中证1000,500｜中证500,现货1000+期货500,val,0.11035372277977765,0.9549051857102859,-0.13127805713385676,0.8406105726203446,8.76203576341128,0.5358974358974359,727
1000｜中证1000,500｜中证500,现货1000+期货500,holdout,0.3159288610902376,1.7416856773276,-0.17555770720207542,1.799572722413082,11.206624605678233,0.5748502994011976,634
1000｜中证1000,1000｜中证1000,现货1000+期货1000,full,0.2456951645238256,1.440943335381142,-0.18460945895072267,1.330891525928844,10.620925684485005,0.5561224489795918,3068
1000｜中证1000,1000｜中证1000,现货1000+期货1000,train,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
1000｜中证1000,1000｜中证1000,现货1000+期货1000,val,0.1277873359426612,1.004273070622632,-0.13112304389356433,0.9745604750175659,8.76203576341128,0.5435897435897435,727
1000｜中证1000,1000｜中证1000,现货1000+期货1000,holdout,0.3315976424627931,1.7309605608340426,-0.18460945895072256,1.796211550304721,11.206624605678233,0.5718562874251497,634
1000｜中证1000,300｜沪深300,现货1000+期货300,full,0.187345486449242,1.3352100132024673,-0.19497329066082636,0.9608776967053728,10.624388653407237,0.5414540816326531,3067
1000｜中证1000,300｜沪深300,现货1000+期货300,train,0.2216566384605542,1.5231490406768515,-0.12185971620344926,1.8189492423442897,11.34525205158265,0.5563463819691578,1706
1000｜中证1000,300｜沪深300,现货1000+期货300,val,0.06175573103211979,0.542779626456816,-0.12996887354290199,0.4751578539436565,8.76203576341128,0.5153846153846153,727
1000｜中证1000,300｜沪深300,现货1000+期货300,holdout,0.23281711588568904,1.5257826523307776,-0.1664374332093853,1.398826642518545,11.206624605678233,0.5329341317365269,634
500｜中证500,500｜中证500,现货500+期货500,full,0.24737396410604595,1.576040742005557,-0.17747421485993253,1.393858619412855,10.620925684485005,0.5548469387755102,3068
500｜中证500,500｜中证500,现货500+期货500,train,0.2875331241294489,1.73614500725457,-0.12032779824896112,2.3895818614958446,11.338605741066198,0.5599051008303677,1707
500｜中证500,500｜中证500,现货500+期货500,val,0.08985464524142964,0.8129112964252668,-0.13243726631321073,0.6784694953528089,8.76203576341128,0.5461538461538461,727
