family,best_form,best_k,direction,ic,ic_pvalue,partial_ic_vs_ew,partial_ic_pvalue,ic_2014-2019,ic_2020-2026,net_sharpe,net_ann,turnover,gate1_significant_and_independent,gate2_stable_halves,gate3_net_positive,PASS,rep_abs_ic,null_max_q95,p_vs_max_null,gate0_selection_corrected,PASS_probe
T1,T1_lb5zw60,40,1.0,0.1951750200404626,0.11288711288711288,0.18891472152370242,0.11588411588411589,0.29242979242979245,0.21133603238866397,0.6849744969874326,0.1663413201264649,5.046982291290206,False,True,True,False,0.28940857211269855,0.3174407119711819,0.1028971028971029,False,False
T2,T2_lb5zw60,40,1.0,0.19570943237775312,0.10789210789210789,0.1872636622840597,0.12387612387612387,0.31807081807081805,0.1402834008097166,0.6388750101604128,0.15516530325444666,5.755330683050235,False,True,True,False,0.2632692154202251,0.3174407119711819,0.16183816183816183,False,False
T3,T3_lb20zw250,40,1.0,0.14208011086688926,0.3256743256743257,0.09663648307162462,0.5584415584415584,0.2074604109712328,0.2874493927125506,0.37867617826035166,0.08010048059438786,6.8674918092464505,False,True,True,False,0.14208011086688926,0.3174407119711819,0.8261738261738262,False,False
