signal,kou_jing,window,leg,reading,start,end,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
equal_weight,500,full,symmetric,i_spot_close,2015-04-17,2026-04-29,0.36585943241628427,1.4769362384649465,-0.2521408527526582,1.4510121165298835,21.78998505231689,0.5364485981308411,2676
equal_weight,500,full,symmetric,i5_spot_close_nocarry,2015-04-17,2026-04-29,0.464372236611959,1.867805952298197,-0.2327498425710559,1.995155964370594,21.78998505231689,0.5461682242990654,2676
equal_weight,500,full,symmetric,ii_fut_close,2015-04-17,2026-04-29,0.39258640625605934,1.4340771294978265,-0.27621620213730413,1.4213011518452086,21.78998505231689,0.5439252336448598,2676
equal_weight,500,full,symmetric,iii_fut_open_entry,2015-04-17,2026-04-29,0.39553235978551154,1.4458626978678366,-0.27911533195142,1.4170929164663513,21.78998505231689,0.5431775700934579,2676
equal_weight,500,full,symmetric,iv_fut_open_both,2015-04-17,2026-04-29,0.3917798602210301,1.432539019480956,-0.2816148657652596,1.3911902667368372,21.78998505231689,0.5435514018691588,2676
equal_weight,500,full,short_seg,i_spot_close,2015-04-17,2026-04-29,0.07868425432188318,0.4162417331503604,-0.3049042519901458,0.25806217462794245,10.894992526158445,0.4694464414090582,2676
equal_weight,500,full,short_seg,i5_spot_close_nocarry,2015-04-17,2026-04-29,0.1771970585175579,0.9285558931735663,-0.2047370794477602,0.8654859148890551,10.894992526158445,0.4867002156721783,2676
equal_weight,500,full,short_seg,ii_fut_close,2015-04-17,2026-04-29,0.10541122816165828,0.47438746816901994,-0.31866786518102974,0.3307871287924685,10.894992526158445,0.4831056793673616,2676
equal_weight,500,full,short_seg,iii_fut_open_entry,2015-04-17,2026-04-29,0.10835718169111058,0.48812717475953826,-0.31333998555036535,0.3458134508456903,10.894992526158445,0.48166786484543495,2676
equal_weight,500,full,short_seg,iv_fut_open_both,2015-04-17,2026-04-29,0.10460468212662911,0.47064882737668656,-0.32384305524138357,0.3230104225908433,10.894992526158445,0.5017972681524083,2676
equal_weight,500,full,longflat,i_spot_close,2015-04-17,2026-04-29,0.287175178094401,1.7875077226909277,-0.16664338782248322,1.7232917660094274,10.894992526158445,0.5592011412268189,2676
equal_weight,500,full,longflat,i5_spot_close_nocarry,2015-04-17,2026-04-29,0.287175178094401,1.7875077226909277,-0.16664338782248322,1.7232917660094274,10.894992526158445,0.5592011412268189,2676
equal_weight,500,full,longflat,ii_fut_close,2015-04-17,2026-04-29,0.287175178094401,1.7875077226909277,-0.16664338782248322,1.7232917660094274,10.894992526158445,0.5592011412268189,2676
equal_weight,500,full,longflat,iii_fut_open_entry,2015-04-17,2026-04-29,0.287175178094401,1.7875077226909277,-0.16664338782248322,1.7232917660094274,10.894992526158445,0.5592011412268189,2676
equal_weight,500,full,longflat,iv_fut_open_both,2015-04-17,2026-04-29,0.287175178094401,1.7875077226909277,-0.16664338782248322,1.7232917660094274,10.894992526158445,0.5592011412268189,2676
equal_weight,500,2014-2020,symmetric,i_spot_close,2015-04-17,2020-12-31,0.4208026936302334,1.4981435225216766,-0.2521408527526582,1.6689191340327023,24.253945480631277,0.5319454414931802,1394
equal_weight,500,2014-2020,symmetric,i5_spot_close_nocarry,2015-04-17,2020-12-31,0.5766615594083477,2.0424596566959763,-0.2073636229269693,2.780919581113994,24.253945480631277,0.5434314429289304,1394
equal_weight,500,2014-2020,symmetric,ii_fut_close,2015-04-17,2020-12-31,0.4599930609872405,1.448613309637669,-0.2634309559980237,1.7461617570514054,24.253945480631277,0.5384063173007897,1394
equal_weight,500,2014-2020,symmetric,iii_fut_open_entry,2015-04-17,2020-12-31,0.46684147416875993,1.4720962876294605,-0.2644150102877203,1.7655634362843906,24.253945480631277,0.5369705671213209,1394
equal_weight,500,2014-2020,symmetric,iv_fut_open_both,2015-04-17,2020-12-31,0.459062508816046,1.448092525664646,-0.2713170541916604,1.691978081450644,24.253945480631277,0.5369705671213209,1394
equal_weight,500,2014-2020,short_seg,i_spot_close,2015-04-17,2020-12-31,0.08096327233988805,0.3654725959050999,-0.3049042519901458,0.26553671131652407,12.126972740315638,0.45382585751978893,1394
equal_weight,500,2014-2020,short_seg,i5_spot_close_nocarry,2015-04-17,2020-12-31,0.23682213811800232,1.055610078429378,-0.2047370794477602,1.1567134725023211,12.126972740315638,0.4736147757255937,1394
equal_weight,500,2014-2020,short_seg,ii_fut_close,2015-04-17,2020-12-31,0.12015363969689508,0.45055102350717696,-0.31866786518102974,0.37704975250214784,12.126972740315638,0.4656992084432718,1394
equal_weight,500,2014-2020,short_seg,iii_fut_open_entry,2015-04-17,2020-12-31,0.12700205287841448,0.4770337281162681,-0.31333998555036535,0.4053170955993439,12.126972740315638,0.46174142480211083,1394
equal_weight,500,2014-2020,short_seg,iv_fut_open_both,2015-04-17,2020-12-31,0.11922308752570059,0.447352052994544,-0.32384305524138357,0.36815082366622015,12.126972740315638,0.48021108179419525,1394
equal_weight,500,2014-2020,longflat,i_spot_close,2015-04-17,2020-12-31,0.3398394212903454,1.9607944448514714,-0.11981468370513515,2.836375398917655,12.126972740315638,0.566145092460882,1394
equal_weight,500,2014-2020,longflat,i5_spot_close_nocarry,2015-04-17,2020-12-31,0.3398394212903454,1.9607944448514714,-0.11981468370513515,2.836375398917655,12.126972740315638,0.566145092460882,1394
equal_weight,500,2014-2020,longflat,ii_fut_close,2015-04-17,2020-12-31,0.3398394212903454,1.9607944448514714,-0.11981468370513515,2.836375398917655,12.126972740315638,0.566145092460882,1394
equal_weight,500,2014-2020,longflat,iii_fut_open_entry,2015-04-17,2020-12-31,0.3398394212903454,1.9607944448514714,-0.11981468370513515,2.836375398917655,12.126972740315638,0.566145092460882,1394
equal_weight,500,2014-2020,longflat,iv_fut_open_both,2015-04-17,2020-12-31,0.3398394212903454,1.9607944448514714,-0.11981468370513515,2.836375398917655,12.126972740315638,0.566145092460882,1394
equal_weight,500,2021-2023,symmetric,i_spot_close,2021-01-04,2023-12-29,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,727
equal_weight,500,2021-2023,symmetric,i5_spot_close_nocarry,2021-01-04,2023-12-29,0.21871447767073893,1.2932775030561323,-0.142632272647075,1.533415079292184,16.85006877579092,0.5399449035812672,727
equal_weight,500,2021-2023,symmetric,ii_fut_close,2021-01-04,2023-12-29,0.18295587815988976,1.082710982477953,-0.14751041029624234,1.2402912973563218,16.85006877579092,0.5440771349862259,727
