signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
incumbent_ew_lf,500,full,full,0.2725348511553824,1.734757227413714,-0.16664338782248356,1.6354375335053764,10.551386623164763,0.5596681557115507,3065
incumbent_ew_lf,500,full,long,0.2725348511553824,1.734757227413714,-0.16664338782248356,1.6354375335053764,10.551386623164763,0.5596681557115507,3065
incumbent_ew_lf,500,full,short,0.0,0.0,0.0,,0.0,,3065
incumbent_ew_lf,500,2014-2020,full,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707
incumbent_ew_lf,500,2014-2020,long,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707
incumbent_ew_lf,500,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_ew_lf,500,2021-2023,full,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
incumbent_ew_lf,500,2021-2023,long,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
incumbent_ew_lf,500,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_ew_lf,500,2024-2026,full,0.32835172922766925,1.856478952187239,-0.16292553423965028,2.0153484888666404,10.8716323296355,0.5525525525525525,631
incumbent_ew_lf,500,2024-2026,long,0.32835172922766925,1.856478952187239,-0.16292553423965028,2.0153484888666404,10.8716323296355,0.5525525525525525,631
incumbent_ew_lf,500,2024-2026,short,0.0,0.0,0.0,,0.0,,631
incumbent_ew_lf,1000,full,full,0.25094694932687256,1.4711261081047946,-0.17525563798797328,1.4318908778506374,10.551386623164763,0.5583918315252074,3065
incumbent_ew_lf,1000,full,long,0.25094694932687256,1.4711261081047946,-0.17525563798797328,1.4318908778506374,10.551386623164763,0.5583918315252074,3065
incumbent_ew_lf,1000,full,short,0.0,0.0,0.0,,0.0,,3065
incumbent_ew_lf,1000,2014-2020,full,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
incumbent_ew_lf,1000,2014-2020,long,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
incumbent_ew_lf,1000,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_ew_lf,1000,2021-2023,full,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,727
incumbent_ew_lf,1000,2021-2023,long,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,727
incumbent_ew_lf,1000,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_ew_lf,1000,2024-2026,full,0.3529463099037945,1.8385209769929967,-0.1752556379879726,2.013894183124747,10.8716323296355,0.5765765765765766,631
incumbent_ew_lf,1000,2024-2026,long,0.3529463099037945,1.8385209769929967,-0.1752556379879726,2.013894183124747,10.8716323296355,0.5765765765765766,631
incumbent_ew_lf,1000,2024-2026,short,0.0,0.0,0.0,,0.0,,631
incumbent_ew_lf,blend,full,full,0.26174090024112745,1.609892322100946,-0.166666862423816,1.5704435568934414,10.551386623164763,0.5603063178047224,3065
incumbent_ew_lf,blend,full,long,0.26174090024112745,1.609892322100946,-0.166666862423816,1.5704435568934414,10.551386623164763,0.5603063178047224,3065
incumbent_ew_lf,blend,full,short,0.0,0.0,0.0,,0.0,,3065
incumbent_ew_lf,blend,2014-2020,full,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,1707
incumbent_ew_lf,blend,2014-2020,long,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,1707
incumbent_ew_lf,blend,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_ew_lf,blend,2021-2023,full,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,727
incumbent_ew_lf,blend,2021-2023,long,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,727
incumbent_ew_lf,blend,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_ew_lf,blend,2024-2026,full,0.3406490195657319,1.8588901569075682,-0.16666686242381534,2.0438917167559034,10.8716323296355,0.5765765765765766,631
incumbent_ew_lf,blend,2024-2026,long,0.3406490195657319,1.8588901569075682,-0.16666686242381534,2.0438917167559034,10.8716323296355,0.5765765765765766,631
