variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner,machine
"('D1', 20, 250, 40)",0.015783,0.936064,83,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 60, 5)",0.065273,0.153846,0,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 60, 10)",0.080389,0.244755,3,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 60, 20)",0.161933,0.105894,8,True,abs_partial_ic_vs_equal_weight
"('D2', 5, 60, 40)",0.10833,0.455544,44,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 250, 5)",0.064947,0.166833,0,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 250, 10)",0.052004,0.417582,2,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 250, 20)",0.130532,0.180819,10,False,abs_partial_ic_vs_equal_weight
"('D2', 5, 250, 40)",0.005316,0.961039,35,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 60, 5)",0.057329,0.191808,0,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 60, 10)",0.02682,0.691309,0,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 60, 20)",0.024207,0.857143,21,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 60, 40)",0.032015,0.863137,67,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 250, 5)",0.019642,0.647353,0,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 250, 10)",0.015371,0.842158,0,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 250, 20)",0.020741,0.887113,4,False,abs_partial_ic_vs_equal_weight
"('D2', 20, 250, 40)",0.06177,0.663337,52,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 60, 5)",0.040106,0.406593,0,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 60, 10)",0.021032,0.757243,0,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 60, 20)",0.064357,0.562438,22,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 60, 40)",0.053645,0.746254,54,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 250, 5)",0.027344,0.571429,0,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 250, 10)",0.000417,0.997003,2,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 250, 20)",0.095774,0.360639,13,False,abs_partial_ic_vs_equal_weight
"('D3', 5, 250, 40)",0.060501,0.683317,32,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 60, 5)",0.015562,0.741259,0,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 60, 10)",0.024567,0.691309,0,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 60, 20)",0.056388,0.585415,30,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 60, 40)",0.12615,0.435564,92,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 250, 5)",0.028103,0.529471,0,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 250, 10)",0.044697,0.503497,2,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 250, 20)",0.081716,0.434565,10,False,abs_partial_ic_vs_equal_weight
"('D3', 20, 250, 40)",0.103871,0.522478,52,False,abs_partial_ic_vs_equal_weight
