date,n_full,sum_sd,sum_var,ew_ret_full
2012-01-04,0,,,
2012-01-05,0,,,
2012-01-06,0,,,
2012-01-09,0,,,
2012-01-10,0,,,
2012-01-11,0,,,
2012-01-12,0,,,
2012-01-13,0,,,
2012-01-16,0,,,
2012-01-17,0,,,
2012-01-18,0,,,
2012-01-19,0,,,
2012-01-20,0,,,
2012-01-30,0,,,
2012-01-31,0,,,
2012-02-01,0,,,
2012-02-02,0,,,
2012-02-03,0,,,
2012-02-06,0,,,
2012-02-07,0,,,
2012-02-08,0,,,
2012-02-09,0,,,
2012-02-10,0,,,
2012-02-13,0,,,
2012-02-14,0,,,
2012-02-15,0,,,
2012-02-16,0,,,
2012-02-17,0,,,
2012-02-20,0,,,
2012-02-21,0,,,
2012-02-22,0,,,
2012-02-23,0,,,
2012-02-24,0,,,
2012-02-27,0,,,
2012-02-28,0,,,
2012-02-29,0,,,
2012-03-01,0,,,
2012-03-02,0,,,
2012-03-05,0,,,
2012-03-06,0,,,
2012-03-07,0,,,
2012-03-08,0,,,
2012-03-09,0,,,
2012-03-12,0,,,
2012-03-13,0,,,
2012-03-14,0,,,
2012-03-15,0,,,
2012-03-16,0,,,
2012-03-19,0,,,
2012-03-20,0,,,
2012-03-21,0,,,
2012-03-22,0,,,
2012-03-23,0,,,
2012-03-26,0,,,
2012-03-27,0,,,
2012-03-28,0,,,
2012-03-29,0,,,
2012-03-30,0,,,
2012-04-05,0,,,
2012-04-06,1148,31.480550316334202,0.9024931931802918,0.007099421422745375
2012-04-09,1875,51.84793597143054,1.4977117332209184,-0.010756589914388997
2012-04-10,2025,55.364445794343894,1.5818663928347176,0.011889358534290871
2012-04-11,2082,56.39989550783268,1.5956153066153733,0.005567180246369836
2012-04-12,2086,56.041153467464994,1.5730611688689717,0.022143982716152866
2012-04-13,2120,56.0753255655634,1.5527873310786553,0.008247667950969177
2012-04-16,2136,56.061986410726014,1.5410321044129485,0.0018211696233773117
2012-04-17,2143,56.53433350448369,1.5624179188173875,-0.014069875431623666
2012-04-18,2128,55.73730662965475,1.5302369103558966,0.023487497037170093
2012-04-19,2138,54.95172441412495,1.4807755296139147,-0.0002948211275776917
2012-04-20,2086,51.99235611171897,1.3630503737018802,0.009574908575065393
2012-04-23,2133,52.80921138835256,1.3794691039447418,-0.020213405075747606
2012-04-24,2180,53.74755996585429,1.3992550845553255,-0.011454174359097449
