underlying,theta,exposure,sharpe_full,ann_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
300｜沪深300,-1.0,1.0,0.38133218050958667,0.08041307803185248,0.0,0.6245700952256131,-0.7403624621605235,0.7927916492020651,-0.7403624621605235
300｜沪深300,-0.7,0.9556858911697621,0.33364616713881756,0.06905598823199616,3.992829204693612,0.5859761914733684,-0.7152477859345504,0.592266268352515,-0.7152477859345504
300｜沪深300,-0.65,0.9263603779732812,0.28499573737890466,0.058309600798693684,5.110821382007822,0.4942265138291577,-0.7034467166364099,0.6033195095529122,-0.7034467166364099
300｜沪深300,-0.6,0.8914956011730205,0.34753370727969174,0.0700846057176439,6.388526727509778,0.5317205176816502,-0.4469388296574283,0.5492090148811787,-0.4469388296574283
300｜沪深300,-0.55,0.8582600195503421,0.4672808090019067,0.09180323152255596,7.027379400260756,0.5755437475842503,-0.23140513995294323,0.8504121966331615,-0.23140513995294323
300｜沪深300,-0.5,0.8331704138155751,0.4845786643723785,0.09345340979860955,7.825945241199479,0.6217383277413387,-0.14147199192500948,0.6824130818364303,-0.14147199192500948
300｜沪深300,-0.45,0.7963506028022157,0.5736529620144535,0.107268481910644,9.263363754889179,0.778374297609611,-0.19975791841974674,0.6962218048251724,-0.19975791841974674
300｜沪深300,-0.4,0.7627891821440208,0.5508060610695166,0.10033044687676981,9.103650586701434,0.7179231050546299,-0.127578343371175,0.7075076790731619,-0.127578343371175
300｜沪深300,-0.35,0.7344411860540893,0.5347341589642854,0.09606143804368282,9.423076923076923,0.6872400858703575,-0.19271430689669763,0.7880349862892141,-0.19271430689669763
300｜沪深300,-0.3,0.7047898338220919,0.4945827321471186,0.08662525256258165,9.902216427640157,0.6744719574368286,-0.29363630025759296,0.718268141818928,-0.29363630025759296
300｜沪深300,-0.25,0.6679700228087325,0.6054778769026803,0.10318228118259144,11.020208604954368,0.7295609416080083,-0.07171025884690575,0.8923537022822402,-0.07171025884690575
300｜沪深300,-0.2,0.6288693385467579,0.6724466204539425,0.10918703017506237,10.38135593220339,0.7913766615487944,-0.14766815320784335,1.1365356440302694,-0.14766815320784335
300｜沪深300,-0.15,0.5956337569240795,0.7249940196007457,0.1131669680373207,9.742503259452413,0.8313785918414778,-0.12166029253336068,1.2660875665383808,-0.12166029253336068
300｜沪深300,-0.1,0.5689149560117303,0.8330584736032947,0.12627508544079982,9.902216427640157,0.981903614839068,-0.08723040592906577,1.3171102185035621,-0.08723040592906577
300｜沪深300,-0.05,0.5395894428152492,0.9115782660745272,0.13121763659442848,10.38135593220339,1.0803926754615065,0.0038470307614456196,1.322943398340069,0.0038470307614456196
300｜沪深300,0.0,0.49006190941674815,0.8862988598941601,0.1190133625984021,10.620925684485005,1.0366502799349768,0.024964205868672932,1.3215220901917601,0.024964205868672932
300｜沪深300,0.05,0.45324209840338875,0.7955855797094356,0.10348503250512836,10.780638852672752,0.8837804287372046,-0.10190133997075554,1.4418279012469322,-0.10190133997075554
300｜沪深300,0.1,0.42196155099380905,0.6236689794583427,0.0796305871556419,10.780638852672752,0.758345763672216,-0.3576944613967932,1.2241712086699812,-0.3576944613967932
300｜沪深300,0.15,0.3890518084066471,0.6452465932308364,0.0808591600070068,10.301499348109518,0.6991982372668049,-0.28738175081777334,1.42417622164556,-0.28738175081777334
300｜沪深300,0.2,0.35614206581948515,0.7491456606591687,0.08785045532633141,9.982073011734029,0.9214847330625406,-0.15179194283571926,1.2000261869987954,-0.15179194283571926
300｜沪深300,0.25,0.3255131964809384,0.7155502740697787,0.0812757286527106,9.66264667535854,0.8542280294135859,-0.10675663211667152,1.1873666269205225,-0.10675663211667152
300｜沪深300,0.3,0.29488432714239166,0.7986813707937584,0.08745508152675853,9.183507170795307,0.8730733785273697,0.06962336887511049,1.311051160887303,0.06962336887511049
300｜沪深300,0.35,0.260019550342131,0.8988352494690591,0.09324769402419326,9.103650586701434,0.8976603762398117,0.46733785311470283,1.2937228416682485,0.46733785311470283
300｜沪深300,0.4,0.2287390029325513,0.7652533964572348,0.0734838895196795,8.464797913950456,0.9892628155406749,0.08938926434044474,0.8655421869155059,0.08938926434044474
300｜沪深300,0.45,0.19876181166503748,0.7512147634068843,0.06703923201860242,8.305084745762711,0.9902848104998425,0.1941603614426946,0.6697898398086009,0.1941603614426946
300｜沪深300,0.5,0.162593678722711,0.579208650638241,0.04629667418761872,7.985658409387224,0.7989485896905043,0.3065365566250848,0.2793113043522167,0.3065365566250848
300｜沪深300,0.55,0.12512218963831867,0.43042847642921594,0.03207053343333073,7.825945241199479,0.5332812425160197,0.5646864628274663,-0.006584926534089269,0.5332812425160197
300｜沪深300,0.6,0.093841642228739,0.5216566218808419,0.033840214027099726,6.388526727509778,0.6024204046302206,0.23429970432786434,0.680285790629557,0.23429970432786434
300｜沪深300,0.65,0.06093189964157706,0.17402175957077384,0.009672751643202165,5.4302477183833116,0.2265251044272668,-0.053325215179616005,0.2998444387657231,-0.053325215179616005
300｜沪深300,0.7,0.027696318018898665,0.07557395485487932,0.0031431651240459144,2.8748370273794004,-0.03718746947598612,0.09662999985893092,0.5583171927656763,-0.03718746947598612
500｜中证500（现役分量）,-1.0,1.0,0.36778123892069137,0.09123512741872444,0.0,0.40327563129483324,-0.2679233181258634,0.7498834019763484,-0.2679233181258634
500｜中证500（现役分量）,-0.7,0.9556858911697621,0.295935814376457,0.0719917968882514,3.9915281850765725,0.35805893346682904,-0.21207545523809873,0.49721214877010106,-0.21207545523809873
