signal,kou_jing,window,leg,pair,sharpe_hi,sharpe_lo,d_ann,d_maxdd,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs,ci_excludes_zero
equal_weight,500,full,symmetric,ii_fut_close−i_spot_close,1.4340771294978265,1.4769362384649465,0.02672697383977507,-0.02407534938464595,-0.042859108967119974,-0.1629415659345746,0.08093889017095361,0.49765023497650235,-0.03649324527954269,0.06264664100146791,20,10000,0,2676,False
equal_weight,500,full,symmetric,iii_fut_open_entry−ii_fut_close,1.4458626978678366,1.4340771294978265,0.0029459535294522055,-0.002899129814115886,0.011785568370010102,-0.0077656278471214145,0.0316470298457073,0.24087591240875914,0.01186765370940649,0.010088730754962897,20,10000,0,2676,False
equal_weight,500,full,symmetric,iv_fut_open_both−iii_fut_open_entry,1.432539019480956,1.4458626978678366,-0.0037524995644814263,-0.002499533813839605,-0.013323678386880644,-0.038101139792882974,0.00950846136436452,0.2645735426457354,-0.013346321524061464,0.012099899869679754,20,10000,0,2676,False
equal_weight,500,full,symmetric,iii_fut_open_entry−i_spot_close,1.4458626978678366,1.4769362384649465,0.029672927369227275,-0.026974479198761836,-0.031073540597109872,-0.15451488688734474,0.09369639178113694,0.6331366863313669,-0.024625591570136197,0.06366166607839505,20,10000,0,2676,False
equal_weight,500,full,short_seg,ii_fut_close−i_spot_close,0.47438746816901994,0.4162417331503604,0.026726973839775098,-0.013763613190883928,0.05814573501865955,-0.06071109236536965,0.17679692372175104,0.33486651334866513,0.060331444441421106,0.06036827063580677,20,10000,0,2676,False
equal_weight,500,full,short_seg,iii_fut_open_entry−ii_fut_close,0.48812717475953826,0.47438746816901994,0.0029459535294523026,0.005327879630664389,0.013739706590518319,-0.009317611144617224,0.037610968757801504,0.24397560243975602,0.01394296586508817,0.011950194731359942,20,10000,0,2676,False
equal_weight,500,full,short_seg,iv_fut_open_both−iii_fut_open_entry,0.47064882737668656,0.48812717475953826,-0.003752499564481468,-0.010503069691018219,-0.0174783473828517,-0.0492359315231314,0.010921773674122474,0.24147585241475852,-0.017757193363216992,0.015309813587233375,20,10000,0,2676,False
equal_weight,500,full,short_seg,iii_fut_open_entry−i_spot_close,0.48812717475953826,0.4162417331503604,0.0296729273692274,-0.008435733560219538,0.07188544160917787,-0.05191973305457778,0.1922904297030851,0.24907509249075094,0.07427441030650928,0.06236879730832861,20,10000,0,2676,False
equal_weight,500,full,longflat,ii_fut_close−i_spot_close,1.7875077226909277,1.7875077226909277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,2676,False
equal_weight,500,full,longflat,iii_fut_open_entry−ii_fut_close,1.7875077226909277,1.7875077226909277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,2676,False
equal_weight,500,full,longflat,iv_fut_open_both−iii_fut_open_entry,1.7875077226909277,1.7875077226909277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,2676,False
equal_weight,500,full,longflat,iii_fut_open_entry−i_spot_close,1.7875077226909277,1.7875077226909277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,2676,False
equal_weight,500,2014-2020,symmetric,ii_fut_close−i_spot_close,1.448613309637669,1.4981435225216766,0.039190367357007094,-0.011290103245365501,-0.04953021288400761,-0.22702884303307255,0.12408120820462473,0.5945405459454055,-0.04265414083565557,0.09034237519516079,20,10000,0,1394,False
equal_weight,500,2014-2020,symmetric,iii_fut_open_entry−ii_fut_close,1.4720962876294605,1.448613309637669,0.006848413181519408,-0.000984054289696612,0.023482977991791554,-0.006171335030541247,0.054454993883289,0.1255874412558744,0.02418864063302219,0.015453713555949095,20,10000,0,1394,False
equal_weight,500,2014-2020,symmetric,iv_fut_open_both−iii_fut_open_entry,1.448092525664646,1.4720962876294605,-0.00777896535271394,-0.006902043903940114,-0.024003761964814574,-0.05616228953973741,0.004026038510087084,0.12108789121087891,-0.024557186609189735,0.015487669225612077,20,10000,0,1394,False
equal_weight,500,2014-2020,symmetric,iii_fut_open_entry−i_spot_close,1.4720962876294605,1.4981435225216766,0.0460387805385265,-0.012274157535062113,-0.026047234892216053,-0.2081709614736811,0.15263262563943947,0.787921207879212,-0.01846550020263339,0.09368546132953165,20,10000,0,1394,False
equal_weight,500,2014-2020,short_seg,ii_fut_close−i_spot_close,0.45055102350717696,0.3654725959050999,0.039190367357007025,-0.013763613190883928,0.08507842760207707,-0.08655208385696285,0.24541839163022927,0.31756824317568244,0.08631326460292904,0.08473871315660574,20,10000,0,1394,False
equal_weight,500,2014-2020,short_seg,iii_fut_open_entry−ii_fut_close,0.4770337281162681,0.45055102350717696,0.006848413181519408,0.005327879630664389,0.026482704609091134,-0.006735086038410122,0.06321593425643436,0.13258674132586742,0.027568065996165028,0.017830743031931186,20,10000,0,1394,False
equal_weight,500,2014-2020,short_seg,iv_fut_open_both−iii_fut_open_entry,0.447352052994544,0.4770337281162681,-0.0077789653527138986,-0.010503069691018219,-0.029681675121724094,-0.07136276285898598,0.003571481111825363,0.11758824117588242,-0.03097522259597249,0.019237306761664123,20,10000,0,1394,False
equal_weight,500,2014-2020,short_seg,iii_fut_open_entry−i_spot_close,0.4770337281162681,0.3654725959050999,0.04603878053852643,-0.008435733560219538,0.1115611322111682,-0.06710610856130043,0.282715210920991,0.2176782321767823,0.11388133059909408,0.08981697258423986,20,10000,0,1394,False
equal_weight,500,2014-2020,longflat,ii_fut_close−i_spot_close,1.9607944448514714,1.9607944448514714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,1394,False
equal_weight,500,2014-2020,longflat,iii_fut_open_entry−ii_fut_close,1.9607944448514714,1.9607944448514714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,1394,False
equal_weight,500,2014-2020,longflat,iv_fut_open_both−iii_fut_open_entry,1.9607944448514714,1.9607944448514714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,1394,False
equal_weight,500,2014-2020,longflat,iii_fut_open_entry−i_spot_close,1.9607944448514714,1.9607944448514714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,1394,False
equal_weight,500,2021-2023,symmetric,ii_fut_close−i_spot_close,1.082710982477953,1.1134717589937406,-0.00577340013960817,0.014259468008565146,-0.03076077651578757,-0.13615751022514064,0.08708671262543174,0.5847415258474152,-0.028419000253218633,0.05705090646171236,20,10000,0,727,False
equal_weight,500,2021-2023,symmetric,iii_fut_open_entry−ii_fut_close,1.0698214794446048,1.082710982477953,-0.0021164962149092525,-4.440892098500626e-16,-0.012889503033348237,-0.04333243561160017,0.011956267739316802,0.34976502349765026,-0.013119875895174635,0.014020491038605072,20,10000,0,727,False
equal_weight,500,2021-2023,symmetric,iv_fut_open_both−iii_fut_open_entry,1.1085111784898847,1.0698214794446048,0.007039432018081326,0.0009835047378510264,0.03868969904527986,-0.005231278786620516,0.0901438646804773,0.10788921107889211,0.039449594263963404,0.024094335151699727,20,10000,0,727,False
equal_weight,500,2021-2023,symmetric,iii_fut_open_entry−i_spot_close,1.0698214794446048,1.1134717589937406,-0.007889896354517423,0.014259468008564702,-0.043650279549135806,-0.14952270467290082,0.07693458066161749,0.4467553244675532,-0.04153887614839327,0.057834992340946995,20,10000,0,727,False
equal_weight,500,2021-2023,short_seg,ii_fut_close−i_spot_close,0.6267932749759693,0.6682301251911124,-0.005773400139608129,0.016247766323926438,-0.041436850215143095,-0.18147878475735732,0.10849376443931523,0.5713428657134286,-0.04043787515912227,0.07388093136491221,20,10000,0,727,False
equal_weight,500,2021-2023,short_seg,iii_fut_open_entry−ii_fut_close,0.609959047310673,0.6267932749759693,-0.0021164962149092525,-0.0011697483122378172,-0.016834227665296297,-0.05834993232834718,0.01636923715120695,0.35806419358064195,-0.01741662412729526,0.01884761645227311,20,10000,0,727,False
equal_weight,500,2021-2023,short_seg,iv_fut_open_both−iii_fut_open_entry,0.6637298974966441,0.609959047310673,0.0070394320180813125,0.0017961772152821354,0.053770850185971164,-0.007289841351686229,0.12730394530828584,0.1116888311168883,0.05526632574738019,0.03387297492430039,20,10000,0,727,False
equal_weight,500,2021-2023,short_seg,iii_fut_open_entry−i_spot_close,0.609959047310673,0.6682301251911124,-0.007889896354517381,0.015078018011688621,-0.05827107788043939,-0.2008999817134913,0.094220152986254,0.44055594440555945,-0.057854499286417525,0.07529018852459361,20,10000,0,727,False
equal_weight,500,2021-2023,longflat,ii_fut_close−i_spot_close,0.9284390166181534,0.9284390166181534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,727,False
equal_weight,500,2021-2023,longflat,iii_fut_open_entry−ii_fut_close,0.9284390166181534,0.9284390166181534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,727,False
equal_weight,500,2021-2023,longflat,iv_fut_open_both−iii_fut_open_entry,0.9284390166181534,0.9284390166181534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,727,False
equal_weight,500,2021-2023,longflat,iii_fut_open_entry−i_spot_close,0.9284390166181534,0.9284390166181534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,727,False
equal_weight,500,2024-2026,symmetric,ii_fut_close−i_spot_close,1.8330952259353341,1.8370358381661152,0.03692052212808017,-0.030976451283085238,-0.003940612230781015,-0.22426632788082304,0.24042248804179847,0.9727027297270273,0.011572968596344622,0.11914558203559233,20,10000,0,555,False
equal_weight,500,2024-2026,symmetric,iii_fut_open_entry−ii_fut_close,1.8274960405690583,1.8330952259353341,-0.001111041079370434,-0.002899129814116219,-0.005599185366275794,-0.03467906597703565,0.02937360153081104,0.7261273872612739,-0.002419980296271244,0.01617811887576161,20,10000,0,555,False
equal_weight,500,2024-2026,symmetric,iv_fut_open_both−iii_fut_open_entry,1.8005501748409367,1.8274960405690583,-0.0077756364144401235,-0.002499533813839938,-0.026945865728121632,-0.09590872255776534,0.02206465062040519,0.35356464353564643,-0.02773127072097351,0.03013827167912207,20,10000,0,555,False
equal_weight,500,2024-2026,symmetric,iii_fut_open_entry−i_spot_close,1.8274960405690583,1.8370358381661152,0.035809481048709735,-0.03387558109720146,-0.00953979759705681,-0.22347556392201223,0.23421000711231021,0.937006299370063,0.009152988300073378,0.11756644814851692,20,10000,0,555,False
equal_weight,500,2024-2026,short_seg,ii_fut_close−i_spot_close,0.5051369444385734,0.3723191942318228,0.036920522128080245,-0.018405350675901433,0.13281775020675057,-0.07773495363743746,0.42577938332165205,0.29557044295570445,0.14902094080388661,0.128172629081702,20,10000,0,555,False
equal_weight,500,2024-2026,short_seg,iii_fut_open_entry−ii_fut_close,0.4987540314292479,0.5051369444385734,-0.0011110410793703646,-0.002796689135319941,-0.006382913009325475,-0.0453933414626789,0.04102615172140814,0.7635236476352365,-0.002101183368443109,0.02187425392471672,20,10000,0,555,False
equal_weight,500,2024-2026,short_seg,iv_fut_open_both−iii_fut_open_entry,0.45812834522592694,0.4987540314292479,-0.007775636414440207,-0.003930124526462797,-0.040625686203320965,-0.1371435454512766,0.027167940885897888,0.3057694230576942,-0.04234548958412208,0.041818538172353335,20,10000,0,555,False
equal_weight,500,2024-2026,short_seg,iii_fut_open_entry−i_spot_close,0.4987540314292479,0.3723191942318228,0.03580948104870988,-0.021202039811221374,0.1264348371974251,-0.07734297696449023,0.41390440471795176,0.3077692230776922,0.1469197574354435,0.12484792935325223,20,10000,0,555,False
equal_weight,500,2024-2026,longflat,ii_fut_close−i_spot_close,2.1465115466169857,2.1465115466169857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,555,False
equal_weight,500,2024-2026,longflat,iii_fut_open_entry−ii_fut_close,2.1465115466169857,2.1465115466169857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,555,False
equal_weight,500,2024-2026,longflat,iv_fut_open_both−iii_fut_open_entry,2.1465115466169857,2.1465115466169857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,555,False
equal_weight,500,2024-2026,longflat,iii_fut_open_entry−i_spot_close,2.1465115466169857,2.1465115466169857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,555,False
equal_weight,1000,full,symmetric,ii_fut_close−i_spot_close,1.644844806395812,1.7056383573849825,0.012484019418728232,-0.0454907098466647,-0.060793550989170386,-0.2679318067449015,0.13039119572885302,0.5894410558944105,-0.05050568317893964,0.10411121117165133,20,10000,0,906,False
equal_weight,1000,full,symmetric,iii_fut_open_entry−ii_fut_close,1.6490679402339476,1.644844806395812,0.0011720439880705813,-0.003618756467056672,0.004223133838135551,-0.025531469068132598,0.02833717023160804,0.7477252274772522,0.0018881004689752132,0.013552224483418696,20,10000,0,906,False
equal_weight,1000,full,symmetric,iv_fut_open_both−iii_fut_open_entry,1.650222043461134,1.6490679402339476,-1.4195208568101858e-05,0.00688674901700248,0.0011541032271864538,-0.03304219977049654,0.032643647387514095,0.9452054794520548,0.0015220005412244584,0.01674727670409704,20,10000,0,906,False
equal_weight,1000,full,symmetric,iii_fut_open_entry−i_spot_close,1.6490679402339476,1.7056383573849825,0.013656063406798813,-0.04910946631372137,-0.056570417151034835,-0.264709016602638,0.1327583751239601,0.6128387161283871,-0.04861758270996443,0.1038286724278538,20,10000,0,906,False
equal_weight,1000,full,short_seg,ii_fut_close−i_spot_close,0.6583212360099759,0.6726471193054604,0.012484019418728232,-0.032428598855347435,-0.014325883295484454,-0.21592643521454993,0.20150603456342758,0.8922107789221078,-0.003362001138587582,0.10764355798245337,20,10000,0,906,False
equal_weight,1000,full,short_seg,iii_fut_open_entry−ii_fut_close,0.6641598894711982,0.6583212360099759,0.0011720439880706923,-0.005479183319549219,0.005838653461222254,-0.03354901330518782,0.038801730146489445,0.7311268873112688,0.002818570154301188,0.01806396049344047,20,10000,0,906,False
equal_weight,1000,full,short_seg,iv_fut_open_both−iii_fut_open_entry,0.6634965647532018,0.6641598894711982,-1.4195208568185125e-05,0.00849998636325422,-0.0006633247179963497,-0.04980507218448997,0.04348874974683439,0.9745025497450255,-0.0004730713345725012,0.023677638450299368,20,10000,0,906,False
equal_weight,1000,full,short_seg,iii_fut_open_entry−i_spot_close,0.6641598894711982,0.6726471193054604,0.013656063406798924,-0.037907782174896654,-0.0084872298342622,-0.2159591701549072,0.20348711810985776,0.9393060693930607,-0.0005434309842863942,0.10768827785553853,20,10000,0,906,False
equal_weight,1000,full,longflat,ii_fut_close−i_spot_close,1.7293911630520653,1.7293911630520653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,906,False
equal_weight,1000,full,longflat,iii_fut_open_entry−ii_fut_close,1.7293911630520653,1.7293911630520653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,906,False
equal_weight,1000,full,longflat,iv_fut_open_both−iii_fut_open_entry,1.7293911630520653,1.7293911630520653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,906,False
equal_weight,1000,full,longflat,iii_fut_open_entry−i_spot_close,1.7293911630520653,1.7293911630520653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,10000,0,906,False
equal_weight,1000,2021-2023,symmetric,ii_fut_close−i_spot_close,1.5674442541017346,1.6618212839481332,-0.017154443508454742,-0.00012355715490319774,-0.09437702984639862,-0.19173092199995848,0.08516583871681609,0.2618738126187381,-0.05166324582749493,0.0708638183353889,20,10000,0,351,False
equal_weight,1000,2021-2023,symmetric,iii_fut_open_entry−ii_fut_close,1.580184943198425,1.5674442541017346,0.002166565868248038,-1.1102230246251565e-16,0.01274068909669035,-0.03401635772319455,0.038628862829605,0.5640435956404359,0.0019440338089830647,0.018413253014679987,20,10000,0,351,False
equal_weight,1000,2021-2023,symmetric,iv_fut_open_both−iii_fut_open_entry,1.6039797232618047,1.580184943198425,0.004141323421800458,-0.0018666707754739775,0.02379478006337976,-0.014131417780518489,0.05995922917533013,0.208979102089791,0.023129519766358447,0.018908113423367463,20,10000,0,351,False
equal_weight,1000,2021-2023,symmetric,iii_fut_open_entry−i_spot_close,1.580184943198425,1.6618212839481332,-0.014987877640206704,-0.00012355715490330876,-0.08163634074970827,-0.19207096150081568,0.08791552494487484,0.29887011298870114,-0.04971921201851186,0.07144376532479248,20,10000,0,351,False
equal_weight,1000,2021-2023,short_seg,ii_fut_close−i_spot_close,1.1897301680406336,1.3151148207505412,-0.017154443508454686,-0.0033588285309756882,-0.12538465270990762,-0.2544253723728229,0.1297443851039658,0.2836716328367163,-0.06414663290556874,0.09786907330242335,20,10000,0,351,False
equal_weight,1000,2021-2023,short_seg,iii_fut_open_entry−ii_fut_close,1.2067387426583094,1.1897301680406336,0.0021665658682480105,0.000430176298742202,0.017008574617675798,-0.049622773276908956,0.05514120478242048,0.5818418158184182,0.0022748226860064276,0.026444366851691815,20,10000,0,351,False
equal_weight,1000,2021-2023,short_seg,iv_fut_open_both−iii_fut_open_entry,1.2398733653476501,1.2067387426583094,0.004141323421800486,0.0012419589764023353,0.033134622689340754,-0.01941365527731672,0.08977872401136973,0.23377662233776622,0.034279154764233495,0.027887317033866366,20,10000,0,351,False
