signal,kou_jing,sharpe_full,sharpe_ex_top1,sharpe_ex_top2,ex_top1_year,ex_top2_years,roll3y_min,roll3y_min_date,roll3y_median,roll3y_neg_share
hybrid20,blend,1.2268677115383255,0.8642939463161637,0.7384494928335134,2015,"2015,2025",0.03201621694937141,2018-12-25,1.141715076747463,0.0
citic40d,blend,1.1212745596011362,0.9002881634837913,0.8141184836310219,2015,"2015,2025",-0.0602541208256308,2018-11-28,0.8630307575330465,0.0023942537909018356
equal_weight,blend,1.6162979979136085,1.401704654220057,1.2086043929720596,2015,"2015,2025",0.47832355245802477,2024-09-13,1.4286047351679243,0.0
