date,N1,share_000300,share_000905,share_000852,N2,n_market
2025-03-24,0.21572694701112577,0.11036789297658862,0.106,0.19377510040160642,0.03951965722421459,5303
2025-03-25,0.21376060320452403,0.10367892976588629,0.102,0.1897590361445783,0.04220058830640287,5305
2025-03-26,0.2060320452403393,0.10367892976588629,0.094,0.1827309236947791,0.03468653208150328,5305
2025-03-27,0.19585296889726672,0.08695652173913043,0.086,0.17369477911646586,0.04289086781910251,5305
2025-03-28,0.19622997172478793,0.08695652173913043,0.09,0.17670682730923695,0.04639689191548804,5305
2025-03-31,0.19641847313854854,0.09666666666666666,0.088,0.17771084337349397,0.0361887550200803,5305
2025-04-01,0.1986056152251743,0.11,0.094,0.1817269076305221,0.02786345381526105,5307
2025-04-02,0.1978518937252685,0.11333333333333333,0.096,0.17670682730923695,0.02302008032128515,5307
2025-04-03,0.19238741285095157,0.11,0.092,0.1716867469879518,0.0218433734939759,5307
2025-04-07,0.1839080459770115,0.1,0.092,0.1646586345381526,0.02832931726907631,5307
2025-04-08,0.1807047296024119,0.10333333333333333,0.092,0.1636546184738956,0.024493975903614462,5307
2025-04-09,0.1733559449783305,0.09333333333333334,0.088,0.15060240963855423,0.025967871485943775,5307
2025-04-10,0.1653795441702769,0.09,0.084,0.14042126379137412,0.02221063189568706,5309
2025-04-11,0.16085891881710304,0.08666666666666667,0.088,0.13440320962888666,0.024534938147776658,5309
2025-04-14,0.15520813712563572,0.08333333333333333,0.082,0.12537612838515547,0.0203547308592444,5309
2025-04-15,0.14670433145009415,0.08666666666666667,0.078,0.12024048096192384,0.012453573814295252,5310
2025-04-16,0.1310734463276836,0.08333333333333333,0.07,0.11523046092184369,0.00928189712758852,5310
2025-04-17,0.12558840143099229,0.07,0.074,0.10420841683366733,0.019104208416833662,5311
2025-04-18,0.1110901901713425,0.06666666666666667,0.074,0.09619238476953908,0.01842952571810287,5311
2025-04-21,0.10901901713424968,0.07333333333333333,0.078,0.09619238476953908,0.013762859051436205,5311
2025-04-22,0.10692771084337349,0.08333333333333333,0.08,0.09519038076152304,0.004261857047428194,5312
2025-04-23,0.10316265060240964,0.07666666666666666,0.08,0.09218436873747494,0.009425517702070813,5312
2025-04-24,0.09599096555618294,0.08,0.078,0.08617234468937876,0.0020861723446893715,5313
2025-04-25,0.09448522492000754,0.08,0.076,0.08517034068136273,0.0005851703406813541,5313
2025-04-28,0.09523809523809523,0.08,0.078,0.08316633266533066,0.0005831663326653219,5313
2025-04-29,0.09561453039713909,0.07666666666666666,0.078,0.08517034068136273,0.004918503674014696,5313
2025-04-30,0.0930495385194952,0.07666666666666666,0.076,0.08016032064128256,0.0014134936539746124,5309
2025-05-06,0.09568656997551328,0.07666666666666666,0.072,0.08216432865731463,0.00041549766199064364,5309
2025-05-07,0.0979468826521002,0.08,0.066,0.08016032064128256,-0.006919839679358719,5309
2025-05-08,0.10529289885100772,0.08333333333333333,0.07,0.08016032064128256,-0.008253173012692044,5309
2025-05-09,0.10679977396873234,0.08666666666666667,0.074,0.07915831663326653,-0.010087508350033414,5309
2025-05-12,0.10924844603503485,0.08666666666666667,0.076,0.07915831663326653,-0.009087508350033413,5309
2025-05-13,0.10924844603503485,0.09666666666666666,0.078,0.08016032064128256,-0.01758650634602539,5309
2025-05-14,0.109625164814466,0.10333333333333333,0.072,0.07915831663326653,-0.027754175016700078,5309
2025-05-15,0.11094368054247504,0.10333333333333333,0.074,0.07915831663326653,-0.026754175016700077,5309
2025-05-16,0.11452250894707101,0.10333333333333333,0.076,0.08316633266533066,-0.02375016700066801,5309
2025-05-19,0.12186852514597853,0.09333333333333334,0.076,0.09018036072144289,-0.0102431529726119,5309
2025-05-20,0.12617702448210924,0.09666666666666666,0.07,0.09318637274549098,-0.01507348029392118,5310
2025-05-21,0.1318267419962335,0.10666666666666667,0.074,0.09519038076152304,-0.022071476285905153,5310
2025-05-22,0.1337099811676083,0.11333333333333333,0.074,0.09418837675350701,-0.029239144956579824,5310
2025-05-23,0.13239171374764594,0.11,0.068,0.08917835671342686,-0.03141082164328657,5310
2025-05-26,0.135969868173258,0.11333333333333333,0.072,0.09018036072144289,-0.03224315297261189,5310
2025-05-27,0.1373398643556895,0.11666666666666667,0.07,0.08917835671342686,-0.037077488309953235,5308
2025-05-28,0.1375282592313489,0.12,0.076,0.08817635270541083,-0.03791182364729459,5308
2025-05-29,0.14132278123233466,0.11,0.074,0.09118236472945891,-0.027408817635270546,5307
2025-05-30,0.14452609760693425,0.11333333333333333,0.076,0.09619238476953908,-0.02723714094856379,5307
2025-06-03,0.15262860373092144,0.11333333333333333,0.084,0.10521042084168336,-0.018728122912491638,5307
2025-06-04,0.1565856416054268,0.11333333333333333,0.088,0.11122244488977956,-0.01372211088844355,5307
2025-06-05,0.15922366685509703,0.11666666666666667,0.088,0.11723446893787576,-0.014049432197728792,5307
2025-06-06,0.15884680610514415,0.11666666666666667,0.088,0.11723446893787576,-0.014049432197728792,5307
2025-06-09,0.1643112869794611,0.11666666666666667,0.098,0.11923847695390781,-0.008047428189712769,5307
2025-06-10,0.16449971735443752,0.11666666666666667,0.096,0.12124248496993988,-0.008045424181696736,5307
2025-06-11,0.16672946495855312,0.11333333333333333,0.098,0.12625250501002003,-0.001207080828323312,5308
2025-06-12,0.17087415222305954,0.12,0.104,0.13026052104208416,-0.002869739478957911,5308
2025-06-13,0.17275810097965336,0.12,0.104,0.1312625250501002,-0.0023687374749498946,5308
2025-06-16,0.17275810097965336,0.12,0.11,0.12625250501002003,-0.0018737474949899746,5308
2025-06-17,0.17216048220003768,0.12333333333333334,0.112,0.12324649298597194,-0.005710086840347364,5309
2025-06-18,0.16745149745714824,0.13333333333333333,0.114,0.11923847695390781,-0.016714094856379424,5309
2025-06-19,0.1655367231638418,0.13333333333333333,0.114,0.11623246492985972,-0.018217100868403474,5310
2025-06-20,0.1638418079096045,0.12666666666666668,0.112,0.11422845691382766,-0.013552438209752854,5310
2025-06-23,0.16738843908868387,0.13,0.112,0.11623246492985972,-0.015883767535070148,5311
2025-06-24,0.16851816983618903,0.13333333333333333,0.116,0.11723446893787576,-0.016716098864395457,5311
