open_long,close_long,open_short,close_short,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26,short_sharpe,short_frac
0.1,0.0,-0.1,0.0,0.7519540179169314,0.8688661786022945,0.9925039072040533,0.11150071264348353,0.4581919160752854
0.1,0.0,-0.2,-0.1,0.8629883932271862,0.919644902060665,1.1098624371949302,0.2053248752244847,0.38815180499845725
0.1,0.0,-0.3,-0.19999999999999998,0.9607355533676443,0.6204477288824088,0.888341607977776,0.16521458708046619,0.3002159827213823
0.1,0.0,-0.4,-0.30000000000000004,0.9641016283669266,0.8931293720631809,0.8249513176597705,0.16129212778046817,0.22338784325825362
0.2,0.1,-0.1,0.0,0.6723897568689182,0.8451624951934719,0.8170410801637937,0.11150071264348353,0.4581919160752854
0.2,0.1,-0.2,-0.1,0.7862163505052524,0.8984377242290972,0.933818856831086,0.2053248752244847,0.38815180499845725
0.2,0.1,-0.3,-0.19999999999999998,0.8864382535208334,0.5864929621642537,0.7016701586364887,0.16521458708046619,0.3002159827213823
0.2,0.1,-0.4,-0.30000000000000004,0.8881111270311524,0.8733900329196436,0.6327745077406659,0.16129212778046817,0.22338784325825362
0.3,0.19999999999999998,-0.1,0.0,0.7896544582886162,0.9313379583751684,0.8208249565929912,0.11150071264348353,0.4581919160752854
0.3,0.19999999999999998,-0.2,-0.1,0.9162738121210365,0.9958901025594572,0.9406020702265866,0.2053248752244847,0.38815180499845725
0.3,0.19999999999999998,-0.3,-0.19999999999999998,1.032366868503421,0.6808416524326106,0.7041084800815085,0.16521458708046619,0.3002159827213823
0.3,0.19999999999999998,-0.4,-0.30000000000000004,1.0482679226578073,0.9898707296644312,0.6340022920553093,0.16129212778046817,0.22338784325825362
0.4,0.30000000000000004,-0.1,0.0,0.7192300988857526,0.8430782698049433,0.8879619614045416,0.11150071264348353,0.4581919160752854
0.4,0.30000000000000004,-0.2,-0.1,0.8495493971750079,0.9056670342108438,1.013713657876304,0.2053248752244847,0.38815180499845725
0.4,0.30000000000000004,-0.3,-0.19999999999999998,0.9693919295155475,0.5708813399368267,0.7730741515960592,0.16521458708046619,0.3002159827213823
0.4,0.30000000000000004,-0.4,-0.30000000000000004,0.9850477141901117,0.8920406345792212,0.7029631798178043,0.16129212778046817,0.22338784325825362
