date,R1,R2,R3,R4,n_U,n_300,n_1000
2019-10-08,,,,,,,
2019-10-09,,,,,,,
2019-10-10,,,,,,,
2019-10-11,,,,,,,
2019-10-14,,,,,,,
2019-10-15,,,,,,,
2019-10-16,,,,,,,
2019-10-17,,,,,,,
2019-10-18,,,,,,,
2019-10-21,,,,,,,
2019-10-22,-0.08037578288100208,-0.001563782488192426,,-0.0467659612193979,958.0,283.0,558.0
2019-10-23,-0.11157455683003129,-0.002557160505193567,,-0.003907189989487955,959.0,283.0,558.0
2019-10-24,-0.12200208550573514,-0.0029131499679054818,,-0.007238116949732129,959.0,283.0,558.0
2019-10-25,-0.1397288842544317,-0.003802800094244909,,0.005357346403738736,959.0,283.0,558.0
2019-10-28,-0.17518248175182483,-0.006767155389100402,,0.01999822688298694,959.0,283.0,558.0
2019-10-29,-0.19499478623566216,-0.008767269830938678,,0.006066593208961829,959.0,283.0,558.0
2019-10-30,-0.20750782064650677,-0.010405926324221345,,-0.018617728637106257,959.0,283.0,558.0
2019-10-31,-0.2210636079249218,-0.011656857825992675,,-0.043251389997087025,959.0,283.0,558.0
2019-11-01,-0.23253388946819603,-0.01272661428035809,,-0.04135795432957179,959.0,283.0,558.0
2019-11-04,-0.23333333333333334,-0.0137743614574247,,-0.03983640650581238,960.0,283.0,559.0
2019-11-05,-0.23204994797086367,-0.01393593032955533,,-0.04336997541040602,961.0,283.0,559.0
2019-11-06,-0.23253388946819603,-0.01411611092659695,,-0.034138835062122425,959.0,283.0,558.0
2019-11-07,-0.2351716961498439,-0.01420858893891365,,-0.026034830893488126,961.0,283.0,560.0
2019-11-08,-0.23229166666666667,-0.013885181174621586,,-0.03492554265522463,960.0,283.0,560.0
2019-11-11,-0.23076923076923078,-0.01337655454145239,,-0.010462135384188997,962.0,283.0,561.0
2019-11-12,-0.2247658688865765,-0.013177771069155284,,-0.012307653546481223,961.0,283.0,561.0
2019-11-13,-0.22395833333333334,-0.012908332392268775,,-0.017295557799091366,960.0,283.0,560.0
2019-11-14,-0.22453222453222454,-0.013143616095857291,,-0.013683524635356603,962.0,284.0,562.0
2019-11-15,-0.21680497925311204,-0.0126596086520175,,-0.025047447807411832,964.0,284.0,564.0
