theta_L,h,w_S,kou_jing,carry_source,is_incumbent,is_symmetric_1a,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
0.0,0.0,-1.0,1000,1000,False,True,1.49191,0.390703,-0.298576,1.308558,21.037387,0.530075,0.48562,0.497946,2434,1.546595,0.439869,-0.298576,1.473227,22.820738,0.531494,0.471588,0.504979,1707,1.345354,0.267438,-0.141744,1.886765,16.850069,0.526171,0.518569,0.481431,727,1.597804,0.448855,-0.259435,1.730128,21.743265,0.539683,0.505547,0.494453,631,1.516235,0.403123,-0.298576,1.350155,21.182708,0.532231,0.489723,0.497227,3065,1.345354
0.0,0.0,-1.0,blend,blend,False,True,1.36126,0.340205,-0.292555,1.162876,21.037387,0.527151,0.48562,0.497946,2434,1.405816,0.384893,-0.292555,1.315626,22.820738,0.527295,0.471588,0.504979,1707,1.256076,0.228084,-0.150351,1.51701,16.850069,0.526171,0.518569,0.481431,727,1.589646,0.422496,-0.250186,1.688726,21.743265,0.539683,0.505547,0.494453,631,1.411844,0.357523,-0.292555,1.222072,21.182708,0.529917,0.489723,0.497227,3065,1.256076
0.0,0.1,0.0,500,500,False,False,1.554778,0.227573,-0.13144,1.731382,8.857847,0.564758,0.448233,0.0,2434,1.79812,0.286485,-0.119815,2.391069,9.616286,0.572559,0.425308,0.0,1707,0.757472,0.082681,-0.13144,0.629041,7.077029,0.547872,0.502063,0.0,727,1.825987,0.311785,-0.131801,2.365581,9.318542,0.549839,0.473851,0.0,631,1.614484,0.24491,-0.170241,1.438607,8.952692,0.561549,0.453507,0.0,3065,0.757472
0.0,0.1,0.0,1000,1000,False,False,1.249236,0.198843,-0.173372,1.146917,8.857847,0.555066,0.448233,0.0,2434,1.360232,0.233032,-0.173372,1.344121,9.616286,0.559367,0.425308,0.0,1707,0.882986,0.110743,-0.131123,0.844573,7.077029,0.545213,0.502063,0.0,727,1.74649,0.323947,-0.143952,2.25039,9.318542,0.578778,0.473851,0.0,631,1.361766,0.224598,-0.173372,1.295475,8.952692,0.560166,0.453507,0.0,3065,0.882986
0.0,0.1,0.0,blend,blend,False,False,1.406912,0.213208,-0.134819,1.58144,8.857847,0.555947,0.448233,0.0,2434,1.581437,0.259759,-0.134819,1.926724,9.616286,0.565963,0.425308,0.0,1707,0.837046,0.096712,-0.131245,0.736883,7.077029,0.534574,0.502063,0.0,727,1.795899,0.317866,-0.135361,2.34829,9.318542,0.581994,0.473851,0.0,631,1.494174,0.234754,-0.146592,1.601417,8.952692,0.561549,0.453507,0.0,3065,0.837046
0.0,0.1,-0.25,500,500,False,False,1.549103,0.237388,-0.13144,1.806059,11.097473,0.513986,0.448233,0.461791,2434,1.745645,0.291607,-0.126636,2.302706,11.912712,0.509554,0.425308,0.462214,1707,0.911072,0.103518,-0.13144,0.787571,9.183287,0.523013,0.502063,0.460798,727,1.8732,0.3309,-0.138958,2.381302,11.454041,0.52459,0.473851,0.459588,631,1.621378,0.256716,-0.156545,1.639886,11.170881,0.516385,0.453507,0.461338,3065,0.911072
0.0,0.1,-0.25,1000,1000,False,False,1.441441,0.239917,-0.173372,1.383832,11.097473,0.513549,0.448233,0.461791,2434,1.547152,0.277316,-0.173372,1.599547,11.912712,0.514013,0.425308,0.462214,1707,1.102363,0.144281,-0.131123,1.100351,9.183287,0.511855,0.502063,0.460798,727,1.817806,0.349239,-0.150038,2.327669,11.454041,0.52623,0.473851,0.459588,631,1.526082,0.262536,-0.173372,1.514294,11.170881,0.516385,0.453507,0.461338,3065,1.102363
0.0,0.1,-0.25,blend,blend,False,False,1.505272,0.238653,-0.139827,1.706769,11.097473,0.510052,0.448233,0.461791,2434,1.653837,0.284461,-0.139827,2.034377,11.912712,0.510191,0.425308,0.462214,1707,1.028628,0.1239,-0.131245,0.944035,9.183287,0.509066,0.502063,0.460798,727,1.856795,0.34007,-0.140062,2.427993,11.454041,0.52459,0.473851,0.459588,631,1.58404,0.259626,-0.140062,1.853649,11.170881,0.51328,0.453507,0.461338,3065,1.028628
0.0,0.1,-0.5,500,500,False,False,1.434541,0.247204,-0.161094,1.534528,13.337099,0.513986,0.448233,0.461791,2434,1.575122,0.296728,-0.161094,1.841951,14.209139,0.509554,0.425308,0.462214,1707,0.985462,0.124355,-0.13144,0.9461,11.289546,0.523013,0.502063,0.460798,727,1.808701,0.350015,-0.182228,1.920753,13.58954,0.52459,0.473851,0.459588,631,1.518102,0.268523,-0.182228,1.473552,13.38907,0.516385,0.453507,0.461338,3065,0.985462
0.0,0.1,-0.5,1000,1000,False,False,1.503302,0.280991,-0.194112,1.447569,13.337099,0.513986,0.448233,0.461791,2434,1.595509,0.3216,-0.194112,1.65677,14.209139,0.51465,0.425308,0.462214,1707,1.215729,0.17782,-0.131123,1.356128,11.289546,0.511855,0.502063,0.460798,727,1.774273,0.374531,-0.18656,2.007559,13.58954,0.52623,0.473851,0.459588,631,1.563978,0.300473,-0.194112,1.547931,13.38907,0.51673,0.453507,0.461338,3065,1.215729
