family,best_form,best_k,direction,ic,ic_pvalue,partial_ic_vs_ew,partial_ic_pvalue,ic_2014-2019,ic_2020-2026,net_sharpe,net_ann,turnover,gate1_significant_and_independent,gate2_stable_halves,gate3_net_positive,PASS
C1,C1_lb5zw60,40,-1.0,-0.06783219452609077,0.6053946053946054,-0.05286604955891083,0.6703296703296703,-0.08608058608058607,-0.1034412955465587,0.2652137133533191,0.06444521058747622,5.041516245487365,False,True,True,False
C2,C2_lb20zw250,40,-1.0,-0.131301344377971,0.3826173826173826,-0.0952520480199168,0.5124875124875125,-0.2246464805191456,-0.2738866396761134,0.16522462270660337,0.03495279587239676,6.86,False,True,True,False
B1,B1_lb20zw250,10,-1.0,-0.004847708032032257,0.9070929070929071,-0.07092772690477483,0.2047952047952048,-0.04065107857030388,-0.07297498063883927,0.013683660840223617,0.00341065539945816,12.466176470588234,False,True,True,False
B2,B2_lb20zw60,20,-1.0,-0.006454353685690848,0.9370629370629371,-0.09485574072667875,0.26673326673326675,-0.07395974017621713,-0.11667280088332718,-0.2443422186412845,-0.061686750797914046,13.9896449704142,False,True,False,False
B3,B3_lb5zw60,10,1.0,0.01893905833254408,0.7292707292707292,-0.057680035202610294,0.3146853146853147,0.09489056841442292,0.021308340313887876,0.0553754338817648,0.013982136242718615,19.96029411764706,False,True,True,False
