signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
incumbent_longflat,500,full,full,0.2724643437301191,1.7351452463231847,-0.16664338782248356,1.6350144298576132,10.620925684485005,0.5599489795918368,3068
incumbent_longflat,500,full,long,0.2724643437301191,1.7351452463231847,-0.16664338782248356,1.6350144298576132,10.620925684485005,0.5599489795918368,3068
incumbent_longflat,500,full,short,0.0,0.0,0.0,,0.0,,3068
incumbent_longflat,500,2014-2020,full,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707
incumbent_longflat,500,2014-2020,long,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707
incumbent_longflat,500,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_longflat,500,2021-2023,full,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
incumbent_longflat,500,2021-2023,long,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
incumbent_longflat,500,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_longflat,500,2024-2026,full,0.3277464178476616,1.8574076039621141,-0.16292553423965028,2.011633224817745,11.206624605678233,0.5538922155688623,634
incumbent_longflat,500,2024-2026,long,0.3277464178476616,1.8574076039621141,-0.16292553423965028,2.011633224817745,11.206624605678233,0.5538922155688623,634
incumbent_longflat,500,2024-2026,short,0.0,0.0,0.0,,0.0,,634
incumbent_longflat,1000,full,full,0.2512357190471495,1.473470612262264,-0.17525563798797328,1.4335385835883365,10.620925684485005,0.5586734693877551,3068
incumbent_longflat,1000,full,long,0.2512357190471495,1.473470612262264,-0.17525563798797328,1.4335385835883365,10.620925684485005,0.5586734693877551,3068
incumbent_longflat,1000,full,short,0.0,0.0,0.0,,0.0,,3068
incumbent_longflat,1000,2014-2020,full,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
incumbent_longflat,1000,2014-2020,long,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
incumbent_longflat,1000,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_longflat,1000,2021-2023,full,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,727
incumbent_longflat,1000,2021-2023,long,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,727
incumbent_longflat,1000,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_longflat,1000,2024-2026,full,0.3538610534685876,1.8473606791595496,-0.1752556379879726,2.0191136646506758,11.206624605678233,0.5778443113772455,634
incumbent_longflat,1000,2024-2026,long,0.3538610534685876,1.8473606791595496,-0.1752556379879726,2.0191136646506758,11.206624605678233,0.5778443113772455,634
incumbent_longflat,1000,2024-2026,short,0.0,0.0,0.0,,0.0,,634
incumbent_longflat,blend,full,full,0.2618500313886342,1.6113163529248231,-0.166666862423816,1.5710983430094074,10.620925684485005,0.5605867346938775,3068
incumbent_longflat,blend,full,long,0.2618500313886342,1.6113163529248231,-0.166666862423816,1.5710983430094074,10.620925684485005,0.5605867346938775,3068
incumbent_longflat,blend,full,short,0.0,0.0,0.0,,0.0,,3068
incumbent_longflat,blend,2014-2020,full,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,1707
incumbent_longflat,blend,2014-2020,long,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,1707
incumbent_longflat,blend,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
incumbent_longflat,blend,2021-2023,full,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,727
incumbent_longflat,blend,2021-2023,long,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,727
incumbent_longflat,blend,2021-2023,short,0.0,0.0,0.0,,0.0,,727
incumbent_longflat,blend,2024-2026,full,0.34080373565812466,1.8640061651207929,-0.16666686242381534,2.044820012219937,11.206624605678233,0.5778443113772455,634
incumbent_longflat,blend,2024-2026,long,0.34080373565812466,1.8640061651207929,-0.16666686242381534,2.044820012219937,11.206624605678233,0.5778443113772455,634
incumbent_longflat,blend,2024-2026,short,0.0,0.0,0.0,,0.0,,634
raw_longflat,500,full,full,0.23850654727153792,1.4684373414030711,-0.19505026887064225,1.22279527555902,19.564863102998697,0.5292667898952557,3068
raw_longflat,500,full,long,0.23850654727153792,1.4684373414030711,-0.19505026887064225,1.22279527555902,19.564863102998697,0.5292667898952557,3068
raw_longflat,500,full,short,0.0,0.0,0.0,,0.0,,3068
raw_longflat,500,2014-2020,full,0.28291576601752316,1.6206825305769386,-0.19505026887064225,1.450476165224635,20.524311657879323,0.536,1707
raw_longflat,500,2014-2020,long,0.28291576601752316,1.6206825305769386,-0.19505026887064225,1.450476165224635,20.524311657879323,0.536,1707
raw_longflat,500,2014-2020,short,0.0,0.0,0.0,,0.0,,1707
raw_longflat,500,2021-2023,full,0.1067343720070363,0.9645751852691066,-0.1319658360679895,0.8088030598468393,16.5130674002751,0.5353535353535354,727
raw_longflat,500,2021-2023,long,0.1067343720070363,0.9645751852691066,-0.1319658360679895,0.8088030598468393,16.5130674002751,0.5353535353535354,727
raw_longflat,500,2021-2023,short,0.0,0.0,0.0,,0.0,,727
raw_longflat,500,2024-2026,full,0.2625108229462203,1.4811278136905772,-0.16951873233651604,1.5485652784678878,20.481072555205046,0.5042735042735043,634
raw_longflat,500,2024-2026,long,0.2625108229462203,1.4811278136905772,-0.16951873233651604,1.5485652784678878,20.481072555205046,0.5042735042735043,634
raw_longflat,500,2024-2026,short,0.0,0.0,0.0,,0.0,,634
