measure,form,P,Q,hold,threshold,dual_sharpe_train_14_20,maxdd_improve_train_14_20,short_frac_train_14_20,dual_sharpe_val_21_23,maxdd_improve_val_21_23,short_frac_val_21_23,dual_sharpe_holdout_24_26,maxdd_improve_holdout_24_26,short_frac_holdout_24_26
pct_above_ma20,nonconfirm,20,20,5,0.2,0.7064512349208595,-0.11947559540744868,0.127709431751611,0.7323328549632773,-0.006292078635560139,0.07565337001375516,1.9543829848432006,0.003668015349874154,0.0723905723905724
pct_above_ma20,deteriorating,20,10,5,0.2,1.1281653433991932,-0.07161578095692012,0.05506736965436438,0.7532058496971573,-0.006292078635559917,0.03851444291609354,1.733151832495988,1.1102230246251565e-16,0.03535353535353535
pct_above_ma20,low_pct,20,10,5,0.2,1.460656020483501,-4.440892098500626e-16,0.012302284710017574,0.7681995781894613,-2.220446049250313e-16,0.005502063273727648,1.7476586834892367,0.0,0.0
pct_above_ma20,deteriorating,20,20,5,0.2,1.2658006645890096,-0.021410638190563103,0.03163444639718805,0.7769496306346582,-0.006292078635559917,0.04126547455295736,1.7734782181983901,0.0,0.020202020202020204
pct_above_ma20,low_pct,20,20,5,0.2,1.4842209739709638,-1.1102230246251565e-16,0.005858230814294083,0.7602070094470955,0.0,0.0,1.7476586834892367,0.0,0.0
pct_above_ma20,deteriorating,20,40,5,0.2,1.2870051937814018,-1.1102230246251565e-16,0.03690685413005272,0.6052323067696109,0.0,0.04401650618982118,1.6616021897466349,-0.007916953848384756,0.010101010101010102
pct_above_ma20,low_pct,20,40,5,0.2,1.4522495597307992,0.0,0.0005858230814294083,0.7602070094470955,0.0,0.0,1.7217147722799915,0.0,0.003367003367003367
pct_above_ma20,nonconfirm,20,20,10,0.2,0.4048753364854706,-0.19140200541580865,0.16637375512595196,0.762316535115199,-0.005124961858579469,0.11691884456671252,1.917278466198102,0.003668015349874154,0.11784511784511785
pct_above_ma20,deteriorating,20,10,10,0.2,0.743492677450891,-0.12936680285889945,0.09490333919156414,0.8164291117534997,-0.005124961858579136,0.07015130674002751,1.860213185394373,1.1102230246251565e-16,0.05723905723905724
pct_above_ma20,low_pct,20,10,10,0.2,1.3924568603895933,-3.3306690738754696e-16,0.018746338605741066,0.7489273679032152,1.1102230246251565e-16,0.0068775790921595595,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,20,20,10,0.2,1.079709088207272,-0.04006788103132819,0.0492091388400703,0.7409599095875565,-0.005124961858579247,0.07152682255845942,1.6896234000232462,0.0,0.037037037037037035
pct_above_ma20,low_pct,20,20,10,0.2,1.3600803659147462,-0.0400678810313283,0.011130638547158758,0.7602070094470955,0.0,0.0,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,20,40,10,0.2,1.1548740888730182,-0.0024797577542552407,0.062097246631517285,0.6128994972509686,-2.220446049250313e-16,0.07015130674002751,1.5692950869037376,-0.007916953848384756,0.02356902356902357
pct_above_ma20,low_pct,20,40,10,0.2,1.3786404772389431,-6.661338147750939e-16,0.0029291154071470417,0.7602070094470955,0.0,0.0,1.6722673839617683,0.0,0.006734006734006734
pct_above_ma20,nonconfirm,20,20,20,0.2,0.3265801453675599,-0.25863307929031054,0.20035149384885764,0.8215351031772847,-1.1102230246251565e-16,0.18982118294360384,1.7240883765331119,0.003668015349874154,0.16666666666666666
