window,inc_mean_pos,cand_mean_pos,k,cand_maxdd,scaled_inc_maxdd,gap_pp,verdict
full,0.48989569752281614,0.46492829204693614,0.949035262807718,-0.18134961554948437,-0.15867197108713926,-2.2677644462345103,纯暴露效应
val,0.5185694635488308,0.46134800550206334,0.8896551724137932,-0.07474940338379665,-0.11737164760447316,4.262224422067651,择时有贡献
