w,delta_abs_ic,sharpe_train,sharpe_val,sharpe_holdout,worst_tv,is_equal,is_winner
0.00/0.00/0.50/0.50,0.043403964456596,1.1601681791694591,1.1138093932385595,1.1835775644493645,1.1138093932385595,False,True
0.00/0.00/0.33/0.67,0.04305885033439211,1.1190514671445115,1.016135866111779,1.1858395976228424,1.016135866111779,False,False
0.00/0.00/0.00/1.00,0.04275059306019055,0.893405299027266,0.542851646716003,1.3782663737227379,0.542851646716003,False,False
0.00/0.33/0.00/0.67,0.040649752724056104,1.1485937179325472,0.9935746788752907,1.384266920230938,0.9935746788752907,False,False
0.00/0.25/0.25/0.50,0.037681101148593354,1.1496398140237143,1.1394291127338965,1.5589179605141903,1.1394291127338965,False,False
0.00/0.20/0.40/0.40,0.037436505702759554,1.257052200112861,1.3295277140244453,1.5494406252352106,1.257052200112861,False,False
0.00/0.33/0.33/0.33,0.03686354924745011,1.0994425379190236,1.4122686167100489,1.6324688901682618,1.0994425379190236,False,False
0.00/0.50/0.00/0.50,0.035844959993566766,1.0683475585517408,1.2686424205458693,1.261583489682346,1.0683475585517408,False,False
0.00/0.40/0.20/0.40,0.03532561349898805,1.0572945640921982,1.333965652467729,1.4887151264584075,1.0572945640921982,False,False
0.00/0.00/0.67/0.33,0.03377762588288899,1.205453307913083,1.1096228636536634,1.2533599898828314,1.1096228636536634,False,False
0.00/0.25/0.50/0.25,0.03341575864795676,1.3049934120359392,1.503507225673766,1.5260085816182347,1.3049934120359392,False,False
0.00/0.67/0.00/0.33,0.026717864179164497,1.0721854973246479,1.3370904591861321,1.091347849542466,1.0721854973246479,False,False
0.00/0.40/0.40/0.20,0.02526369399434414,1.3452754082181295,1.4621265849319445,1.4590708109700559,1.3452754082181295,False,False
0.00/0.50/0.25/0.25,0.02516987656306538,1.2160956162312317,1.5285036469704087,1.522584881085688,1.2160956162312317,False,False
0.25/0.25/0.00/0.50,0.019969710372187144,1.3049873189978187,1.2981623273796052,1.707237631208763,1.2981623273796052,False,False
0.20/0.00/0.40/0.40,0.018632811976465213,1.0679724217524524,0.9217337457772591,1.3408668836622477,0.9217337457772591,False,False
0.17/0.17/0.33/0.33,0.01695079945853939,1.2305796145544075,1.331764929788757,1.6333983122684455,1.2305796145544075,False,False
0.20/0.40/0.00/0.40,0.016813423934166932,1.050865050853506,1.3638575403882165,1.5405570423300636,1.050865050853506,False,False
0.25/0.00/0.25/0.50,0.016019326390843414,1.0712893612039558,0.9675140759068924,1.3691356154222483,0.9675140759068924,False,False
0.17/0.33/0.17/0.33,0.015684264136276466,1.3929192813714772,1.3621830919415105,1.5038539946460039,1.3621830919415105,False,False
0.14/0.29/0.29/0.29,0.0156809135137308,1.4774337068958783,1.136594046141827,1.5734039658956154,1.136594046141827,False,False
0.20/0.20/0.20/0.40,0.014752791068580517,1.3097410605955655,1.3417878452264846,1.4944244467383747,1.3097410605955655,False,False
0.00/0.50/0.50/0.00,0.013543216329594016,1.465429560705425,1.4271829522327653,1.4112584178722787,1.4271829522327653,False,False
0.00/0.33/0.67/0.00,0.011425622880731234,1.3178168543432727,1.383236559251346,1.201637618365458,1.3178168543432727,False,False
0.00/0.00/1.00/0.00,0.010279709970112433,1.2879856099047726,1.4603803920626395,1.2195467200418755,1.2879856099047726,False,False
0.17/0.33/0.33/0.17,0.008952863442027503,1.485400555453663,1.2557274173694815,1.3054916531212197,1.2557274173694815,False,False
0.20/0.20/0.40/0.20,0.008430166324903149,1.3616735861791285,1.150203313613615,1.5072752140582664,1.150203313613615,False,False
0.00/0.67/0.33/0.00,0.008406711967083452,1.537828068564485,1.4419158831057595,1.163441178449642,1.4419158831057595,False,False
0.33/0.00/0.00/0.67,0.007605913178668572,0.8469321929761071,0.9465516046722003,1.216177179678556,0.8469321929761071,False,False
0.20/0.40/0.20/0.20,0.006661037620789928,1.3406356115403453,1.3299996796658753,1.4322220932318455,1.3299996796658753,False,False
0.25/0.00/0.50/0.25,0.0031160789674721523,1.5479402497315926,1.1172130362366883,1.2863127467343674,1.1172130362366883,False,False
0.29/0.14/0.29/0.29,0.003008859046010698,1.5722537516332766,1.2271688308135649,1.5364815154102167,1.2271688308135649,False,False
0.25/0.50/0.00/0.25,0.002730757374720172,1.0879358161593031,1.2113612930757156,1.4485467831949068,1.0879358161593031,False,False
0.33/0.00/0.33/0.33,0.002703952394354864,1.3041800969074857,1.0522799249212043,1.2995680626485786,1.0522799249212043,False,False
0.33/0.33/0.00/0.33,0.0023554876496052757,1.2329210878193828,1.195187973323937,1.4223936760108764,1.195187973323937,False,False
