date,T1_IF,T2_IF,n_used_IF,T1_IH,T2_IH,n_used_IH,T1_IC,T2_IC,n_used_IC,T1_IM,T2_IM,n_used_IM
2014-01-02,0.1418877148529933,0.07165719824641992,4.0,,,,,,,,,
2014-01-03,0.20331573975609735,0.1026483707694455,4.0,,,,,,,,,
2014-01-06,0.02718902464967214,0.01490335955369846,4.0,,,,,,,,,
2014-01-07,-0.02129491609415171,-0.00880636989623785,4.0,,,,,,,,,
2014-01-08,-0.05422155133877046,-0.02533604841770329,4.0,,,,,,,,,
2014-01-09,0.019959935440669603,0.0106922246307217,4.0,,,,,,,,,
2014-01-10,0.5253265293145536,0.28078535727647463,4.0,,,,,,,,,
2014-01-13,0.12046876588641567,0.04087040344752332,3.0,,,,,,,,,
2014-01-14,0.07242328986738886,0.022409149567074838,3.0,,,,,,,,,
2014-01-15,0.058411644462387766,0.018619884411342612,3.0,,,,,,,,,
2014-01-16,0.04245001764197216,0.009982982200894205,3.0,,,,,,,,,
2014-01-17,0.16632298160763476,0.05659707648059187,3.0,,,,,,,,,
2014-01-20,0.11655838657916284,0.07068423995673642,4.0,,,,,,,,,
2014-01-21,0.12508013551918723,0.07563712535077619,4.0,,,,,,,,,
2014-01-22,0.06639204509562123,0.03811104782550083,4.0,,,,,,,,,
2014-01-23,0.08156223338750881,0.04827373465760472,4.0,,,,,,,,,
2014-01-24,0.0394538557741807,0.018653899294782145,4.0,,,,,,,,,
2014-01-27,0.08515698122760196,0.050943458999812646,4.0,,,,,,,,,
2014-01-28,0.09197833141632816,0.05408375454645488,4.0,,,,,,,,,
2014-01-29,0.10904690287025008,0.0662144774241098,4.0,,,,,,,,,
2014-01-30,-0.043686627267214485,-0.034446935377110514,4.0,,,,,,,,,
2014-02-07,0.029101934425925572,0.009835779771283052,4.0,,,,,,,,,
2014-02-10,-0.14284183781148138,-0.11026990780170698,4.0,,,,,,,,,
2014-02-11,-0.17124859438253742,-0.1303732060012104,4.0,,,,,,,,,
2014-02-12,-0.16718183077633506,-0.1292406935886525,4.0,,,,,,,,,
2014-02-13,-0.16005174334417596,-0.12173637671904784,4.0,,,,,,,,,
2014-02-14,-0.2007293723403211,-0.16021055536068576,4.0,,,,,,,,,
2014-02-17,0.009703530352288145,0.004838472668812172,3.0,,,,,,,,,
2014-02-18,0.02080549954606128,0.01037424908872097,3.0,,,,,,,,,
2014-02-19,-0.00048816810865042647,-0.0002434153308887067,3.0,,,,,,,,,
2014-02-20,-0.04958643676148991,-0.024725291755044284,3.0,,,,,,,,,
2014-02-21,0.014453784307733234,0.007207092449335473,3.0,,,,,,,,,
2014-02-24,-0.07950109227094751,-0.04959753054865915,4.0,,,,,,,,,
2014-02-25,-0.1294610300507803,-0.0763150815041759,4.0,,,,,,,,,
2014-02-26,-0.16317476736574332,-0.09463491483662757,4.0,,,,,,,,,
2014-02-27,-0.06737446151337215,-0.03893489707203045,4.0,,,,,,,,,
2014-02-28,-0.04800247851702946,-0.031919368963765335,4.0,,,,,,,,,
2014-03-03,-0.3710547683492349,-0.22217264916683035,4.0,,,,,,,,,
2014-03-04,-0.21257305857589534,-0.12406500405617216,4.0,,,,,,,,,
2014-03-05,-0.22538548130088015,-0.13231899349282564,4.0,,,,,,,,,
2014-03-06,-0.09263023620239368,-0.05458660917370104,4.0,,,,,,,,,
2014-03-07,-0.4715149061211116,-0.29118880813623105,4.0,,,,,,,,,
2014-03-10,-0.8255500671060032,-0.5108681717995323,4.0,,,,,,,,,
2014-03-11,-0.4985963708348168,-0.3077047052410695,4.0,,,,,,,,,
2014-03-12,-0.7806478107783936,-0.48953838775335906,4.0,,,,,,,,,
2014-03-13,-1.0820735802408787,-0.6826087311745658,4.0,,,,,,,,,
2014-03-14,-0.8201149544705141,-0.5032068461556135,4.0,,,,,,,,,
