year,n,inc_sharpe,stg_sharpe,inc_ann,stg_ann,inc_maxdd,stg_maxdd
2014,245,1.2506391448005865,0.9546284147399884,0.13782357969093717,0.09568797681516376,-0.06379063173345767,-0.06532123763126729
2015,244,3.329829604734183,3.0366850445264757,0.8226647139397448,0.7053027356001346,-0.1348188666457083,-0.13492383434939192
2016,244,0.9681127002168025,1.0837451364923978,0.17199709995052373,0.180538721722157,-0.1285694416471741,-0.13263210677131276
2017,244,0.7733852284312912,0.15281439966587246,0.07910727069513289,0.01316638228077657,-0.06566298164567042,-0.08478392566462722
2018,243,0.8899544178230486,0.839682687905909,0.12256742578761778,0.11257531903190321,-0.08425710464679159,-0.07640279359845581
2019,244,2.2876348142569087,1.8385284436295914,0.3836612694389986,0.22262068114061506,-0.061216205084532405,-0.04739299579634726
2020,243,1.5834780524287346,1.4675261065885696,0.3196277892482605,0.2102144473595307,-0.12327697458527886,-0.1278352852469805
2021,243,1.4633523622992843,1.391182850829683,0.1491598800034264,0.13628870643501448,-0.061421702301249104,-0.055515474712104274
2022,242,1.0696744390354516,1.7126772289418513,0.1531999978305114,0.19183949926136767,-0.1312448943202562,-0.053996089800677605
2023,242,0.6815889576542977,1.0067460732305447,0.07079692941037534,0.08640699002224497,-0.12103448714531095,-0.07395115957221166
2024,242,0.8381247592393609,0.7894666348784486,0.19380644504495803,0.17741077391371687,-0.16666686242381534,-0.1755863992979233
2025,243,3.7400956263137446,3.4923936005741725,0.5075448839914063,0.4610223826136941,-0.05732488479865594,-0.05732488479865594
2026,149,1.9280553112827383,1.8777231454654706,0.3076174623923452,0.2843149591376156,-0.09187953714142094,-0.08515338467742228
