variant,kou_jing,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs,pvalue,down_month_hit,n_down_months,maxdd_improve
long_engine,500,full,0.2020815057821847,1.3548420612400112,-0.157609268683376,1.2821676508641746,10.731667748215443,0.5480349344978166,3082,,,,
short_bd_engine,500,full,-0.05647323682642758,-1.0336064322299408,-0.5178012050186093,-0.10906354847976453,7.949383517196625,0.27314814814814814,3082,0.9840319361277445,,,
dual_bd,500,full,0.14565596525686028,0.9812066866012221,-0.18484034609202715,0.788009589553257,18.522063595068136,0.5126452494873548,3082,0.043912175648702596,0.045454545454545456,22.0,-0.02723107740865116
buy_hold,500,full,0.08713479953836865,0.35112219967596847,-0.6519574332360281,0.13365105618302422,0.0,0.5324464633354964,3082,,,,
long_engine,500,2014-2020,0.23152443848516197,1.4921290283991304,-0.12951778915790346,1.7875879444089,11.051552431165788,0.5579399141630901,1707,,,,
short_bd_engine,500,2014-2020,-0.08766051994398828,-1.3227099176984554,-0.4716538873724504,-0.1858577280733096,6.602226127709431,0.26229508196721313,1707,0.9780439121756487,,,
dual_bd,500,2014-2020,0.14395003453414384,0.9386106202069017,-0.16804322662906324,0.8566250328666776,17.36672524897481,0.5168236877523553,1707,0.24151696606786427,0.0,12.0,-0.038525437471159774
buy_hold,500,2014-2020,0.11032774610104852,0.40601942663355095,-0.6519574332360281,0.1692253826349221,0.0,0.5448154657293497,1707,,,,
long_engine,500,2021-2023,0.0594946522120604,0.5550417862108185,-0.1423819910423364,0.41785236866346415,9.099037138927098,0.5371900826446281,727,,,,
short_bd_engine,500,2021-2023,-0.0038282411674632755,-0.10783101249848835,-0.08278358845761724,-0.04624396258714035,10.110041265474553,0.3333333333333333,727,0.49101796407185627,,,
dual_bd,500,2021-2023,0.05566641104459712,0.5024698822362739,-0.14519951057611258,0.3833787787832602,19.20907840440165,0.507537688442211,727,0.13572854291417166,0.2,5.0,-0.0028175195337761805
buy_hold,500,2021-2023,-0.03920318347025792,-0.2307556985858219,-0.31570423923360735,-0.1241769308053202,0.0,0.5213204951856947,727,,,,
long_engine,500,2024-2026,0.27712538260525704,1.618693569871272,-0.11932001632028977,2.322538926422635,11.720679012345679,0.5369774919614148,648,,,,
short_bd_engine,500,2024-2026,-0.03338098306468523,-0.9657874351678533,-0.1043801539028546,-0.3198020104066193,9.074074074074074,0.17857142857142858,648,0.8882235528942116,,,
dual_bd,500,2024-2026,0.24374439954057175,1.4329268861443674,-0.11932001632028977,2.0427787982050774,20.794753086419753,0.5077881619937694,648,0.08383233532934131,0.0,5.0,0.0
buy_hold,500,2024-2026,0.16777886414450596,0.6527065790468088,-0.19900270502409767,0.843098409763773,0.0,0.5123456790123457,648,,,,
long_engine,1000,full,0.185127160306416,1.1440037336166842,-0.17760591398953152,1.0423479497272135,10.731667748215443,0.5502183406113537,3082,,,,
short_bd_engine,1000,full,-0.041540373937946656,-0.43500098379089536,-0.47533473248354385,-0.08739183379448248,6.5979883192732,0.4040632054176072,3082,0.810379241516966,,,
dual_bd,1000,full,0.1436821789706757,0.8677276360747201,-0.23629546690833148,0.6080615123540046,17.01168072680078,0.5187457396046353,3082,0.013972055888223553,0.14814814814814814,27.0,-0.05868955291879996
buy_hold,1000,full,0.07834510338607638,0.29166217368408737,-0.7234872372733578,0.108288162319683,0.0,0.5434782608695652,3082,,,,
long_engine,1000,2014-2020,0.1811050497546726,1.0883533963514729,-0.17337154308540537,1.044606551523035,11.051552431165788,0.547925608011445,1707,,,,
short_bd_engine,1000,2014-2020,-0.06076530734374201,-0.5377575534045377,-0.461844114505912,-0.1315710332451669,5.023432923257177,0.4,1707,0.780439121756487,,,
dual_bd,1000,2014-2020,0.12042585840390073,0.7037906684567631,-0.23629546690833148,0.5096410014950425,15.787932044522556,0.5101522842639594,1707,0.1437125748502994,0.13333333333333333,15.0,-0.06292392382292611
buy_hold,1000,2014-2020,0.09849845636703215,0.34186075043187464,-0.7234872372733578,0.13614401373305238,0.0,0.546572934973638,1707,,,,
long_engine,1000,2021-2023,0.0882102820785123,0.7183980025119447,-0.1382038222000509,0.6382622468344425,9.099037138927098,0.5371900826446281,727,,,,
short_bd_engine,1000,2021-2023,-0.015741379493850648,-0.18370340984479108,-0.16765175172696145,-0.09389331952514963,9.773039889958733,0.43333333333333335,727,0.6047904191616766,,,
dual_bd,1000,2021-2023,0.07287330423528064,0.5698283342566355,-0.14588261588886342,0.4995338463823347,18.198074277854197,0.5098591549295775,727,0.13572854291417166,0.2857142857142857,7.0,-0.007678793688812524
buy_hold,1000,2021-2023,-0.02077807112660189,-0.10384095477533385,-0.3462427111864591,-0.060010132936523984,0.0,0.5364511691884457,727,,,,
long_engine,1000,2024-2026,0.29567826967180943,1.5920427631108889,-0.12634979002565383,2.340156399245107,11.720679012345679,0.5691318327974276,648,,,,
short_bd_engine,1000,2024-2026,-0.019841157328633605,-0.5105989702063041,-0.0530253698323494,-0.37418234689103536,6.805555555555555,0.2608695652173913,648,0.716566866267465,,,
dual_bd,1000,2024-2026,0.2758371123431758,1.4802978598459833,-0.12634979002565383,2.183122839279514,18.526234567901234,0.5496894409937888,648,0.08782435129740519,0.0,5.0,0.0
buy_hold,1000,2024-2026,0.1364635822938319,0.48333770373529844,-0.2667372748695275,0.5116029709780233,0.0,0.5432098765432098,648,,,,
long_engine,blend,full,0.19360433304430036,1.254443072689211,-0.14025699119460822,1.3803542439868262,10.731667748215443,0.5509461426491994,3082,,,,
short_bd_engine,blend,full,-0.042477614953583584,-0.6089178244197936,-0.47237718715378463,-0.08992308711926597,8.108371187540559,0.34201954397394135,3082,0.8962075848303394,,,
dual_bd,blend,full,0.15117441439181994,0.9862375740858466,-0.24116420016859585,0.6268526352009759,18.68105126541207,0.5173611111111112,3082,0.011976047904191617,0.043478260869565216,23.0,-0.10090720897398764
buy_hold,blend,full,0.08273995146222252,0.3227098140368622,-0.6891698640342101,0.12005741368011318,0.0,0.5418559377027904,3082,,,,
long_engine,blend,2014-2020,0.20631474411991732,1.2915032013679195,-0.13836417487756347,1.4910994432083475,11.051552431165788,0.5550786838340487,1707,,,,
short_bd_engine,blend,2014-2020,-0.06522324916926558,-0.84745159054305,-0.3840612743514725,-0.16982511261881802,6.315172817809022,0.2900763358778626,1707,0.874251497005988,,,
dual_bd,blend,2014-2020,0.14109149495065174,0.9027167435381187,-0.17764975905851965,0.7942115750586228,17.36672524897481,0.5161290322580645,1707,0.1437125748502994,0.0,13.0,-0.03928558418095618
buy_hold,blend,2014-2020,0.10441310123404035,0.3751863414114243,-0.6891698640342101,0.15150561085598677,0.0,0.5436438195664909,1707,,,,
long_engine,blend,2021-2023,0.07385246714528634,0.6515160431987456,-0.14025699119460833,0.5265510582842542,9.099037138927098,0.5234159779614325,727,,,,
short_bd_engine,blend,2021-2023,-0.010198692304610159,-0.1360411876963531,-0.16520815013858625,-0.06173238000700873,10.78404401650619,0.41379310344827586,727,0.5608782435129741,,,
dual_bd,blend,2021-2023,0.06385597566598569,0.5397390358859737,-0.1497087348835,0.42653473570314376,19.20907840440165,0.49591280653950953,727,0.14171656686626746,0.2,5.0,-0.009451743688891678
buy_hold,blend,2021-2023,-0.029990627298429905,-0.16435712704226418,-0.32622776631813655,-0.09193155946506133,0.0,0.530949105914718,727,,,,
long_engine,blend,2024-2026,0.28640182613853327,1.6147026567019378,-0.1188739796011391,2.409289460145144,11.720679012345679,0.572347266881029,648,,,,
short_bd_engine,blend,2024-2026,-0.018773879088822006,-0.5341081841325381,-0.06936209793483583,-0.2706648104337855,9.830246913580247,0.22580645161290322,648,0.6686626746506986,,,
dual_bd,blend,2024-2026,0.2676279470497112,1.5074887107050674,-0.1188739796011391,2.2513585222576893,21.550925925925927,0.5426829268292683,648,0.0718562874251497,0.0,5.0,0.0
buy_hold,blend,2024-2026,0.15212122321916893,0.5694015880401623,-0.2222031930939815,0.6846041278751057,0.0,0.5493827160493827,648,,,,
