date,beta_s_size_w240,beta_m_size_w240,beta_s_size_w120,beta_m_size_w120,beta_s_gv_w240,beta_m_gv_w240,beta_s_gv_w120,beta_m_gv_w120
2015-07-02,,,0.287058729859939,0.9774000517987927,,,1.1823891202135934,0.9970673190948861
2015-07-03,,,0.28774310630497707,0.9695525923501448,,,1.166348824675957,1.0101565830889303
2015-07-06,,,0.26682862680804625,0.9696060237436731,,,1.2316697219026502,1.008691398170497
2015-07-07,,,0.2765129000443593,0.9732096851774904,,,1.2311618359477847,1.007768761403529
2015-07-08,,,0.2658890852521964,0.9827461063728674,,,1.2068765102744523,1.0197515806349926
2015-07-09,,,0.2608995025248398,0.9886465156503669,,,1.2106055539178193,1.0191873099988413
2015-07-10,,,0.2534891751481645,0.9971813386535047,,,1.2104001600434409,1.0265979597571535
2015-07-13,,,0.2607165891854189,1.0047977477551495,,,1.2322682740997721,1.0349128898104878
2015-07-14,,,0.26209715073628403,1.003846625950888,,,1.260328820713529,1.0326076518648113
2015-07-15,,,0.2629940469415831,1.007594201437694,,,1.2671922837895861,1.0371344244323832
2015-07-16,,,0.2656639867769594,1.0062750621299978,,,1.2687526450050413,1.037196278367482
2015-07-17,,,0.2674262317529961,1.0091209504949221,,,1.295482024181288,1.0458436378330005
2015-07-20,,,0.2677493679251667,1.009021134381751,,,1.31407556633579,1.0432899411139616
2015-07-21,,,0.2693706598223483,1.0095435355489222,,,1.3169698398459553,1.0434073551156842
2015-07-22,,,0.2683934140336414,1.0094320712848501,,,1.319193893712766,1.0433331265705745
2015-07-23,,,0.2686677942122465,1.0094674618112986,,,1.3212111342273758,1.045322925367958
2015-07-24,,,0.269360531798539,1.0096303677777838,,,1.317317934406576,1.044688878096862
2015-07-27,,,0.27090344759905266,1.007248776948953,,,1.3178777982102317,1.040990990859524
2015-07-28,,,0.26455219920425443,1.005982544922045,,,1.3179471512041288,1.0440430754398675
2015-07-29,,,0.26406869774937713,1.0052784944892346,,,1.3232010165489718,1.0463247227422277
2015-07-30,,,0.26184791422166787,1.0073315407439436,,,1.320308088813145,1.0434409712330726
2015-07-31,,,0.2594860012549041,1.0064501048893977,,,1.3175984193175974,1.0424077370391651
2015-08-03,,,0.2512217730726189,1.005429515195236,,,1.3440119643299875,1.0441941074708987
2015-08-04,,,0.2491076256392845,1.003430825923673,,,1.3511419958212925,1.048966219013434
2015-08-05,,,0.24815323327858102,1.0039900726264177,,,1.3466216951518575,1.0436931276128831
2015-08-06,,,0.24803476322674783,1.00400349709616,,,1.3450996560296757,1.0433012876632934
2015-08-07,,,0.24803720905161625,1.0030534075862123,,,1.3481103431576977,1.0456578837248418
2015-08-10,,,0.24804867785211634,1.001783925363856,,,1.3461471963976677,1.0499515549135596
2015-08-11,,,0.2476904508774932,1.0019111567868662,,,1.3451258682910607,1.0493824204535578
2015-08-12,,,0.24781562869833465,1.0026097996684713,,,1.3441777964202166,1.0489130649446319
2015-08-13,,,0.24647634776004976,1.0014612133971068,,,1.3438568816759817,1.0495818874017415
2015-08-14,,,0.24631032807076597,1.0015241484305153,,,1.3439560417881409,1.0495134765776015
2015-08-17,,,0.24659668049949865,1.000373725864646,,,1.3423757711613833,1.0493859200358364
2015-08-18,,,0.2453608747114434,1.0001501858926058,,,1.3395015693930494,1.0572401101291875
2015-08-19,,,0.24522123249163616,0.9997255556578122,,,1.335737645175029,1.056070158805691
2015-08-20,,,0.24565930711445916,0.9991000577660676,,,1.3340810152490572,1.0562653697481876
2015-08-21,,,0.2465030877366449,0.9982639016259571,,,1.3306426221566263,1.0564394531768
2015-08-24,,,0.2468597141150707,0.9972637446366653,,,1.3346055845160798,1.051872734748483
2015-08-25,,,0.24795343978641946,0.9949797595736515,,,1.3288732285464084,1.058785051199913
2015-08-26,,,0.23772444819589153,0.9932635891870576,,,1.334906706102669,1.0589013916481906
2015-08-27,,,0.23334471237682952,0.996512247046234,,,1.3347669129828725,1.0626139789870388
2015-08-28,,,0.23244562143692915,0.9962017119811999,,,1.3316271896267893,1.0691723940652624
2015-08-31,,,0.23124094504479,0.9962008992196687,,,1.339967140747211,1.069742700563512
