underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
300｜沪深300,5,10,0,-0.0456294777471095,0.15080618716430302,-1.0720707954150719,0.4138464283622223,-1.0720707954150719
300｜沪深300,5,10,5,0.169818752154244,0.49333428362152737,-0.726670736153807,0.06494010863253205,-0.726670736153807
300｜沪深300,5,15,0,-0.018192491984344153,0.060096726924729865,-0.8494548128442604,0.6270625017790524,-0.8494548128442604
300｜沪深300,5,15,5,0.06000427388224206,0.5244457836030012,-1.4444267917636275,0.14690142867165953,-1.4444267917636275
300｜沪深300,5,25,0,-0.042292447291240605,0.16265997189795073,-1.146087651430582,0.558415682385071,-1.146087651430582
300｜沪深300,5,25,5,0.13349350905229837,0.43442758859524183,-0.634137898866272,-0.05306338208559701,-0.634137898866272
300｜沪深300,5,250,0,0.15961923743864817,0.3990252421338256,-0.6953201070782501,0.3161799907039856,-0.6953201070782501
300｜沪深300,5,250,5,0.47326853947394426,0.7981933560194159,-0.582997450757061,0.6088381803141888,-0.582997450757061
300｜沪深300,10,20,0,0.2098713480491452,0.5970608297113924,-0.8324770611744817,0.14314080577092345,-0.8324770611744817
300｜沪深300,10,20,5,0.24374134989073032,0.49938907060366916,-0.8836962334633777,0.7692384023259514,-0.8836962334633777
300｜沪深300,10,30,0,0.30216147465491167,0.6731189185963172,-0.4684398681831307,-0.078076043485395,-0.4684398681831307
300｜沪深300,10,30,5,0.4230391567358795,0.6197829203859538,-0.25773896169301036,0.5734619641635885,-0.25773896169301036
300｜沪深300,10,50,0,0.5216780473838302,0.7968281703538128,-0.3075442190490632,0.5645237728184468,-0.3075442190490632
300｜沪深300,10,50,5,0.7079814999994246,1.0026083410930784,0.04493327760646951,0.48057975196794217,0.04493327760646951
300｜沪深300,10,250,0,0.5374704215043746,0.7735935085444763,-0.09566264354649727,0.4584492935706,-0.09566264354649727
300｜沪深300,10,250,5,0.38800005241505336,0.7861265880827333,-0.8439575428791791,0.4700882332559459,-0.8439575428791791
300｜沪深300,20,40,0,0.6815817964597333,0.7860586958012851,0.02365735956651996,1.0263345211761152,0.02365735956651996
300｜沪深300,20,40,5,0.8862988598941601,1.0366502799349768,0.024964205868672932,1.3215220901917601,0.024964205868672932
300｜沪深300,20,60,0,0.6631573788098768,0.8432979485566622,-0.12084116517620903,0.9209604661082207,-0.12084116517620903
300｜沪深300,20,60,5,0.7895796116538412,1.0812916049649548,-0.1323130589665002,0.8862908959583237,-0.1323130589665002
300｜沪深300,20,100,0,0.9074333144351071,1.1833023973841388,0.1693026905502609,0.9073418905842728,0.1693026905502609
300｜沪深300,20,100,5,0.8208760159319041,0.9891815909664554,0.164461740223696,1.0007333612812885,0.164461740223696
300｜沪深300,20,250,0,0.8779459215848701,1.1298833023968562,0.10076156568855552,0.9403787125949663,0.10076156568855552
300｜沪深300,20,250,5,0.7189883768282987,0.9796046632374117,-0.09731687954598287,0.7666905138096275,-0.09731687954598287
300｜沪深300,40,80,0,0.8736556173369134,1.0292269951106252,0.4777838939482749,0.8566936635051214,0.4777838939482749
300｜沪深300,40,80,5,0.7817796991623279,1.0117960269153587,0.23146172772565807,0.7388185977473559,0.23146172772565807
300｜沪深300,40,120,0,0.7067019675506546,0.9119672974501679,0.10689172075170095,0.7426013884211512,0.10689172075170095
300｜沪深300,40,120,5,0.4828258217859106,0.7504392696332115,-0.4026534252345305,0.5657167679561111,-0.4026534252345305
300｜沪深300,40,200,0,0.6833754104224213,0.787978756496939,0.22384384626242187,0.8518510175883934,0.22384384626242187
300｜沪深300,40,200,5,0.3333363218938984,0.4235693220496033,-0.23014364685819716,0.608241216643105,-0.23014364685819716
