lookback,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26
5,10,0,0.3959235334871891,-0.14989082892458597,-0.4985811324786438
5,10,5,-0.1281969248248261,-0.7644661695316249,-0.6338228046442982
5,15,0,0.04954892423469685,-0.029747719974634525,-0.2593180969665652
5,15,5,-0.053692286113033914,-0.45472114648504697,-0.051023079788269136
5,25,0,0.45847329284629,0.07847635870194641,0.2989124464761912
5,25,5,0.13136794972090335,-0.25593687132094517,0.15532183312954062
5,250,0,0.7310486805286449,0.44590338152198666,0.928259303771304
5,250,5,0.30857629730917746,-0.06704448440985514,0.6389784695322636
10,20,0,0.09862510593026881,-0.26274140521306555,0.8429454981558561
10,20,5,0.04864846331430816,-0.2456146489867557,0.6256565634349542
10,30,0,0.339291182102585,0.11896455173223007,0.8517937966622607
10,30,5,0.5601617364353576,0.22245681606477136,0.5575637523985483
10,50,0,0.4999777675329403,0.24271550124025199,0.5293221955717219
10,50,5,0.6236697535425357,0.496965537541676,0.473423252714419
10,250,0,0.5924011450366424,0.18681698937668204,0.6435773957578391
10,250,5,0.905003460687789,0.39616310138580096,0.8764541735834168
20,40,0,0.6005102837494276,0.7594114620192688,1.1950833127215608
20,40,5,0.9251216309741218,1.007379143735789,0.8860763816033406
20,60,0,0.9499726949909587,0.497208362371308,0.8399601612091105
20,60,5,0.6680917238315573,1.077640723440183,1.1236207200227897
20,100,0,0.7143612103553959,0.841830866548124,0.883713227886887
20,100,5,0.707948452460275,0.8512124769907318,1.3775890591739917
20,250,0,0.5646816869862737,0.7873781298084682,1.0123521996459444
20,250,5,0.36993307555461385,0.8224875873321422,1.2562035885140161
40,80,0,0.4049021811403172,0.2571639227187886,0.8595861565890214
40,80,5,0.3083064244316672,-0.6100963121415796,0.9616090356313831
40,120,0,0.006616748874520109,-0.14671171203658714,0.9401584236633459
40,120,5,-0.04908921770491818,-0.4599375714317031,0.9508071518619484
40,200,0,-0.06530714549611347,-0.07695615996510909,0.8395067615272661
40,200,5,-0.38554392900211726,-0.08830498392877191,0.8647014821713233
40,250,0,0.12848379939879917,-0.04764143634897898,1.0276120325238671
40,250,5,-0.2889246213702466,-0.05325245460971253,1.0752134387660623
60,120,0,0.23550688949316548,-0.33929852381961306,-0.35694735936229927
60,120,5,-0.011068358990239184,-0.6749005113707662,0.03782479587292675
60,180,0,-0.05641364164898722,-0.015188379398173154,0.2784009078013643
60,180,5,-0.09288670484421253,0.08340406708810806,0.18529500684609357
60,300,0,0.008482878459496315,-0.24504722710171914,-0.15344967727150147
60,300,5,-0.12242614952243247,-0.14688646708040687,-0.19081862538451294
60,250,0,-0.16695227755697747,-0.391961162631598,0.33792723435821187
60,250,5,-0.18000704347499905,-0.07620625128167859,0.5563901001152946
