signal,kou_jing,window,n_obs,ann_longflat,sharpe_longflat,maxdd_longflat,calmar_longflat,turnover_longflat,hit_longflat,ann_symmetric,sharpe_symmetric,maxdd_symmetric,calmar_symmetric,turnover_symmetric,hit_symmetric,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,ci_excludes_zero
equal_weight,500,full,3065,0.2725348511553824,1.734757227413714,-0.16664338782248356,1.6354375335053764,10.551386623164763,0.5596681557115507,0.311923481442342,1.2734035079590722,-0.286696363703148,1.0879924579905547,21.182707993474715,0.531900826446281,0.46135371945464176,0.029992847201697502,0.8714279340477319,0.0326967303269673,0.44616115851068044,0.21565841705807204,20,10000,0,True
equal_weight,500,2014-2020,1707,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,0.32991677130728875,1.2356334370288111,-0.286696363703148,1.1507532465563188,22.8207381370826,0.5242951409718056,0.7042358606150088,0.11388826048522636,1.3225110448645554,0.022397760223977603,0.7137900186435104,0.30640175851415374,20,10000,0,True
equal_weight,500,2021-2023,727,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,-0.1850327423755872,-0.9814476475652585,0.6268698181854999,0.6495350464953504,-0.18954693602002773,0.4110475767981359,20,10000,0,False
equal_weight,500,2024-2026,631,0.32835172922766925,1.856478952187239,-0.16292553423965028,2.0153484888666404,10.8716323296355,0.5525525525525525,0.3961372731451299,1.5486558650954252,-0.2452397508542189,1.6153061311035626,21.743264659271,0.5444444444444444,0.3078230870918137,-0.4629275495301082,1.096894906034056,0.43325667433256676,0.2906508450980421,0.3976253214811893,20,10000,0,False
equal_weight,1000,full,3065,0.25094694932687256,1.4711261081047946,-0.17525563798797328,1.4318908778506374,10.551386623164763,0.5583918315252074,0.4031232662591135,1.5162349845874203,-0.29857551233971247,1.3501551520422377,21.182707993474715,0.5322314049586777,-0.04510887648262574,-0.5129426488155332,0.38033998661770313,0.8462153784621538,-0.06649573128990235,0.23010894369624002,20,10000,0,False
equal_weight,1000,2014-2020,1707,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,0.43986939595262875,1.546595012960378,-0.29857551233971247,1.4732266303612847,22.8207381370826,0.531493701259748,-0.08147943723400819,-0.7429269456313534,0.5881789692821537,0.8132186781321867,-0.07684304608704305,0.34121159129997164,20,10000,0,False
equal_weight,1000,2021-2023,727,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,0.2674380279961728,1.3453539435549038,-0.1417441896340964,1.8867653671487135,16.85006877579092,0.5261707988980716,-0.30958158379106315,-1.1093122536979856,0.5226074621940912,0.45795420457954206,-0.2866295058852441,0.4154996370019301,20,10000,0,False
equal_weight,1000,2024-2026,631,0.3529463099037945,1.8385209769929967,-0.1752556379879726,2.013894183124747,10.8716323296355,0.5765765765765766,0.4488554033961254,1.5978044554803654,-0.25943482258268524,1.7301278175680113,21.743264659271,0.5396825396825397,0.24071652151263123,-0.5855289198204258,1.0348388341803707,0.5546445355464453,0.2218489483176916,0.41402624222942663,20,10000,0,False
equal_weight,blend,full,3065,0.26174090024112745,1.609892322100946,-0.166666862423816,1.5704435568934414,10.551386623164763,0.5603063178047224,0.35752337385072774,1.4118441313706616,-0.2925550608889208,1.2220720870949981,21.182707993474715,0.5299173553719009,0.19804819073028446,-0.2506978719564081,0.609420738878877,0.3731626837316268,0.17954331642491156,0.22064582254701712,20,10000,0,False
equal_weight,blend,2014-2020,1707,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,0.3848930836299588,1.4058156112534208,-0.2925550608889208,1.3156261336258253,22.8207381370826,0.5272945410917816,0.29953169960017245,-0.3216380224485786,0.9399355148237489,0.35066493350664935,0.30644327190336196,0.32190245491601915,20,10000,0,False
equal_weight,blend,2021-2023,727,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,0.22808365314783535,1.2560757952402728,-0.15035075042658586,1.5170104073355148,16.85006877579092,0.5261707988980716,-0.2551451887100318,-1.0425995159663797,0.5554973624112484,0.5335466453354665,-0.24546021371701668,0.40904797362193424,20,10000,0,False
equal_weight,blend,2024-2026,631,0.3406490195657319,1.8588901569075682,-0.16666686242381534,2.0438917167559034,10.8716323296355,0.5765765765765766,0.42249633827062777,1.5896463352466947,-0.2501863622216788,1.6887264937977433,21.743264659271,0.5396825396825397,0.26924382166087346,-0.5158304664761166,1.0509908526563438,0.49405059494050596,0.2520334528365013,0.40121238954392685,20,10000,0,False
