underlying,window,carry,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
300｜沪深300,full,none,0.1190133625984021,0.8862988598941601,-0.22446726563705022,0.5302036457771949,10.620925684485005,0.5111536010197578,3068
300｜沪深300,2014-2020,none,0.14436454357574557,1.0366502799349768,-0.1364983796211523,1.0576282588586443,11.34525205158265,0.5195729537366548,1706
300｜沪深300,2021-2023,none,0.0029972728074371545,0.024964205868672932,-0.18433687467927973,0.016259757103140586,8.42503438789546,0.4794871794871795,727
300｜沪深300,2024-2026,none,0.17943562937854282,1.3215220901917601,-0.15632102708532658,1.1478662386257181,11.188976377952756,0.5253731343283582,635
500｜中证500（现役分量）,full,none,0.21161141543339346,1.3464285393057427,-0.19389087833887686,1.091394382481187,10.617464972303683,0.5398342893562779,3069
500｜中证500（现役分量）,2014-2020,none,0.23667536794465133,1.427554511456783,-0.1277566867095986,1.852547792528729,11.338605741066198,0.5432977461447213,1707
500｜中证500（现役分量）,2021-2023,none,0.07059036004751196,0.6391408901035306,-0.13393140215740473,0.5270635482823488,8.42503438789546,0.5307692307692308,727
500｜中证500（现役分量）,2024-2026,none,0.2985621322535221,1.6861878628784615,-0.17696567245859474,1.6871189090267078,11.188976377952756,0.5402985074626866,635
1000｜中证1000（现役分量）,full,none,0.2393471034371936,1.4026131351248539,-0.19856934920366143,1.2053577472911428,10.617464972303683,0.5525812619502868,3069
1000｜中证1000（现役分量）,2014-2020,none,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
1000｜中证1000（现役分量）,2021-2023,none,0.12183805389338195,0.956993177366898,-0.13385832961707866,0.9102015111193866,8.42503438789546,0.541025641025641,727
1000｜中证1000（现役分量）,2024-2026,none,0.3075929591510035,1.6013626560943208,-0.19856934920366176,1.5490455117296182,11.188976377952756,0.5582089552238806,635
2000｜中证2000（微盘代理）,full,none,0.26682746772291405,1.539804269266038,-0.20061639594727299,1.3300381878709604,10.617464972303683,0.5736137667304015,3069
2000｜中证2000（微盘代理）,2014-2020,none,0.28816030474025933,1.6234997284219497,-0.16229468505381572,1.7755375331281336,11.338605741066198,0.5800711743772242,1707
2000｜中证2000（微盘代理）,2021-2023,none,0.14192484545221004,1.0735146556278568,-0.12488720937728526,1.136424187551937,8.42503438789546,0.5666666666666667,727
2000｜中证2000（微盘代理）,2024-2026,none,0.34573076563840804,1.7217608846336467,-0.16483294244099977,2.097461590617171,11.188976377952756,0.564179104477612,635
div｜中证红利,full,none,0.1016626552994775,0.8153392871131034,-0.16360659203789096,0.6213848356179477,10.617464972303683,0.5264499681325685,3069
div｜中证红利,2014-2020,none,0.15489015916129142,1.1288959503354818,-0.1345998033866066,1.150745805448211,11.338605741066198,0.538552787663108,1707
div｜中证红利,2021-2023,none,0.0020056175379015396,0.019745278514044604,-0.15169483687033858,0.013221396187767713,8.42503438789546,0.5102564102564102,727
div｜中证红利,2024-2026,none,0.07123761579802669,0.632678101240218,-0.09985716547078005,0.7133951325593361,11.188976377952756,0.5134328358208955,635
micro｜万得微盘（上界参考·不可执行）,full,none,0.35704994723202,1.941747126009164,-0.21849368007258874,1.634143134544668,10.617464972303683,0.5965583173996176,3069
micro｜万得微盘（上界参考·不可执行）,2014-2020,none,0.3935136060579627,2.0887518548251087,-0.17922229323095895,2.1956733114158533,11.338605741066198,0.6156583629893239,1707
micro｜万得微盘（上界参考·不可执行）,2021-2023,none,0.19780338789244753,1.3807576567540143,-0.14156374252493775,1.3972743611069949,8.42503438789546,0.5717948717948718,727
micro｜万得微盘（上界参考·不可执行）,2024-2026,none,0.43793159773340695,2.07745930402369,-0.13054193552827642,3.3547196612428616,11.188976377952756,0.5761194029850746,635
篮子｜500+1000（=现役 blend）,full,none,0.2254792594352935,1.3854987710550437,-0.18583427401073205,1.213335164547052,10.617464972303683,0.5468451242829828,3069
篮子｜500+1000（=现役 blend）,2014-2020,none,0.24867490479617868,1.4553333182159889,-0.14606889487759134,1.702449416109934,11.338605741066198,0.5468564650059312,1707
篮子｜500+1000（=现役 blend）,2021-2023,none,0.09621420697044696,0.8216308782762838,-0.13248877526359548,0.7262064788433753,8.42503438789546,0.5333333333333333,727
篮子｜500+1000（=现役 blend）,2024-2026,none,0.30307754570226275,1.6524735499983556,-0.1858342740107325,1.6309023043012998,11.188976377952756,0.5611940298507463,635
篮子｜1000+2000（小盘）,full,none,0.25308728558005383,1.481492200586833,-0.18169704160607958,1.392908125211795,10.617464972303683,0.5615041427660931,3069
篮子｜1000+2000（小盘）,2014-2020,none,0.27441737319398274,1.549535936928989,-0.16784469195650387,1.6349481773608703,11.338605741066198,0.5682087781731909,1707
篮子｜1000+2000（小盘）,2021-2023,none,0.131881449672796,1.0340674873014035,-0.12574621569419542,1.0487906053055382,8.42503438789546,0.5435897435897435,727
篮子｜1000+2000（小盘）,2024-2026,none,0.32666186239470574,1.6764140763485058,-0.18169704160608013,1.7978380908529588,11.188976377952756,0.564179104477612,635
篮子｜300+500（大中盘）,full,none,0.16534687588281977,1.1759871738305767,-0.2079232655193477,0.7952302762743686,10.620925684485005,0.5277246653919694,3068
篮子｜300+500（大中盘）,2014-2020,none,0.19058932134283169,1.2963072574510979,-0.11995551761708045,1.5888333036186548,11.34525205158265,0.5421115065243179,1706
篮子｜300+500（大中盘）,2021-2023,none,0.03679381642747455,0.3343280007406415,-0.13913626780034827,0.2644444687870408,8.42503438789546,0.5025641025641026,727
篮子｜300+500（大中盘）,2024-2026,none,0.23899888081603246,1.5607444063609246,-0.1664550343073926,1.4358164762663357,11.188976377952756,0.5194029850746269,635
篮子｜300+500+1000+2000（四层等权）,full,none,0.20925832702960825,1.378788691452892,-0.1695431836239557,1.2342479512107083,10.620925684485005,0.5481198215423837,3068
篮子｜300+500+1000+2000（四层等权）,2014-2020,none,0.23258377440005842,1.4681232248970213,-0.13832941229098916,1.6813761480515523,11.34525205158265,0.5587188612099644,1706
篮子｜300+500+1000+2000（四层等权）,2021-2023,none,0.08433763305013527,0.7461088629405325,-0.1308677300007578,0.6444494227083094,8.42503438789546,0.5256410256410257,727
篮子｜300+500+1000+2000（四层等权）,2024-2026,none,0.28283037160536906,1.6581036502868833,-0.16954318362395582,1.6681907556524507,11.188976377952756,0.5462686567164179,635
