date,n,xs_sd,xs_mean,xs_med
2012-01-04,2228,0.023275785352605542,-0.026147160152258476,-0.025528691152466376
2012-01-05,2220,0.029509484463162827,-0.042929590151081276,-0.043540396341463415
2012-01-06,2237,0.025495308531820384,0.005267034672945284,0.007881773399014778
2012-01-09,2230,0.018072173858465396,0.042679172217377014,0.041304347826086954
2012-01-10,2240,0.020530517767922675,0.04127357996769227,0.0388056417553906
2012-01-11,2239,0.019288361177355592,0.0024777177294765178,-0.0011933174224343676
2012-01-12,2225,0.018442489365985863,-0.0024463587057919423,-0.003703703703703704
2012-01-13,2219,0.02582645490004843,-0.04027868143109809,-0.04105571847507331
2012-01-16,2181,0.026185077523027567,-0.035285931154760454,-0.03279445727482679
2012-01-17,2232,0.01960812344472065,0.05610010030792784,0.055835214275975945
2012-01-18,2244,0.026998259180490015,-0.02537425265355933,-0.022493118503265616
2012-01-19,2250,0.022008875672142283,0.01063239713909996,0.009874921988766383
2012-01-20,2241,0.0184725410844095,0.013986527501989317,0.012658227848101266
2012-01-30,2246,0.01855982210770771,-0.0034868718444606176,-0.0051670051584236775
2012-01-31,2242,0.019440237368224002,0.001315858086757643,0.0
2012-02-01,2247,0.01770275589689553,-0.00575965880393489,-0.007194244604316547
2012-02-02,2240,0.014295143827554785,0.019944141366496092,0.01813602475392263
2012-02-03,2228,0.01753595763065835,0.018901528839404564,0.016243393334282624
2012-02-06,2235,0.01860646718178847,0.010010041086992109,0.005874947545111205
2012-02-07,2232,0.017440768509597585,-0.01828308381311067,-0.021405446466790056
2012-02-08,2224,0.01520444976335733,0.027648588027121418,0.025018054886856052
2012-02-09,2232,0.017007718398282197,0.007753985076348457,0.005410283930139526
2012-02-10,2233,0.017187556543784076,0.006550825573722878,0.0031645569620253164
2012-02-13,2247,0.018486945233237562,0.01252624208770663,0.009846827133479213
2012-02-14,2246,0.016775616582964222,0.0016644871636074846,-0.001854603233561354
2012-02-15,2240,0.0165812717165667,0.018053313350047912,0.014998156361171942
