family,best_form,best_k,direction,ic,ic_pvalue,partial_ic_vs_ew,partial_ic_pvalue,ic_2020-2022,ic_2023-2026,net_sharpe,net_ann,turnover,gate1_significant_and_independent,gate2_stable_halves,gate3_net_positive,PASS,role
O1,O1_lb5zw250,20,1.0,0.08870951839751239,0.4125874125874126,0.0823170236575022,0.4385614385614386,0.15509885162680767,0.25868317728782847,0.07011948778276927,0.014567146473854844,6.491065927295133,False,True,True,False,main
O2,O2_lb5zw60,40,-1.0,-0.3578947368421053,0.03196803196803197,-0.3511073656158633,0.022977022977022976,-0.6323529411764706,-0.3220779220779221,0.5178624401881337,0.1140630590491262,6.877729257641922,True,True,True,True,main
O3,O3_lb20zw250,5,1.0,0.03256247166666746,0.6013986013986014,0.03429346646036522,0.5144855144855145,0.04637536966792555,0.05067356372441118,-0.09637552924880415,-0.020048620081420537,10.717806531115219,False,True,False,False,main
O4,O4_lb5zw250,20,1.0,0.15072165129529697,0.15784215784215785,0.1725627214269698,0.11488511488511488,0.22571528729836807,0.2736333434007852,0.8538719353327189,0.17707876043818804,5.283425754775108,False,True,True,False,main
O5,O5_lb5zw60,40,1.0,0.08623481781376519,0.5784215784215784,0.08605563680618117,0.6033966033966034,0.37500000000000006,0.15844155844155844,-0.07249980916317462,-0.01595734360849096,6.487068965517241,False,True,False,False,main
O6,O6_lb5zw60,10,1.0,0.09664050415272236,0.3046953046953047,0.14999306103217977,0.08591408591408592,0.10990639125199012,0.08101261208719107,0.011106660453227389,0.0025361936070258427,13.515546639919759,False,True,True,False,descriptive
