year,n,inc_sharpe,stg_sharpe,inc_ann,stg_ann,inc_maxdd,stg_maxdd
2014,245,1.2506391448005865,0.8655342734268366,0.13782357969093717,0.09425109903117378,-0.06379063173345767,-0.06800496573575532
2015,244,3.329829604734183,3.593853862335085,0.8226647139397448,0.906558194179505,-0.1348188666457083,-0.1348188666457083
2016,244,0.9681127002168025,0.3262894121983223,0.17199709995052373,0.06133751642205616,-0.1285694416471741,-0.1429813026299932
2017,244,0.7733852284312912,0.3762324226011789,0.07910727069513289,0.03385080270889461,-0.06566298164567042,-0.08178125341183173
2018,243,0.8899544178230486,0.2848642932555299,0.12256742578761778,0.04047910909489904,-0.08425710464679159,-0.12708746315447728
2019,244,2.2876348142569087,1.3217622359902044,0.3836612694389986,0.17048968934553832,-0.061216205084532405,-0.06094592021999112
2020,243,1.5834780524287346,1.5363248548779656,0.3196277892482605,0.22437743253119014,-0.12327697458527886,-0.1169982191819644
2021,243,1.4633523622992843,1.35098418016116,0.1491598800034264,0.13586390746228055,-0.061421702301249104,-0.052099227017743166
2022,242,1.0696744390354516,1.853509206048668,0.1531999978305114,0.21268971455983093,-0.1312448943202562,-0.053996089800677605
2023,242,0.6815889576542977,0.960551830988199,0.07079692941037534,0.08255520033774609,-0.12103448714531095,-0.0747494033837971
2024,242,0.8381247592393609,0.7364754631285019,0.19380644504495803,0.1657586611974113,-0.16666686242381534,-0.1813496155494847
2025,243,3.7400956263137446,3.532440824038017,0.5075448839914063,0.46644151627505936,-0.05732488479865594,-0.05732488479865605
2026,149,1.9280553112827383,1.6167699914750873,0.3076174623923452,0.2524869694341681,-0.09187953714142094,-0.09625455525335769
