signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs,pvalue
incumbent_ret20_sym,500,full,full,0.30981108365336335,1.2738099580127822,-0.286696363703148,1.0806243917838765,21.342866535174227,0.5318227257580806,3042,0.001996007984031936
incumbent_ret20_sym,500,full,long,0.2745954368150056,1.7413817091053332,-0.16664338782248356,1.6478027745542336,10.631163708086785,0.5596681557115507,3042,0.001996007984031936
incumbent_ret20_sym,500,full,short,0.03521564683835777,0.18997533537273897,-0.4737341494588305,0.07433630629876758,10.711702827087443,0.4604086845466156,3042,0.001996007984031936
incumbent_ret20_sym,500,2014-2020,full,0.3281807310399322,1.2288929941803965,-0.286696363703148,1.1446979194327631,22.8207381370826,0.5242951409718056,1707,0.007984031936127744
incumbent_ret20_sym,500,2014-2020,long,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707,0.007984031936127744
incumbent_ret20_sym,500,2014-2020,short,0.0067424361206182126,0.03219015234682498,-0.4737341494588305,0.014232531322304766,11.482132396016404,0.43964562569213733,1707,0.007984031936127744
incumbent_ret20_sym,500,2021-2023,full,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,727,0.013972055888223553
incumbent_ret20_sym,500,2021-2023,long,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727,0.013972055888223553
incumbent_ret20_sym,500,2021-2023,short,0.0860317762621231,0.6682301251911124,-0.17309038856381131,0.49703381554549303,8.42503438789546,0.4903047091412742,727,0.015968063872255488
incumbent_ret20_sym,500,2024-2026,full,0.3936281018810983,1.5896501470409383,-0.2452397508542189,1.6050746280324182,22.56578947368421,0.5445544554455446,608,0.03792415169660679
incumbent_ret20_sym,500,2024-2026,long,0.3407729295109528,1.8917147531911187,-0.16292553423965028,2.0915870007810033,11.282894736842104,0.5525525525525525,608,0.033932135728542916
incumbent_ret20_sym,500,2024-2026,short,0.052855172370145476,0.31042036068903206,-0.22010099394936466,0.2401405437646732,11.282894736842104,0.4850498338870432,608,0.03992015968063872
incumbent_ret20_sym,1000,full,full,0.40160193309940356,1.51928035925245,-0.29857551233971247,1.3450598475151236,21.342866535174227,0.5328223925358214,3042,0.003992015968063872
incumbent_ret20_sym,1000,full,long,0.25284431284906783,1.4767246008885928,-0.17525563798797328,1.442717140240698,10.631163708086785,0.5583918315252074,3042,0.001996007984031936
incumbent_ret20_sym,1000,full,short,0.1487576202503358,0.7359093431779868,-0.42809264260097746,0.34748931760780544,10.711702827087443,0.46551724137931033,3042,0.003992015968063872
incumbent_ret20_sym,1000,2014-2020,full,0.43811303803773716,1.5401346976583359,-0.29857551233971247,1.4673441723488094,22.8207381370826,0.531493701259748,1707,0.007984031936127744
incumbent_ret20_sym,1000,2014-2020,long,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707,0.007984031936127744
incumbent_ret20_sym,1000,2014-2020,short,0.17743859639003107,0.7964366882557931,-0.42809264260097746,0.41448644226156556,11.482132396016404,0.4640088593576966,1707,0.007984031936127744
incumbent_ret20_sym,1000,2021-2023,full,0.2674380279961728,1.3453539435549038,-0.1417441896340964,1.8867653671487135,16.85006877579092,0.5261707988980716,727,0.015968063872255488
