family,lb,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
X2,5,60,20,1000,-0.109466,120,-0.166488,84,-0.07619,35,0.440712,30,-0.042968,152
X2,5,60,20,blend,-0.111536,120,-0.16422,84,-0.089636,35,0.407786,30,-0.04467,152
X2,5,60,40,500,-0.039918,59,-0.048606,41,0.088235,17,0.358242,14,-0.096615,75
X2,5,60,40,1000,-0.094272,59,-0.140941,41,0.078431,17,0.450549,14,-0.142418,75
X2,5,60,40,blend,-0.074284,59,-0.102613,41,0.044118,17,0.371429,14,-0.12845,75
X2,5,250,5,500,0.005862,485,0.008835,340,-0.01983,144,-0.064246,125,-0.005175,612
X2,5,250,5,1000,0.029122,485,0.03723,340,-0.01231,144,-0.049868,125,0.01822,612
X2,5,250,5,blend,0.019278,485,0.02403,340,-0.015967,144,-0.052848,125,0.005593,612
X2,5,250,10,500,-0.021484,242,-0.007419,169,-0.030718,71,-0.066103,62,-0.041127,305
X2,5,250,10,1000,0.019223,242,0.042074,169,-0.012408,71,-0.063131,62,-0.003676,305
X2,5,250,10,blend,-0.000606,242,0.023848,169,-0.004594,71,-0.065851,62,-0.022339,305
X2,5,250,20,500,-0.131787,120,-0.176228,84,-0.155182,35,-0.061624,30,-0.152434,152
X2,5,250,20,1000,-0.097298,120,-0.154561,84,-0.126611,35,0.028699,30,-0.127362,152
X2,5,250,20,blend,-0.112036,120,-0.162397,84,-0.133333,35,0.002002,30,-0.141721,152
X2,5,250,40,500,-0.158854,59,-0.183101,41,0.017157,17,-0.116484,14,-0.256728,75
X2,5,250,40,1000,-0.139041,59,-0.133449,41,0.071078,17,0.076923,14,-0.238009,75
X2,5,250,40,blend,-0.144711,59,-0.138328,41,0.022059,17,-0.072527,14,-0.249246,75
X2,20,60,5,500,-0.014842,485,-0.018207,340,-0.016482,144,0.116836,125,0.023516,612
X2,20,60,5,1000,-0.013333,485,-0.019209,340,-0.021059,144,0.135601,125,0.025716,612
X2,20,60,5,blend,-0.014945,485,-0.019836,340,-0.018592,144,0.123975,125,0.02273,612
X2,20,60,10,500,-0.051982,242,-0.049281,169,-0.035345,71,0.144418,62,-0.003773,305
X2,20,60,10,1000,-0.045492,242,-0.04507,169,-0.036754,71,0.107703,62,-0.001716,305
X2,20,60,10,blend,-0.05063,242,-0.04917,169,-0.014856,71,0.124978,62,-0.004501,305
X2,20,60,20,500,-0.106174,120,-0.122892,84,-0.110084,35,0.218687,30,-0.063522,152
