kou_jing,window,leg,start,end,n_short_open,gap_mean,gap_median,gap_std,gap_p10,gap_p90,pct_gap_up_short_avoids_loss,pct_gap_down_short_misses_gain,missed_pnl_sum,missed_pnl_mean,flip_short_to_long
500,full,symmetric,2015-04-17,2026-04-29,60,0.0005357324542648904,0.000874451867955206,0.003583159177899401,-0.004129771157846784,0.004225450878071802,0.6,0.36666666666666664,-0.032143947255893424,-0.0005357324542648904,60
500,full,short_seg,2015-04-17,2026-04-29,60,0.0005357324542648904,0.000874451867955206,0.003583159177899401,-0.004129771157846784,0.004225450878071802,0.6,0.36666666666666664,-0.032143947255893424,-0.0005357324542648904,0
500,2014-2020,symmetric,2015-04-17,2020-12-31,35,0.0011064200398328244,0.0009749894022892391,0.004168033384283272,-0.0033717350888774916,0.006002641102647966,0.6571428571428571,0.2857142857142857,-0.03872470139414885,-0.0011064200398328244,35
500,2014-2020,short_seg,2015-04-17,2020-12-31,35,0.0011064200398328244,0.0009749894022892391,0.004168033384283272,-0.0033717350888774916,0.006002641102647966,0.6571428571428571,0.2857142857142857,-0.03872470139414885,-0.0011064200398328244,0
500,2021-2023,symmetric,2021-01-04,2023-12-29,13,-0.0004794835274079577,-2.7719259341418834e-05,0.0020710242771112405,-0.002814832638375164,0.0015834719795479125,0.46153846153846156,0.5384615384615384,0.00623328585630345,0.0004794835274079577,12
500,2021-2023,short_seg,2021-01-04,2023-12-29,13,-0.0004794835274079577,-2.7719259341418834e-05,0.0020710242771112405,-0.002814832638375164,0.0015834719795479125,0.46153846153846156,0.5384615384615384,0.00623328585630345,0.0004794835274079577,0
500,2024-2026,symmetric,2024-01-02,2026-04-29,13,-0.00018123830385816323,4.063058670578101e-05,0.0027441083173212963,-0.004134233825773159,0.002889923546642992,0.5384615384615384,0.46153846153846156,0.002356097950156122,0.00018123830385816323,13
500,2024-2026,short_seg,2024-01-02,2026-04-29,13,-0.00018123830385816323,4.063058670578101e-05,0.0027441083173212963,-0.004134233825773159,0.002889923546642992,0.5384615384615384,0.46153846153846156,0.002356097950156122,0.00018123830385816323,0
1000,full,symmetric,2022-07-25,2026-04-29,19,0.00023593594428833757,0.0008845238821448831,0.0030857594701660623,-0.003380430415832336,0.003297113524030503,0.631578947368421,0.3684210526315789,-0.004482782941478414,-0.00023593594428833757,19
1000,full,short_seg,2022-07-25,2026-04-29,19,0.00023593594428833757,0.0008845238821448831,0.0030857594701660623,-0.003380430415832336,0.003297113524030503,0.631578947368421,0.3684210526315789,-0.004482782941478414,-0.00023593594428833757,0
1000,2021-2023,symmetric,2022-07-25,2023-12-29,7,0.00044722632611368267,0.0008845238821448831,0.0020576572682725917,-0.0020008844653613524,0.00276074234037309,0.5714285714285714,0.42857142857142855,-0.0031305842827957786,-0.00044722632611368267,6
1000,2021-2023,short_seg,2022-07-25,2023-12-29,7,0.00044722632611368267,0.0008845238821448831,0.0020576572682725917,-0.0020008844653613524,0.00276074234037309,0.5714285714285714,0.42857142857142855,-0.0031305842827957786,-0.00044722632611368267,0
1000,2024-2026,symmetric,2024-01-02,2026-04-29,13,-1.813120406328579e-05,0.0007058921230742587,0.003513846692385497,-0.004869638075403104,0.003948123733867882,0.6153846153846154,0.38461538461538464,0.00023570565282271527,1.813120406328579e-05,13
1000,2024-2026,short_seg,2024-01-02,2026-04-29,13,-1.813120406328579e-05,0.0007058921230742587,0.003513846692385497,-0.004869638075403104,0.003948123733867882,0.6153846153846154,0.38461538461538464,0.00023570565282271527,1.813120406328579e-05,0
blend,full,symmetric,2022-07-25,2026-04-29,19,6.304029568220637e-05,0.0003732613548900199,0.0026720692652266627,-0.003838303344485505,0.0029429034664286034,0.5789473684210527,0.42105263157894735,-0.0011977656179619212,-6.304029568220637e-05,19
blend,full,short_seg,2022-07-25,2026-04-29,19,6.304029568220637e-05,0.0003732613548900199,0.0026720692652266627,-0.003838303344485505,0.0029429034664286034,0.5789473684210527,0.42105263157894735,-0.0011977656179619212,-6.304029568220637e-05,0
blend,2021-2023,symmetric,2022-07-25,2023-12-29,7,9.934291851379904e-05,-0.00016572195813086,0.0018967436627158676,-0.002197370572025836,0.002061782930336187,0.42857142857142855,0.5714285714285714,-0.0006954004295965932,-9.934291851379904e-05,6
blend,2021-2023,short_seg,2022-07-25,2023-12-29,7,9.934291851379904e-05,-0.00016572195813086,0.0018967436627158676,-0.002197370572025836,0.002061782930336187,0.42857142857142855,0.5714285714285714,-0.0006954004295965932,-9.934291851379904e-05,0
blend,2024-2026,symmetric,2024-01-02,2026-04-29,13,-9.96847539607245e-05,0.0003732613548900199,0.0030282608130161297,-0.004325891699892925,0.0030448144654007915,0.6153846153846154,0.38461538461538464,0.0012959018014894186,9.96847539607245e-05,13
blend,2024-2026,short_seg,2024-01-02,2026-04-29,13,-9.96847539607245e-05,0.0003732613548900199,0.0030282608130161297,-0.004325891699892925,0.0030448144654007915,0.6153846153846154,0.38461538461538464,0.0012959018014894186,9.96847539607245e-05,0
