pair,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
spot2000+fut500,full,0.2679171196733953,1.666672445696867,-0.1585763425187119,1.6895150652234352,10.624388653407237,0.5656887755102041,3067
spot2000+fut500,train,0.3061363175457271,1.8144709369900185,-0.12426467398331398,2.4635828327754234,11.34525205158265,0.5776986951364176,1706
spot2000+fut500,val,0.1235937465758402,1.0730106792492082,-0.12730498236970722,0.9708476783486039,8.42503438789546,0.5370843989769821,727
spot2000+fut500,holdout,0.33056876111144645,1.8158680098374127,-0.15857634251871122,2.084603263393094,11.206624605678233,0.5688622754491018,634
spot2000+fut1000,full,0.2562398284062253,1.502663168512887,-0.17389729002673227,1.473512487554205,10.624388653407237,0.5593112244897959,3067
spot2000+fut1000,train,0.2718280300188919,1.5338859274968528,-0.16895191324192582,1.6089076755801845,11.34525205158265,0.5634638196915777,1706
spot2000+fut1000,val,0.14166042995159006,1.110283355170491,-0.12681891893990505,1.1170291557107332,8.42503438789546,0.5447570332480819,727
spot2000+fut1000,holdout,0.34568107560703043,1.7854334050967158,-0.1721996461879629,2.007443588064667,11.206624605678233,0.5658682634730539,634
spot2000+fut300,full,0.1964009116082887,1.41580518778816,-0.1496946044456945,1.312010625470059,10.624388653407237,0.5586734693877551,3067
spot2000+fut300,train,0.23043433325515872,1.5998806641713297,-0.12481586733831673,1.8461942232918218,11.34525205158265,0.5776986951364176,1706
spot2000+fut300,val,0.0720122080940129,0.6527931241329885,-0.12564638613943635,0.573133938083163,8.42503438789546,0.5268542199488491,727
spot2000+fut300,holdout,0.24745701590689786,1.6219763523420876,-0.14969460444569382,1.653079059350267,11.206624605678233,0.5479041916167665,634
spot1000+fut500,full,0.2568774101974266,1.5929246789159537,-0.17615242785114116,1.4582677816652216,10.624388653407237,0.5586734693877551,3067
spot1000+fut500,train,0.2951355277921543,1.7401909637387356,-0.1269659395038405,2.324525214758301,11.34525205158265,0.5622775800711743,1706
spot1000+fut500,val,0.11633027335747109,1.001886149727545,-0.13158472639679364,0.8840712485632811,8.42503438789546,0.5370843989769821,727
spot1000+fut500,holdout,0.3150941607747802,1.73723446530276,-0.17615242785114127,1.7887585463258702,11.206624605678233,0.5748502994011976,634
spot1000+fut1000,full,0.2452001189302565,1.4378261770241336,-0.18579309093955865,1.319748316206354,10.624388653407237,0.5561224489795918,3067
spot1000+fut1000,train,0.26082724026531906,1.4655484273698287,-0.17337154308540537,1.5044408997203869,11.34525205158265,0.5551601423487544,1706
spot1000+fut1000,val,0.134396956733221,1.0509396979148995,-0.13112304389356433,1.024968249229435,8.42503438789546,0.5447570332480819,727
spot1000+fut1000,holdout,0.3302064752703642,1.7236309622853039,-0.18579309093955887,1.777280702961043,11.206624605678233,0.5718562874251497,634
spot1000+fut300,full,0.18536120213232,1.3211248367836737,-0.19642122377023108,0.9436923290384911,10.624388653407237,0.5414540816326531,3067
spot1000+fut300,train,0.2194335435015858,1.5075996631925492,-0.12249320039422562,1.7913936675290754,11.34525205158265,0.5563463819691578,1706
spot1000+fut300,val,0.06474873487564381,0.5677808218756568,-0.12996887354290143,0.4981864742735567,8.42503438789546,0.5166240409207161,727
spot1000+fut300,holdout,0.23198241557023164,1.5203785789125248,-0.167040439346117,1.3887799653684536,11.206624605678233,0.5329341317365269,634
spot500+fut500,full,0.2458154293698562,1.565629520408619,-0.1789455694901695,1.3736882677241151,10.624388653407237,0.5542091836734694,3067
spot500+fut500,train,0.2855302713299937,1.7229194531923822,-0.12100252736977868,2.3597050205193244,11.34525205158265,0.5587188612099644,1706
