rank_worst_tv,lookback,z_window,smoothing,theta,exposure,is_incumbent,sharpe_full,ann_full,maxdd_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
1,40,80,0,-0.1,0.5568589116976214,0,1.8065126759769803,0.35384004355611554,-0.25862427217338047,12.373737373737374,1.9788290029638824,2.078355529608409,1.3590285510115625,1.9788290029638824
2,40,80,5,-0.15,0.5832518735744542,0,1.7255033372274167,0.35692332422729184,-0.25862427217338024,7.424242424242425,1.9056636557737165,2.1099189507152016,1.2263063655097441,1.9056636557737165
3,40,80,0,-0.15,0.5900944933202997,0,1.783811727568693,0.3649705515923324,-0.25862427217338047,14.608993157380255,1.964593501438104,1.8697016031264335,1.408830265073897,1.8697016031264335
4,20,60,5,-0.2,0.6441837732160313,0,1.7490811934610004,0.3996246518087543,-0.27232763397603654,9.260345389377648,1.872272152105784,1.8458953381418337,1.4351717397044548,1.8458953381418337
5,20,100,0,-0.25,0.7106549364613881,0,1.6791726428052194,0.3994033101562034,-0.2533126574512017,18.520690778755295,1.9024274218315886,1.8258828497874877,1.0402446459922676,1.8258828497874877
6,40,80,5,-0.05,0.5268817204301075,0,1.6919037936712387,0.32587937075292683,-0.25862427217338013,6.6259367872271095,1.7954197868505126,2.180957690108383,1.2574847951818657,1.7954197868505126
7,20,100,5,-0.15,0.6405995438253502,0,1.7171309608867131,0.37593839136114254,-0.34172267675217194,9.8989898989899,1.8099603359886345,1.7915569856348998,1.4521136481898431,1.7915569856348998
8,40,80,0,-0.05,0.5259042033235581,0,1.6473895212080814,0.3150486971312714,-0.27282441031697224,14.130009775171064,1.7803159891734766,2.0371939251869238,1.2014598109696573,1.7803159891734766
9,40,80,5,-0.1,0.5545780384490062,0,1.5815813640015306,0.31997060218847034,-0.2586242721733806,6.3066145324209835,1.7592976222525056,2.0539945557893047,1.0402265630424787,1.7592976222525056
10,20,60,0,-0.3,0.7054415118931248,0,1.6444131847517556,0.40347828066201047,-0.3419494162682817,16.44509612251548,1.7582936726135578,1.9997777999432131,1.1594078388842366,1.7582936726135578
11,20,100,5,-0.25,0.7165200391006843,0,1.5418987449170167,0.37559821847399566,-0.3429911578963696,9.42000651678071,1.7453571106607346,1.7996288727124543,0.9004687436324024,1.7453571106607346
12,20,100,0,-0.2,0.6735092864125122,0,1.5821575450527765,0.36013139697791885,-0.2959537116971984,19.31899641577061,1.7804081259951736,1.740249107572911,1.0274505903465552,1.740249107572911
13,20,250,5,-0.25,0.750733137829912,0,1.5408717173498145,0.3769093095955999,-0.3713487701181811,6.8654284783317046,1.734630971645783,1.7451458179660242,0.9724326429273968,1.734630971645783
14,20,60,0,-0.35,0.7412838057999348,0,1.5927913730943317,0.39942301570503036,-0.34194941626828157,16.125773867709352,1.7341815203676056,1.9785443729067187,1.01894914311792,1.7341815203676056
15,20,250,0,-0.3,0.7813620071684588,0,1.5667066157427745,0.3959457485513952,-0.26240190583709,15.646790485500164,1.7274680390042565,1.9113488454400935,0.9506718613996374,1.7274680390042565
16,20,100,0,-0.1,0.5966112740306289,0,1.7317355615580563,0.3591739049473406,-0.27358118017636746,18.84001303356142,1.9841787676771774,1.7183503973702228,1.1634481443796272,1.7183503973702228
17,20,100,5,-0.2,0.6787227109807755,0,1.608371223777098,0.3688727807496887,-0.3478146079318565,9.579667644183774,1.717236343314412,1.8012842254264756,1.2299505015994945,1.717236343314412
18,20,60,0,-0.25,0.6777451938742262,0,1.6081212401441896,0.3868322484248101,-0.30980697627014364,17.08374063212773,1.7016864508616214,1.7582731699526188,1.3203184998496411,1.7016864508616214
19,20,250,0,-0.25,0.7416096448354513,0,1.688872574894967,0.402414465263443,-0.24957885984290662,14.369501466275661,1.8898268219549617,1.6992223845784848,1.2162552178185144,1.6992223845784848
20,20,40,0,-0.15,0.5936787227109808,0,1.6688246121227577,0.3615093062336633,-0.2306485328227056,19.31899641577061,1.737496501292405,1.698830438362924,1.5211203485740148,1.698830438362924
21,20,60,5,0.3,0.27631150211795374,0,1.6932041922171106,0.23937853063958547,-0.23747112955015637,8.781362007168457,1.8038172319900667,1.6940406908285128,1.5371403028516146,1.6940406908285128
22,20,60,5,-0.25,0.6806777451938743,0,1.690126699333757,0.40411309204461127,-0.3419494162682817,9.42000651678071,1.6850190279563515,1.960403360243556,1.608358744394664,1.6850190279563515
23,20,60,0,-0.15,0.6099706744868035,0,1.9130372309547545,0.4152440333301233,-0.2950835984657737,17.243401759530794,1.894751363979476,1.682467854480719,2.2033850120153073,1.682467854480719
24,40,120,0,0.05,0.4359726295210166,0,1.5569564429493854,0.28126393704572095,-0.2734133973831433,12.932551319648095,1.6774317468146662,1.8625508782979003,1.243099699301452,1.6774317468146662
25,20,60,0,-0.2,0.6422287390029325,0,1.771297839565103,0.4060223902988049,-0.2894478566404872,17.882046269143043,1.7030963783393076,1.6763420186156535,2.1066436151284287,1.6763420186156535
26,20,60,0,-0.4,0.7732160312805474,0,1.5937211846485193,0.41249800819257104,-0.3419494162682818,15.96611274030629,1.6729661633281103,1.8159459894103842,1.2915383338260475,1.6729661633281103
27,20,250,5,-0.3,0.7869012707722385,0,1.4939387878878523,0.3820073386123112,-0.314747334174845,8.142717497556207,1.6654327377205873,1.6916703467101646,0.9890068439832176,1.6654327377205873
28,40,80,0,-0.2,0.621049201694363,0,1.6100127807425957,0.34377524961665046,-0.27789775068801026,15.247637666992507,1.6564052156606364,1.745777890145742,1.4613069478141696,1.6564052156606364
29,20,40,0,-0.2,0.6308243727598566,0,1.637717743007099,0.3725061228376009,-0.23482495561998717,19.7979797979798,1.7013115542957347,1.649781266556903,1.499364082600024,1.649781266556903
30,20,250,0,0.0,0.47768002606712284,0,1.670625295217707,0.31867229881387543,-0.25897723548550133,17.003910068426197,1.7492993520485125,1.6470839424199362,1.5247045476908203,1.6470839424199362
31,20,100,0,-0.35,0.7862495927012056,0,1.4473909750076523,0.3738530423516108,-0.3419494162682818,15.008145975887912,1.646796399047085,1.6789487268567103,0.8148640052588803,1.646796399047085
32,20,100,0,-0.3,0.7523623330074943,0,1.513644216999334,0.37689411035811743,-0.3098069762701433,17.403062886933856,1.7106442611858579,1.6449204657803977,0.9412487825046428,1.6449204657803977
33,40,80,0,0.0,0.46725317693059626,0,1.5804583334729458,0.2903949454464303,-0.2838797500164084,12.293906810035843,1.642592501035011,2.0844499300429287,1.2409919137544803,1.642592501035011
34,20,250,5,-0.2,0.7191267513848159,0,1.5973284556592007,0.3771933854645344,-0.3478146079318559,7.983056370153145,1.8516807573440748,1.6297150787288983,1.003689794061345,1.6297150787288983
35,20,100,5,0.1,0.4066471163245357,0,1.7740483641964155,0.296256698141824,-0.23278151324116092,10.377973281199088,1.9089640710711966,1.6264069115866677,1.6300481732036347,1.6264069115866677
36,20,250,5,-0.4,0.8566308243727598,0,1.412318086619272,0.3848813852560559,-0.3419494162682817,6.5461062235255785,1.6249236592539744,1.7218363848334741,0.7687430133599977,1.6249236592539744
37,20,60,5,0.25,0.3150863473444119,0,1.6943476479559116,0.2539450664647347,-0.2465358810308459,9.42000651678071,1.7209155395266476,1.6223353502545534,1.733568605864955,1.6223353502545534
38,20,40,0,-0.1,0.5633756924079505,0,1.628195198925344,0.3419517946878365,-0.26718007748521233,19.159335288367547,1.6959229560281899,1.6195826529581814,1.5109327802483357,1.6195826529581814
39,40,120,0,-0.05,0.5353535353535354,0,1.5789331810678606,0.31364606875167234,-0.2705465950409428,12.373737373737374,1.6158050876106302,2.032954598919235,1.3071295580352829,1.6158050876106302
40,20,100,5,-0.05,0.5588139459107201,0,1.7248665024517442,0.3406562886488799,-0.2545132609976688,9.340175953079179,1.812651860328252,1.6153528865454214,1.6357262315080507,1.6153528865454214
41,20,60,5,-0.3,0.7188009123492994,0,1.5721743093530343,0.38670660745291124,-0.3419494162682817,8.941023134571521,1.6149695047465193,1.7992623999327935,1.3715979400907294,1.6149695047465193
42,40,80,5,-0.2,0.6220267188009123,0,1.5543173220937905,0.3387386057517073,-0.32222795987764985,7.264581296839361,1.6059941132863846,1.9984465032983372,1.2298040066125515,1.6059941132863846
