family,mode,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026,ic_half1,n_half1,ic_half2,n_half2,family_group
gv,240,500,10,1000,0.106184,144,0.18345,71,-0.000771,71,-0.000252,62,0.092137,207,0.18345,71,-0.056431,71,B
gv,240,500,10,blend,0.111831,144,0.180162,71,0.008989,71,0.013097,62,0.10102,207,0.180162,71,-0.034798,71,B
gv,240,500,20,500,0.141435,71,0.199944,35,0.012049,35,0.041611,30,0.164193,103,0.199944,35,0.014148,35,B
gv,240,500,20,1000,0.098757,71,0.163514,35,0.049597,35,-0.086782,30,0.116007,103,0.163514,35,-0.057011,35,B
gv,240,500,20,blend,0.118863,71,0.183691,35,0.014431,35,-0.06097,30,0.145564,103,0.183691,35,-0.03628,35,B
gv,240,500,40,500,0.118776,35,0.129902,17,0.117719,17,0.110011,14,0.172776,51,0.129902,17,0.055181,17,B
gv,240,500,40,1000,0.037538,35,0.083333,17,0.064991,17,-0.088009,14,0.124853,51,0.083333,17,0.045371,17,B
gv,240,500,40,blend,0.071434,35,0.098039,17,0.110362,17,0.10341,14,0.16644,51,0.098039,17,0.132434,17,B
A1,expanding,annP95,20,500,0.038118,68,0.127548,31,-0.026577,35,0.048597,30,0.033958,99,0.118394,33,-0.007909,33,A
A1,expanding,annP95,20,1000,-0.035823,68,0.100085,31,-0.061637,35,0.067721,30,-0.008124,99,0.054734,33,-0.017333,33,A
A1,expanding,annP95,20,blend,-0.015396,68,0.108629,31,-0.06503,35,0.044997,30,0.002731,99,0.074606,33,0.000673,33,A
A1,expanding,annP95,40,500,0.079331,33,0.07734,15,-0.134005,17,-0.145437,14,0.078104,49,0.057693,16,0.097635,16,A
A1,expanding,annP95,40,1000,-0.033138,33,0.019785,15,-0.196045,17,-0.064887,14,0.013281,49,-0.051776,16,0.125742,16,A
A1,expanding,annP95,40,blend,0.013557,33,0.017986,15,-0.14145,17,-0.163337,14,0.051133,49,-0.038462,16,0.08728,16,A
A1,expanding,annP95,60,500,0.08703,22,0.008368,9,0.356168,11,-0.234312,9,0.083135,32,-0.018237,10,-0.196946,10,A
A1,expanding,annP95,60,1000,0.062164,22,-0.025105,9,0.305939,11,-0.384941,9,0.078547,32,-0.109423,10,0.049237,10,A
A1,expanding,annP95,60,blend,0.08703,22,-0.025105,9,0.278542,11,-0.284521,9,0.091393,32,-0.06687,10,-0.098473,10,A
A2,expanding,annP95,20,500,-0.124334,68,-0.060764,31,-0.325997,35,0.071458,30,-0.018692,99,-0.053258,33,-0.451283,33,A
A2,expanding,annP95,20,1000,-0.144957,68,-0.089394,31,-0.333913,35,-0.00942,30,-0.049133,99,-0.116555,33,-0.453303,33,A
A2,expanding,annP95,20,blend,-0.13814,68,-0.086923,31,-0.312708,35,0.008961,30,-0.034712,99,-0.102603,33,-0.477542,33,A
A2,expanding,annP95,40,500,-0.243486,33,-0.041942,15,-0.411942,17,0.2681,14,-0.092579,49,-0.055356,16,-0.396752,16,A
A2,expanding,annP95,40,1000,-0.200922,33,-0.162296,15,-0.461574,17,0.177983,14,-0.091709,49,-0.231897,16,-0.269436,16,A
A2,expanding,annP95,40,blend,-0.233264,33,-0.131296,15,-0.406979,17,0.281618,14,-0.096261,49,-0.185517,16,-0.352339,16,A
A2,expanding,annP95,60,500,-0.246041,22,-0.355983,9,-0.18265,11,-0.252413,9,-0.073312,32,-0.325178,10,-0.837022,10,A
A2,expanding,annP95,60,1000,-0.225679,22,-0.32208,9,-0.031964,11,-0.461306,9,-0.07221,32,-0.398803,10,-0.738549,10,A
A2,expanding,annP95,60,blend,-0.229073,22,-0.32208,9,-0.086759,11,-0.322044,9,-0.050528,32,-0.312907,10,-0.787786,10,A
