signal,kou_jing,window,leg,n_obs,ann_shift1,sharpe_shift1,maxdd_shift1,calmar_shift1,turnover_shift1,hit_shift1,ann_shift2,sharpe_shift2,maxdd_shift2,calmar_shift2,turnover_shift2,hit_shift2,d_ann,d_sharpe,d_maxdd,d_calmar,d_hit,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,ci_excludes_zero
equal_weight,500,full,symmetric,3065,0.311923481442342,1.2734035079590722,-0.286696363703148,1.0879924579905547,21.182707993474715,0.531900826446281,0.3230575127512203,1.3190384881302237,-0.28866082668571347,1.1191595217835257,21.182707993474715,0.5333994708994709,0.0111340313088783,0.04563498017115153,-0.0019644629825654736,0.031167063792971073,0.0014986444531899235,0.04563498017115153,-0.18622517179871875,0.29408388999977486,0.71002899710029,0.0463219918719533,0.1228262262506678,20,10000,0,False
equal_weight,500,full,longflat,3065,0.2725348511553824,1.734757227413714,-0.16664338782248356,1.6354375335053764,10.551386623164763,0.5596681557115507,0.2785812337813388,1.771014722378991,-0.17442201314055417,1.5971678618159866,10.551386623164763,0.5615826419910658,0.006046382625956415,0.03625749496527697,-0.007778625318070609,-0.03826967168938977,0.0019144862795150708,0.03625749496527697,-0.15312668532009968,0.22704149396408863,0.7093290670932907,0.03668634010530806,0.09646131856909183,20,10000,0,False
equal_weight,500,full,long_seg,3065,0.2725348511553824,1.734757227413714,-0.16664338782248356,1.6354375335053764,10.551386623164763,0.5596681557115507,0.2785812337813388,1.771014722378991,-0.17442201314055417,1.5971678618159866,10.551386623164763,0.5615826419910658,0.006046382625956415,0.03625749496527697,-0.007778625318070609,-0.03826967168938977,0.0019144862795150708,0.03625749496527697,-0.15312668532009968,0.22704149396408863,0.7093290670932907,0.03668634010530806,0.09646131856909183,20,10000,0,False
equal_weight,500,full,short_seg,3065,0.03938863028695958,0.20933853692832094,-0.4737341494588305,0.08314500935166934,10.63132137030995,0.4619257394587791,0.04447627896988147,0.23659790734463418,-0.461805533369688,0.09630954104284625,10.63132137030995,0.4634760705289673,0.005087648682921886,0.02725937041631324,0.01192861608914253,0.013164531691176914,0.001550331070188149,0.02725937041631324,-0.12150865592623356,0.19097314738431567,0.732026797320268,0.028405532393839087,0.08009744426878365,20,10000,0,False
equal_weight,500,2014-2020,symmetric,1707,0.32991677130728875,1.2356334370288111,-0.286696363703148,1.1507532465563188,22.8207381370826,0.5242951409718056,0.3436250284287183,1.2869836620969035,-0.28866082668571347,1.1904110175740903,22.8207381370826,0.5288115246098439,0.013708257121429535,0.05135022506809239,-0.0019644629825654736,0.03965777101777146,0.0045163836380383016,0.05135022506809239,-0.27240891467016093,0.38564654775978574,0.7559244075592441,0.050359419702286,0.16913613383918802,20,10000,0,False
equal_weight,500,2014-2020,longflat,1707,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,0.32915314976456334,1.9612675033892164,-0.11981468370513515,2.747185399868114,11.338605741066198,0.5724465558194775,0.007714854845249308,0.021398205745396526,-1.1102230246251565e-16,0.06438989451606236,0.00542401726668984,0.021398205745396526,-0.26126445745718363,0.2799914016572017,0.8751124887511249,0.019616341163324485,0.13688121383209212,20,10000,0,False
equal_weight,500,2014-2020,long_seg,1707,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,0.32915314976456334,1.9612675033892164,-0.11981468370513515,2.747185399868114,11.338605741066198,0.5724465558194775,0.007714854845249308,0.021398205745396526,-1.1102230246251565e-16,0.06438989451606236,0.00542401726668984,0.021398205745396526,-0.26126445745718363,0.2799914016572017,0.8751124887511249,0.019616341163324485,0.13688121383209212,20,10000,0,False
equal_weight,500,2014-2020,short_seg,1707,0.008478476387974705,0.04048863599945982,-0.4737341494588305,0.017897118874921892,11.482132396016404,0.4401330376940133,0.014471878664154999,0.06966967097084742,-0.461805533369688,0.03133760342488114,11.482132396016404,0.4434589800443459,0.005993402276180294,0.029181034971387597,0.01192861608914253,0.01344048454995925,0.0033259423503326224,0.029181034971387597,-0.1739137963690503,0.24729183230194562,0.783021697830217,0.029331017755598713,0.10741110305714067,20,10000,0,False
equal_weight,500,2021-2023,symmetric,727,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,0.14854712843898127,0.8757939037197473,-0.1504251727278474,0.9875150930206081,16.85006877579092,0.5296551724137931,-0.04018214986051666,-0.23767785527399332,0.011344705576960101,-0.17913768731896418,-0.007534910230834968,-0.23767785527399332,-0.47498525664339813,0.014841826497580052,0.05729427057294271,-0.22512373184914805,0.12471416295893224,20,10000,0,False
equal_weight,500,2021-2023,longflat,727,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,0.08088398547968893,0.7290728194280852,-0.1314400358158463,0.6153679506981512,8.42503438789546,0.541025641025641,-0.02181351655768586,-0.1993661971900682,1.1102230246251565e-16,-0.1659579322410376,-0.007692307692307776,-0.1993661971900682,-0.3839769338525239,0.007250143927115529,0.048795120487951205,-0.17849904893443885,0.09968005872728987,20,10000,0,False
equal_weight,500,2021-2023,long_seg,727,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,0.08088398547968893,0.7290728194280852,-0.1314400358158463,0.6153679506981512,8.42503438789546,0.541025641025641,-0.02181351655768586,-0.1993661971900682,1.1102230246251565e-16,-0.1659579322410376,-0.007692307692307776,-0.1993661971900682,-0.3839769338525239,0.007250143927115529,0.048795120487951205,-0.17849904893443885,0.09968005872728987,20,10000,0,False
equal_weight,500,2021-2023,short_seg,727,0.0860317762621231,0.6682301251911124,-0.17309038856381131,0.49703381554549303,8.42503438789546,0.4903047091412742,0.06766314295929231,0.5266526657524193,-0.17460875625372907,0.3875128854418333,8.42503438789546,0.48055555555555557,-0.018368633302830797,-0.14157745943869304,-0.0015183676899177545,-0.10952093010365971,-0.00974915358571865,-0.14157745943869304,-0.3161754811152663,0.012082659044284204,0.0903909609039096,-0.1468366144866728,0.08380110025375993,20,10000,0,False
equal_weight,500,2024-2026,symmetric,631,0.3961372731451299,1.5486558650954252,-0.2452397508542189,1.6153061311035626,21.743264659271,0.5444444444444444,0.45493772603406546,1.7821633599055489,-0.2831183631534361,1.6068817330210114,21.743264659271,0.5468998410174881,0.05880045288893554,0.23350749481012367,-0.037878612299217185,-0.008424398082551132,0.002455396573043722,0.23350749481012367,-0.31493987590989425,0.8440244086759413,0.42325767423257676,0.24276676242110426,0.29598050707635004,20,10000,0,False
equal_weight,500,2024-2026,longflat,631,0.32835172922766925,1.856478952187239,-0.16292553423965028,2.0153484888666404,10.8716323296355,0.5525525525525525,0.358014014392287,2.0848169838734267,-0.13813057311804855,2.5918520882869474,10.8716323296355,0.5555555555555556,0.029662285164617774,0.22833803168618783,0.024794961121601733,0.5765035994203069,0.0030030030030030463,0.22833803168618783,-0.15645953304119847,0.7496873324835267,0.30256974302569745,0.24422028959925182,0.2304774191564118,20,10000,0,False
equal_weight,500,2024-2026,long_seg,631,0.32835172922766925,1.856478952187239,-0.16292553423965028,2.0153484888666404,10.8716323296355,0.5525525525525525,0.358014014392287,2.0848169838734267,-0.13813057311804855,2.5918520882869474,10.8716323296355,0.5555555555555556,0.029662285164617774,0.22833803168618783,0.024794961121601733,0.5765035994203069,0.0030030030030030463,0.22833803168618783,-0.15645953304119847,0.7496873324835267,0.30256974302569745,0.24422028959925182,0.2304774191564118,20,10000,0,False
equal_weight,500,2024-2026,short_seg,631,0.06778554391746074,0.3659509589853084,-0.22010099394936466,0.3079747287877089,10.8716323296355,0.48923076923076925,0.09692371164177849,0.5110556101508125,-0.22452657362878015,0.4316803578093469,10.8716323296355,0.49691358024691357,0.02913816772431775,0.14510465116550408,-0.004425579679415481,0.12370562902163801,0.00768281101614432,0.14510465116550408,-0.2304744208780941,0.5709176202216298,0.4637536246375362,0.15509228576845158,0.20416916901873977,20,10000,0,False
equal_weight,1000,full,symmetric,3065,0.4031232662591135,1.5162349845874203,-0.29857551233971247,1.3501551520422377,21.182707993474715,0.5322314049586777,0.40872659165244496,1.5373849524018361,-0.3079789168917463,1.3271252323941096,21.182707993474715,0.5320767195767195,0.005603325393331471,0.021149967814415804,-0.009403404552033812,-0.02302991964812806,-0.00015468538195817505,0.021149967814415804,-0.20633916486747803,0.25910624657882614,0.8575142485751425,0.021177610704329507,0.11932218787289549,20,10000,0,False
equal_weight,1000,full,longflat,3065,0.25094694932687256,1.4711261081047946,-0.17525563798797328,1.4318908778506374,10.551386623164763,0.5583918315252074,0.25424415762446967,1.488652444250388,-0.17337154308540526,1.4664699471425102,10.551386623164763,0.5564773452456924,0.0032972082975971095,0.01752633614559329,0.0018840949025680231,0.03457906929187282,-0.0019144862795150708,0.01752633614559329,-0.16227795169473472,0.1981489050735194,0.8522147785221478,0.01767188930876437,0.09182444587582606,20,10000,0,False
equal_weight,1000,full,long_seg,3065,0.25094694932687256,1.4711261081047946,-0.17525563798797328,1.4318908778506374,10.551386623164763,0.5583918315252074,0.25424415762446967,1.488652444250388,-0.17337154308540526,1.4664699471425102,10.551386623164763,0.5564773452456924,0.0032972082975971095,0.01752633614559329,0.0018840949025680231,0.03457906929187282,-0.0019144862795150708,0.01752633614559329,-0.16227795169473472,0.1981489050735194,0.8522147785221478,0.01767188930876437,0.09182444587582606,20,10000,0,False
equal_weight,1000,full,short_seg,3065,0.152176316932241,0.7434475437702508,-0.42809264260097746,0.35547519809651024,10.63132137030995,0.4657016991818754,0.15448243402797535,0.7553325165637357,-0.4214547457947595,0.3665457218583686,10.63132137030995,0.464735516372796,0.0023061170957343335,0.011884972793484883,0.006637896806217958,0.011070523761858353,-0.0009661828090793967,0.011884972793484883,-0.1360341831410926,0.1706301888835819,0.8767123287671232,0.012350561159915402,0.07859490193671155,20,10000,0,False
equal_weight,1000,2014-2020,symmetric,1707,0.43986939595262875,1.546595012960378,-0.29857551233971247,1.4732266303612847,22.8207381370826,0.531493701259748,0.451928082659619,1.589083664416649,-0.2960233226938892,1.5266637727965349,22.8207381370826,0.5324129651860744,0.01205868670699023,0.04248865145627101,0.0025521896458232662,0.05343714243525022,0.0009192639263263525,0.04248865145627101,-0.26963393241522815,0.3706464700605642,0.7918208179182081,0.041499080810715135,0.16409736433778638,20,10000,0,False
equal_weight,1000,2014-2020,longflat,1707,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,0.26759356078729063,1.4854632185094436,-0.17337154308540526,1.5434687609342572,11.338605741066198,0.5558194774346793,0.006919119139584595,0.02034764278307377,1.1102230246251565e-16,0.03990919741757337,0.0006593350859248615,0.02034764278307377,-0.2411688708044081,0.27246978335894784,0.8747125287471252,0.019311998396300847,0.1307049206808946,20,10000,0,False
equal_weight,1000,2014-2020,long_seg,1707,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,0.26759356078729063,1.4854632185094436,-0.17337154308540526,1.5434687609342572,11.338605741066198,0.5558194774346793,0.006919119139584595,0.02034764278307377,1.1102230246251565e-16,0.03990919741757337,0.0006593350859248615,0.02034764278307377,-0.2411688708044081,0.27246978335894784,0.8747125287471252,0.019311998396300847,0.1307049206808946,20,10000,0,False
equal_weight,1000,2014-2020,short_seg,1707,0.1791949543049227,0.8045236597867859,-0.42809264260097746,0.4185891941897941,11.482132396016404,0.46452328159645234,0.18433452187232832,0.8342676743383026,-0.4214547457947595,0.43737678531705454,11.482132396016404,0.4656319290465632,0.005139567567405634,0.029744014551516762,0.006637896806217958,0.018787591127260417,0.0011086474501108556,0.029744014551516762,-0.17103844889392986,0.2424537649420185,0.7721227877212279,0.029718046861658035,0.10621434312362901,20,10000,0,False
equal_weight,1000,2021-2023,symmetric,727,0.2674380279961728,1.3453539435549038,-0.1417441896340964,1.8867653671487135,16.85006877579092,0.5261707988980716,0.2252487946407465,1.1316300751016066,-0.1506893873709183,1.4947887078889108,16.85006877579092,0.5186206896551724,-0.042189233355426264,-0.21372386845329716,-0.008945197736821897,-0.39197665925980263,-0.007550109242899228,-0.21372386845329716,-0.503755407186647,0.06913810486454325,0.1401859814018598,-0.2178758565284899,0.14590202892950402,20,10000,0,False
