mode,signal,cost,total_ret,annual_ret,max_dd,sharpe,calmar,trades,long_pct,short_pct,flat_pct,final_nav
long_only_positive,signal_20,0.0,37.89461335574692,0.33306905403676845,-0.20694483717300183,1.5857975140714904,1.6094581463674267,158,0.4462449361171705,0.0,0.5537550638828296,38.89461335574692
long_only_positive,hybrid_20,0.0,37.89461335574692,0.33306905403676845,-0.20694483717300183,1.5857975140714904,1.6094581463674267,158,0.4462449361171705,0.0,0.5537550638828296,38.89461335574692
long_only_positive,confirmed_20,0.0,9.424476161787032,0.2021175033921967,-0.2717268667925895,1.3123482956882304,0.743825981501027,214,0.25553131816765345,0.0,0.7444686818323465,10.424476161787032
long_only_positive,signal_60,0.0,10.02545928147287,0.20742040843682852,-0.39103159291653633,1.0228510540652482,0.5304441180564695,94,0.4412589591773138,0.0,0.5587410408226862,11.02545928147287
long_only_positive,hybrid_60,0.0,10.02545928147287,0.20742040843682852,-0.39103159291653633,1.0228510540652482,0.5304441180564695,94,0.4412589591773138,0.0,0.5587410408226862,11.02545928147287
long_only_positive,fin_signal_60,0.0,5.535811163429007,0.15884343731474337,-0.35128539691069516,0.8132161403516186,0.4521777412658148,92,0.3973200373948271,0.0,0.602679962605173,6.535811163429007
long_only_positive,fin_signal_20,0.0,4.860033454077811,0.14895370950805975,-0.4262909233317511,0.7400128895606568,0.3494179710510513,182,0.3842318479277033,0.0,0.6157681520722966,5.860033454077811
long_only_positive,confirmed_60,0.0,2.0570074977055155,0.09171660392542202,-0.3704104938922642,0.6253083424079006,0.24760800635442654,120,0.2396385166718604,0.0,0.7603614833281396,3.0570074977055155
long_only_positive,signal_20,0.0003,36.095055541168726,0.32811913189596886,-0.20884625941722623,1.5664568608689302,1.5711037047614207,158,0.4462449361171705,0.0,0.5537550638828296,37.095055541168726
long_only_positive,hybrid_20,0.0003,36.095055541168726,0.32811913189596886,-0.20884625941722623,1.5664568608689302,1.5711037047614207,158,0.4462449361171705,0.0,0.5537550638828296,37.095055541168726
long_only_positive,confirmed_20,0.0003,8.77725034280377,0.19608175431920816,-0.2771591195066674,1.2787354044838921,0.7074699712866247,214,0.25553131816765345,0.0,0.7444686818323465,9.77725034280377
long_only_positive,signal_60,0.0003,9.718926893412883,0.2047498837428643,-0.39375649581826055,1.0120289133660323,0.5199911262857418,94,0.4412589591773138,0.0,0.5587410408226862,10.718926893412883
