index,strategy,long_th,flat_abs,short_th,ann_ret,ann_vol,sharpe,max_drawdown,calmar,daily_win_rate,trade_win_rate,n_trades,trade_segments,long_days,flat_days,short_days,total_return
中证1000,优化多空择时,0.45,0.0,-0.1,0.4383392180693697,0.24448555537935654,1.7929043594793146,-0.2767231932881081,1.584034980447036,0.4192269573835481,0.7108433734939759,186,83,963,634,1430,88.20572842074498
中证1000,买入持有,,,,0.054105315751114436,0.2687902422886641,0.20129196391366272,-0.7234872372733576,0.07478406385581014,0.5434423521638586,,1,1,3027,0,0,0.917494812203993
中证500,优化多空择时,0.45,0.0,-0.1,0.360811988120896,0.22592331154110878,1.597055149641975,-0.24327719360351507,1.4831311672763503,0.4185662371985464,0.7349397590361446,186,83,963,634,1430,43.98725623653525
中证500,买入持有,,,,0.0675307641788605,0.24767185264530536,0.2726622482837093,-0.6519574332360292,0.10358155415709822,0.5328708292038322,,1,1,3027,0,0,1.2420367688277163
沪深300,优化多空择时,0.5,0.4,-0.75,0.12308570968483945,0.10159041302134326,1.211587845980902,-0.11884681233143124,1.0356668998541338,0.12487611496531219,0.6875,101,16,542,2359,126,3.1962034753825916
沪深300,买入持有,,,,0.06285929605875973,0.21109527811555,0.2977768930688805,-0.4669613510228614,0.13461348764960696,0.5163528245787908,,1,1,3027,0,0,1.1237867456108583
