date,ret,equity,futures_capital_share,futures_notional_over_total,total_gross_notional,cost_return
2015-04-16,0.0,1.0,0.5,0.0,0.0,0.0
2015-04-17,-7.500000000004725e-05,0.999925,0.4999624971872891,0.2500187514063555,0.2500187514063555,7.5e-05
2015-04-20,0.004380827554068656,1.004305498992002,0.5021435205703461,0.2510727365105019,0.2510727365105019,1.9610040073208546e-06
2015-04-21,-0.01707701738913492,0.9871549565217117,0.4934939072161738,0.2467508610831161,0.2467508610831161,7.681494020400198e-06
2015-04-22,-0.0014980820784814552,0.9856761173726624,0.49273398108421346,0.24636732855118473,0.24636732855118473,6.750054253840096e-07
2015-04-23,-0.0022812581411297828,0.9834275357053888,0.4915741304300961,0.2457875794911314,0.2457875794911314,1.0262057736336788e-06
2015-04-24,-0.0018325746955570876,0.981625331288541,0.4906406914503014,0.24532075870291178,0.24532075870291178,8.244418969720927e-07
2015-04-27,-0.000589468740101351,0.9810466938412548,0.49034026296723243,0.24517026419457366,0.24517026419457366,2.652654569182655e-07
2015-04-28,0.005877539754047145,0.9868128347848832,0.49331830477357375,0.24666046767800826,0.24666046767800826,2.6460437957420533e-06
2015-04-29,-0.0047009861992626245,0.9821738412673042,0.4909251509337214,0.24546363790470535,0.24546363790470538,2.1148866780295123e-06
2015-04-30,-0.0010826063669387986,0.9811105336133075,0.4903734259599044,0.24518695688016207,0.24518695688016204,4.872723239301116e-07
2015-05-04,-0.00024709764650077126,0.9808681035094945,0.49024746730877855,0.24512378927666506,0.24512378927666506,1.1121706330985262e-07
2015-05-05,0.00593513112390287,0.9866896843190773,0.4932550649447054,0.2466288605871754,0.24662886058717537,2.671994716696101e-06
2015-05-06,0.0031537343267231677,0.9898014414463381,0.49484817958096755,0.24742479726965835,0.24742479726965835,1.4194207519169228e-06
2015-05-07,0.003979997379285338,0.9937408485893074,0.4968507124268979,0.24842624845871195,0.24842624845871192,1.791592793683229e-06
2015-05-08,-0.008161663546269016,0.9856302701309376,0.49271038527096295,0.24635704342306478,0.24635704342306478,3.671364155530022e-06
2015-05-11,-0.009762119180880768,0.9760084299656357,0.4878630300174771,0.2439336978576619,0.7562243550373386,0.00015650996380267123
2015-05-12,0.007722313076972576,0.9835454726275948,0.4796174854322835,0.23980975665615656,0.7601925817713906,2.3564856168682818e-06
2015-05-13,0.0028324778123474115,0.9863313433562473,0.4767202828745661,0.47693550144536606,1.0002153191126302,0.00021592899923932626
2015-05-14,0.004645956921248251,0.9909137962875573,0.4777555223151871,0.47804241202939424,1.0002875095573838,0.000288845314401707
2015-05-15,-0.003219838860156754,0.9877232135392051,0.4780053834759763,0.47800546982090736,1.0000007629493533,7.604927794314997e-07
2015-05-18,0.024521985460300266,1.0119441478204145,0.47845163751811975,0.47845163754340325,1.0000008049148008,8.246529097600639e-07
2015-05-19,0.030542851049652597,1.0428518071978612,0.4812837746721924,0.4812837746721998,1.000000014966131,1.5423239321950184e-08
2015-05-20,0.01969177555544266,1.0633874109227892,0.48057974684536564,0.48057974684536564,1.0000006660873866,6.792038300188957e-07
2015-05-21,0.042455637039611416,1.1085342008734194,0.48323668934559605,0.48323668934559605,1.0000000404917675,4.221087144383768e-08
2015-05-22,0.0066748492475536825,1.1159334995500068,0.480358003642901,0.480358003642901,1.0000006529775909,6.573361177488958e-07
2015-05-25,0.02197646730520275,1.140457775617648,0.4809043485750514,0.4809043485750514,1.000000897301214,9.170207248959389e-07
2015-05-26,0.046461359034337235,1.1934449937941212,0.4856323135341418,0.4856323135341418,1.000000552894375,5.785825990494958e-07
2015-05-27,0.0074592978717977765,1.2023472554964374,0.4829428628995774,0.4829428628995774,1.0000001220552046,1.2296565086356962e-07
2015-05-28,-0.05633013578596058,1.134618871332446,0.4838932472798521,0.4838932472798521,1.0000003037424758,2.866326209519137e-07
2015-05-29,0.013739039115294283,1.1502074443866337,0.4842148862855438,0.4842148862855438,1.0000004788021606,4.853804421814924e-07
2015-06-01,0.06991531320233157,1.2306245581085786,0.4930234100125872,0.4930234100125872,1.0000000978237493,1.0466312727606695e-07
2015-06-02,0.030507042919355465,1.26816727432041,0.48818261352014425,0.48818261352014425,1.000000353009425,3.6377869878111127e-07
2015-06-03,-0.0027485080686223684,1.2646817063345774,0.48312311010759573,0.48312311010759573,1.0000002289255427,2.2829633902980463e-07
