name,window,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs
half_short,full,0.1043048519532832,-0.05546499767125236,0.25847139653895507,0.20539730134932535,0.1014052730074101,0.08132963915092767,20,2000,20260914,2776
half_short,full,0.1043048519532832,-0.05253833876331848,0.24255242413626316,0.175912043978011,0.09154510543751536,0.07613274943002328,60,2000,20260914,2776
half_short,dual_listed,0.10213413962330464,-0.1905446328794377,0.3869062688452809,0.4947526236881559,0.09836793992618104,0.15163475812511587,20,2000,20260914,1005
half_short,dual_listed,0.10213413962330464,-0.15028915863038994,0.34876973333139116,0.42978510744627685,0.09420571610539728,0.127995238018513,60,2000,20260914,1005
half_short,2024-2026,0.17957313066582548,-0.12788209193984668,0.5974447246283168,0.3288355822088955,0.21699335528820404,0.1840178391036648,20,2000,20260914,654
half_short,2024-2026,0.17957313066582548,-0.09967989092758825,0.4627832598498448,0.23288355822088955,0.16140421539881455,0.14637636917946162,60,2000,20260914,654
vol15_cap1,full,0.08596225192224938,-0.11377908078840628,0.2792827421015089,0.383808095952024,0.0855412093963344,0.10059443341732721,20,2000,20260914,2776
vol15_cap1,full,0.08596225192224938,-0.09231218013776456,0.26050970617994557,0.351824087956022,0.08437733698608577,0.09155755432643134,60,2000,20260914,2776
vol15_cap1,dual_listed,0.2145405872563524,-0.0263341892035951,0.44396518662149415,0.07846076961519241,0.2055317901955701,0.11971757947312743,20,2000,20260914,1005
vol15_cap1,dual_listed,0.2145405872563524,-0.021472928384500743,0.3892058660973488,0.05247376311844078,0.18211244970453105,0.10519205219067482,60,2000,20260914,1005
vol15_cap1,2024-2026,0.3208391469886447,0.02835065728167965,0.5521604218153198,0.017991004497751123,0.2974510258698107,0.13529420690004526,20,2000,20260914,654
vol15_cap1,2024-2026,0.3208391469886447,0.04160256590086455,0.5005695651529283,0.013993003498250875,0.27344562686342044,0.11945991213043232,60,2000,20260914,654
