name,year,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day,gross_notional_max,futures_capital_share_end,cost_ann
current,2015,177,0.8680846853093824,1.210759201340663,2.256734053927683,-0.16882724806306526,0.38466414941474547,-0.05327975151880547,-0.07587199188749816,1.0003232437401812,0.47014535452589984,0.010109600270540907
current,2016,244,0.23206438582191968,0.2337331736928796,1.1101946850243858,-0.13513341645403854,0.20903035202048578,-0.03085081363877107,-0.08420801646194398,1.0004591590766367,0.536101763676979,0.010098773111398413
current,2017,244,0.12337182294658501,0.12397161840179442,1.0811897909023271,-0.056943748296891084,0.11410746196893216,-0.015303465836314633,-0.02229790096813844,1.0004607061616515,0.6021008726239754,0.010196701715376528
current,2018,243,0.265807284898295,0.2789527085745247,1.3387883849994802,-0.0826206373329611,0.19854316625132526,-0.02847869850212903,-0.05819496378701805,1.0004986669996372,0.6889498766142748,0.012170617969742926
current,2019,244,0.4792647332491691,0.582981035820862,2.4092748350688113,-0.07616358343124674,0.19892489070699182,-0.02430943940463261,-0.03748557924063389,1.0005279295131757,0.7597469296594775,0.011455658076619546
current,2020,243,0.2005817520964682,0.18839964812616583,0.8524513132856831,-0.18855259184791728,0.23529995082457805,-0.03591115591815545,-0.09793196605848764,1.0005309428936047,0.7559457742383657,0.01723653422658883
current,2021,243,0.08802400400126287,0.08521615708157047,0.7868507424362503,-0.08882777806590825,0.11186874365616357,-0.014609104924126867,-0.021351767783959863,1.0005294058815302,0.7477054394446572,0.010082171296124078
current,2022,242,0.27158052498388463,0.28553654362703274,1.348904932781566,-0.15743767590690094,0.20133407357615682,-0.030537472478536196,-0.06742783817006259,1.000476232435239,0.786993904278242,0.01064553144285407
current,2023,242,0.08010910936222364,0.07562041765140486,0.6666776569202175,-0.11011801511451036,0.12016168313228841,-0.0177730595521193,-0.02839047773478398,1.0005369417547085,0.7906833285107088,0.008560588794989821
current,2024,242,0.3213478789263293,0.31607927362642546,1.0497618330664475,-0.29613563594906533,0.30611503371926146,-0.0395215446969065,-0.10587979807782155,1.000539200235823,0.8097059183694647,0.010689122164674603
current,2025,243,0.5258470518605906,0.6626972054616049,2.84026336483438,-0.0935490682389366,0.1851402438137118,-0.02026396340322487,-0.03483466020118664,1.0005009487185952,0.8455735190135945,0.008231354281246763
current,2026,169,0.4196265190450534,0.4705491183691352,1.61012637658299,-0.11492953711109044,0.26061713238657996,-0.03314517296953493,-0.04883847967833033,1.0005630759817163,0.8722456718997355,0.007429007904757986
half_short,2015,177,0.8452569729804007,1.2177058053331007,2.734055971466341,-0.1249001236812819,0.30915862067266636,-0.043645752266364995,-0.07585060689962253,1.0002897201564342,0.471344913300779,0.007448689183004796
half_short,2016,244,0.21094868674771824,0.213423095731834,1.1345632390043545,-0.13504066269778492,0.1859294215568257,-0.02809294089696846,-0.08400706022181725,1.000457562901696,0.5294368095909185,0.00753462428822374
half_short,2017,244,0.10460541348554325,0.1045107641858534,1.0249041345160335,-0.05711842708673598,0.10206360767091514,-0.014663609205945286,-0.02241751086188093,1.0003796661720672,0.5893019428139996,0.007886857553694972
half_short,2018,243,0.1500131414466756,0.1473869775607335,0.9497919701931781,-0.0825147741261345,0.15794315613782717,-0.024810156211817043,-0.05799624417507143,1.0003935926630225,0.642447552200104,0.00853872164553125
half_short,2019,244,0.43018333286790267,0.5157728127645994,2.5616190161459547,-0.05765271301690389,0.1679341581072148,-0.019439210632257328,-0.03721939784893913,1.0004284959559446,0.7116346871061328,0.00781648659130418
half_short,2020,243,0.22792626773374972,0.2287715460419398,1.097730661462528,-0.1538433867473631,0.2076340542679924,-0.031710617122664195,-0.09727299348985241,1.0005168419509256,0.716619338326207,0.013595849088534957
half_short,2021,243,0.1271063790423259,0.1308483487921863,1.3995043057536234,-0.05240420576129723,0.09082242799809037,-0.012887912233814127,-0.019857728456681323,1.000436146549978,0.7187777531429829,0.0071947341368516745
half_short,2022,242,0.17731826946395776,0.17854262312369962,1.1031471818442657,-0.14534895559635475,0.16073854185759073,-0.02636219067111772,-0.06675806297583131,1.0004408669887437,0.7412914155700621,0.007425861271237559
