date,ret,equity,futures_capital_share,futures_notional_over_total,total_gross_notional,cost_return
2015-04-16,0.0,1.0,0.5,0.0,0.0,0.0
2015-04-17,-9.747881508859191e-05,0.9999025211849114,0.49995125584093286,0.3249610604477832,0.32496106044778317,9.747881508859824e-05
2015-04-20,0.005693708211039095,1.0055956743800207,0.5027822685213271,0.3267606934669788,0.32676069346697884,2.8069884786453564e-06
2015-04-21,-0.022228379210303517,0.9832429123976607,0.4914786634151896,0.3113956660073611,0.3113956660073611,1.3350563116578386e-05
2015-04-22,-0.0018913318048366934,0.9813832738055628,0.4905150583409446,0.3193155391595325,0.3193155391595325,1.6278712750856615e-06
2015-04-23,-0.002955678884498436,0.9784826199855757,0.48900472038290194,0.32416562177714425,0.3241656217771442,2.8096656489334123e-07
2015-04-24,-0.002416154169261331,0.9761184551237478,0.48776708669378427,0.3264177849824522,0.32641778498245216,2.857142825331619e-07
2015-04-27,-0.0007842544980313226,0.9753529298347057,0.48736505042873485,0.3265418398504976,0.3265418398504976,2.7480501949940384e-07
2015-04-28,0.007826644718522902,0.9829866706916923,0.49134610375930327,0.3333156602975457,0.3333156602975457,5.164311818897646e-06
2015-04-29,-0.006357418609017063,0.9767374129390213,0.4880916883325984,0.3157741518122007,0.3157741518122007,7.769599789065109e-06
2015-04-30,-0.0013937278556528376,0.9753761067989499,0.4873772317009783,0.312111341997588,0.312111341997588,1.6469666924940611e-06
2015-05-04,-0.00031474242433338073,0.9750691145584591,0.48721583677028363,0.313659263532733,0.313659263532733,3.4043930192838866e-07
2015-05-05,0.007593567334925888,0.9824733675360653,0.49108035238253356,0.31837033779718604,0.3183703377971861,4.417987855422074e-06
2015-05-06,0.004071133030136176,0.9864731473138706,0.4931438312725681,0.30698635262536594,0.30698635262536594,1.8183754458791419e-06
2015-05-07,0.00493839166951604,0.9913447380867666,0.49563458523523435,0.3069203839925747,0.3069203839925747,1.9170099342517444e-06
2015-05-08,-0.010085435951103783,0.9813465942253288,0.4904960154320421,0.2980954205150869,0.2980954205150869,6.573074587477895e-06
2015-05-11,-0.01172119805804972,0.9698440364308212,0.4845434520710439,0.2827879916397629,0.5836643820551165,9.827841636832717e-05
2015-05-12,0.0019295584900884677,0.971715407225378,0.47835162334294823,0.26761395697681134,0.5594492832031102,1.0680461391464458e-05
