date,ret,equity,futures_capital_share,futures_notional_over_total,total_gross_notional,cost_return
2015-04-16,0.0,1.0,0.5,0.0,0.0,0.0
2015-04-17,-0.00014999999999998348,0.99985,0.49992498874831226,0.5000750112516877,0.5000750112516877,0.00015
2015-04-20,0.008761019899034217,1.0086097057460495,0.5042681057385229,0.5042732751829463,0.5042732751829463,5.214734028825174e-06
2015-04-21,-0.03430390329134436,0.9740104559414257,0.48665848816096424,0.4866797904629496,0.4866797904629496,2.057154987820666e-05
2015-04-22,-0.0029551937080041224,0.9711320663704973,0.48513696816881274,0.48513875187987593,0.48513875187987593,1.7784398514872252e-06
2015-04-23,-0.00449285524498777,0.9667689105725288,0.4828133232957442,0.4828160300884535,0.4828160300884535,2.694631481422794e-06
2015-04-24,-0.0036003821919644574,0.9632881730031586,0.4809445252076603,0.4809466927571726,0.4809466927571726,2.159745505687967e-06
2015-04-27,-0.001155815956184747,0.9621747891623975,0.48034389839369496,0.480344592920044,0.480344592920044,6.937236044019439e-07
2015-04-28,0.011513716006480879,0.9732529964334089,0.48625896675139535,0.4862658002410829,0.48626580024108296,6.9121685471120404e-06
2015-04-29,-0.009268902659932077,0.9642320091459804,0.48145260138910995,0.48145821346248124,0.4814582134624813,5.56005560949983e-06
2015-04-30,-0.0021237692916168394,0.9621842028149622,0.4803489825158197,0.48035026040986084,0.48035026040986084,1.2751800889280763e-06
2015-05-04,-0.0004841663488255321,0.9617183456025876,0.4800972631059533,0.48009755395552517,0.48009755395552517,2.9070875225632934e-07
2015-05-05,0.011622757416007268,0.9728961646360503,0.4860705405421713,0.4860774381270624,0.4860774381270624,6.977753847041015e-06
2015-05-06,0.006214720238877369,0.9789424421207402,0.48924474158376374,0.489248447552473,0.489248447552473,3.7290002680199386e-06
2015-05-07,0.007868716148083266,0.9866454623230997,0.49323235235610546,0.493237038434355,0.493237038434355,4.722951669238742e-06
2015-05-08,-0.01620697720970099,0.9706549218011743,0.48488387709178243,0.48489375697511966,0.48489375697511966,9.719760293119614e-06
2015-05-11,-0.019072180651686255,0.9521424157821339,0.4750260132152604,0.4750375805734126,1.000169106816025,0.00016588158028031002
2015-05-12,0.0037254811665985432,0.9556896044200498,0.46444968756541677,0.46445497576604294,1.0000056077997967,5.6286915492875285e-06
2015-05-13,0.0016503788346138304,0.9572668543156451,0.46083248989918474,0.4611107021425861,1.0002783158378779,0.00027877516444595467
2015-05-14,0.0045802168813735555,0.9616513441217609,0.46186394774346984,0.46214131561597366,1.0002780065771226,0.0002792799075402036
2015-05-15,-0.0032357019292992284,0.958539727012273,0.4621128519207715,0.46211293540125115,1.0000007806846491,7.781585864424974e-07
2015-05-18,0.02449286503499315,0.9820171111766638,0.4625574165541069,0.4625574165785523,1.000000829443024,8.497584601532994e-07
2015-05-19,0.030356947812943735,1.0118281533720714,0.4653794211960024,0.4653794211960095,1.0000000154250073,1.5893263081393603e-08
2015-05-20,0.019737510031422323,1.0317991216993283,0.46467781706067146,0.46467781706067146,1.0000006864794964,7.000288924855814e-07
2015-05-21,0.04227919371776001,1.0754227566434689,0.4673259422137214,0.4673259422137214,1.0000000417384782,4.350314741841503e-08
2015-05-22,0.006859487835674027,1.0827996059608718,0.4644568502651596,0.4644568502651596,1.0000006729588409,6.775749941058802e-07
2015-05-25,0.02194089867277582,1.106557202398181,0.4650012934949345,0.4650012934949345,1.0000009247910044,9.450817501775008e-07
2015-05-26,0.046146169409094995,1.1576205785209015,0.46971438503064017,0.46971438503064017,1.0000005700045735,5.963081009214792e-07
2015-05-27,0.007631959718659154,1.166455492145664,0.4670330467697742,0.4670330467697742,1.0000001258108355,1.2677101906675528e-07
2015-05-28,-0.05638727710314462,1.1006822430815615,0.4679804594476448,0.4679804594476448,1.0000003131075725,2.954522889710456e-07
2015-05-29,0.013718263588168522,1.115781692218971,0.4683011187265948,0.4683011187265948,1.0000004935748752,5.003458654270486e-07
2015-06-01,0.06931480547295443,1.193121883165413,0.4770879230130109,0.4770879230130109,1.0000001008985837,1.0789234935940552e-07
2015-06-02,0.03082507994469119,1.2298999605977472,0.4722578414861497,0.4722578414861497,1.0000003639930195,3.752131335057859e-07
