name,window,start,end,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day
current,full,2015-04-16,2026-09-11,2776,0.30749754382088434,0.32800014913107317,1.413059619085707,-0.29613563594906533,0.21761116068113587,-0.03090536468522315,-0.10587979807782155
current,dual_listed,2022-07-25,2026-09-11,1005,0.3267861495196523,0.35345615232451083,1.4899646436086398,-0.2961356359490652,0.2193247678201197,-0.028525605997076715,-0.10587979807782155
current,2015-2020,2015-04-16,2020-12-31,1395,0.3373839104959144,0.36493168567585327,1.4775571401279843,-0.1885525918479174,0.22833899368974023,-0.033748623439747154,-0.09793196605848764
current,2021-2023,2021-01-04,2023-12-29,727,0.14649068017065348,0.1447780023697192,0.9776366531950156,-0.15743767590690116,0.14984164074854098,-0.022075437944195715,-0.06742783817006259
current,2024-2026,2024-01-02,2026-09-11,654,0.42272767893105384,0.4772759112917512,1.660722605193106,-0.29613563594906533,0.2545444239809693,-0.032390561178314646,-0.10587979807782155
half_short,full,2015-04-16,2026-09-11,2776,0.27102210935774734,0.2903868894384267,1.5173644710389902,-0.18784773070155358,0.17861371775244578,-0.025526129913793102,-0.09727299348985241
half_short,dual_listed,2022-07-25,2026-09-11,1005,0.2762686383147649,0.29850277756706245,1.5920987832319444,-0.18784773070155392,0.17352480965656064,-0.02275090039618122,-0.06432783003683751
half_short,2015-2020,2015-04-16,2020-12-31,1395,0.3035194941398268,0.3295832620061162,1.58093325533023,-0.1538433867473631,0.1919875447723609,-0.028363604129490433,-0.09727299348985241
half_short,2021-2023,2021-01-04,2023-12-29,727,0.12105751677228269,0.12019771412221136,0.9888355675199053,-0.14534895559635486,0.12242431476843678,-0.019178625889103497,-0.06675806297583131
half_short,2024-2026,2024-01-02,2026-09-11,654,0.36840805284189426,0.4167119960349869,1.8402957358589316,-0.18784773070155414,0.20018959217440402,-0.025280010826843023,-0.06432783003683751
vol15_cap1,full,2015-04-16,2026-09-11,2776,0.20388525148278674,0.21476877246367324,1.4990218710079564,-0.1925270429463276,0.1360121926344493,-0.018322157156961776,-0.09736643455818705
vol15_cap1,dual_listed,2022-07-25,2026-09-11,1005,0.25922524170188144,0.2809481868099008,1.7045052308649922,-0.1925270429463275,0.15208239728917192,-0.01911206706781008,-0.07073576726123942
vol15_cap1,2015-2020,2015-04-16,2020-12-31,1395,0.19300635846630268,0.20281801862585871,1.5045627674106454,-0.14322717700872856,0.12828069565915612,-0.01774678946604,-0.09736643455818705
vol15_cap1,2021-2023,2021-01-04,2023-12-29,727,0.10750264443821449,0.1060141397373442,0.9279023679828939,-0.12718784807255523,0.1158555556571188,-0.017161211668545426,-0.05061167139795031
vol15_cap1,2024-2026,2024-01-02,2026-09-11,654,0.3342311399833972,0.3769931168322937,1.9815617521817508,-0.19252704294632772,0.16867056482867623,-0.020218495768402032,-0.07073576726123942
