Date,000057.SH,000058.SH,000918.CSI,000919.CSI,H30351.CSI,H30352.CSI,H30355.CSI,H30356.CSI,000028.SH,000029.SH,000117.SH,000118.SH,932406.CSI,932407.CSI,932408.CSI,932409.CSI,399346.SZ,399348.SZ,399370.SZ,399371.SZ,399372.SZ,399373.SZ,399374.SZ,399375.SZ,399376.SZ,399377.SZ,399602.SZ,399604.SZ,399630.SZ,399631.SZ
2026-05-27,4057.4,4386.6832,5840.9495,4978.8081,8787.6546,10698.4104,7657.0228,6313.4607,4048.8891,4020.4854,4789.7733,10398.8879,3026.7324,3375.3711,4398.4501,3848.652,5391.9476,6614.7341,5787.9281,7045.1848,5870.0692,7899.8272,5464.0827,6431.6253,7512.1765,7997.95,1474.6676,2110.1002,2144.8966,2283.128
2026-05-26,4128.4537,4420.7712,5882.5494,5017.918,8945.3036,10819.3404,7759.9669,6369.1336,4133.4752,4046.3343,4839.0436,10486.7303,3060.2087,3452.5026,4467.1919,3944.5262,5417.8796,6688.4978,5851.3278,7113.6713,5915.439,7944.1677,5537.802,6530.4938,7651.4834,8115.9611,1495.7947,2143.7845,2161.3684,2308.5495
2026-05-25,4107.4592,4397.1837,5831.5999,4983.9945,8992.5138,10712.8602,7648.2151,6319.7725,4091.9962,4030.0446,4829.7864,10375.476,3084.6545,3519.68,4540.0006,4036.2543,5366.7073,6633.0917,5817.1464,7076.5033,5854.1764,7918.3806,5500.1101,6469.7787,7727.9617,8068.6646,1501.1813,2131.4983,2155.2612,2293.2097
2026-05-22,4041.336,4386.3849,5715.5134,4973.5987,8846.1344,10599.7945,7402.8434,6297.7562,4021.9042,4022.8187,4766.365,10304.5051,3070.5763,3444.513,4543.1869,3998.4987,5264.9997,6593.3375,5729.2688,7052.7957,5756.9468,7908.5428,5428.5775,6475.4959,7629.3463,7946.0163,1479.3199,2114.9059,2115.8064,2278.0456
2026-05-21,4004.543,4395.2881,5607.2893,4978.2088,8674.6908,10521.6042,7181.0417,6295.3228,3999.8045,4039.1302,4679.8637,10259.2217,3045.3707,3344.055,4463.3668,3869.7631,5137.6268,6537.9402,5627.3141,7037.6279,5663.8721,7945.3041,5312.684,6385.0878,7485.6511,7888.6572,1447.8566,2097.1035,2068.0781,2258.2761
2026-05-20,4070.2819,4436.83,5685.2551,5004.2232,8949.8332,10678.0257,7353.4184,6346.597,4043.1378,4061.2929,4790.8638,10415.1068,3116.4809,3485.6682,4593.2845,4039.986,5240.2716,6586.3653,5739.9968,7126.3716,5732.7634,8003.4488,5476.9547,6514.2295,7728.3638,8037.7913,1473.247,2122.894,2117.4059,2285.2342
2026-05-19,4051.558,4475.7271,5677.9262,5047.8075,8868.0695,10756.3856,7288.1398,6400.3066,4023.0638,4095.2974,4750.3622,10475.3047,3146.8401,3463.7297,4632.5859,4017.3836,5219.5326,6631.5373,5711.0743,7169.3828,5727.6323,8072.371,5413.3401,6531.299,7648.2919,8059.3548,1470.487,2147.6703,2108.2605,2299.7624
2026-05-18,4000.8818,4451.4389,5665.5583,5030.2746,8781.1029,10698.4308,7272.6659,6373.8489,3980.8759,4079.1996,4698.0722,10382.7498,3119.2028,3418.3089,4588.2259,3967.9044,5237.1963,6628.3422,5693.4502,7146.2035,5726.4246,8058.2208,5400.1829,6492.182,7549.5555,8025.9833,1470.303,2135.2282,2111.7632,2290.0049
2026-05-15,4023.9109,4476.4695,5716.341,5066.8272,8759.2621,10750.2203,7300.2644,6427.1132,4021.0166,4106.5899,4679.8515,10456.6478,3134.1171,3390.4413,4593.2318,3947.4784,5282.23,6698.9165,5724.2628,7200.9867,5780.0177,8122.5856,5414.1576,6528.4661,7520.1905,8101.5033,1473.4875,2166.8214,2118.8275,2311.196
2026-05-14,4092.1772,4521.8494,5785.7165,5107.3149,8907.1013,10939.2275,7423.2055,6491.0294,4086.385,4136.5485,4715.1526,10597.2673,3175.8265,3406.2961,4620.6909,3978.5726,5333.5004,6779.1871,5786.3563,7290.2933,5844.4999,8164.7142,5486.769,6689.3067,7571.5565,8251.5416,1488.0877,2197.5161,2137.786,2330.1542
