date,pair_01_factor_5,pair_02_factor_5,pair_03_factor_5,pair_04_factor_5,raw_signal_5,factor_value_raw,factor_value
2014-04-24,-0.0119,-0.1742,0.3433,-0.2043,-0.0118,-0.0118,-0.0118
2014-04-25,-0.4737,-0.5609,0.2329,0.459,-0.0857,-0.0857,-0.0857
2014-04-28,-0.6727,-0.8765,-0.1382,-0.3508,-0.5096,-0.5096,-0.5096
2014-04-29,-0.4972,-0.5764,0.0308,-0.0824,-0.2813,-0.2813,-0.2813
2014-04-30,-0.323,-0.4019,0.0644,-0.3554,-0.254,-0.254,-0.254
2014-05-05,-0.2105,0.2088,0.4887,-0.5669,-0.02,-0.02,-0.02
2014-05-06,0.3319,0.46,0.6644,-0.8316,0.1562,0.1562,0.1562
2014-05-07,0.2159,0.7931,0.2664,-0.1033,0.293,0.293,0.293
2014-05-08,-0.0408,0.601,0.2562,0.1999,0.2541,0.2541,0.2541
2014-05-09,-0.506,0.2945,0.4577,0.4691,0.1788,0.1788,0.1788
2014-05-12,-0.6035,-0.1515,-0.3875,0.2869,-0.2139,-0.2139,-0.2139
2014-05-13,-0.5447,-0.2289,-0.7096,-0.1112,-0.3986,-0.3986,-0.3986
2014-05-14,-0.2345,-0.1282,-0.3661,-0.0931,-0.2055,-0.2055,-0.2055
2014-05-15,-0.3025,0.1929,0.1358,-0.7536,-0.1818,-0.1818,-0.1818
2014-05-16,-0.1425,0.0838,-0.6771,-0.4954,-0.3078,-0.3078,-0.3078
2014-05-19,-0.2782,0.2677,-0.2272,0.2349,-0.0007,-0.0007,-0.0007
2014-05-20,-0.5593,0.3,0.5548,0.6586,0.2386,0.2386,0.2386
2014-05-21,-0.2827,0.261,0.3503,0.4165,0.1863,0.1863,0.1863
2014-05-22,0.018,0.5588,0.512,0.8268,0.4789,0.4789,0.4789
2014-05-23,0.3483,0.7588,0.9015,0.8414,0.7125,0.7125,0.7125
2014-05-26,0.8053,0.7801,0.8143,0.7305,0.7826,0.7826,0.7826
2014-05-27,0.7702,0.6825,0.517,0.1771,0.5367,0.5367,0.5367
