pit_policy,candidate,component,is_candidate,window,executable,n_obs,ann_return,sharpe,maxdd,turnover,baseline_sharpe,sharpe_difference,baseline_maxdd,maxdd_difference,baseline_turnover,turnover_ratio,partial_ic,gate_name,gate_pass,affects_verdict
legal_deadline,B3_dual_target,B3_1000,False,2021-2023,False,727,0.09139123974045556,0.772941384991138,-0.1605692321645762,13.14305364511692,1.000930606530241,-0.22798922153910306,-0.1312448943202561,-0.029324337844320092,8.42503438789546,1.5600000000000003,,,,False
legal_deadline,B3_dual_target,B3_1000,False,post-IM,True,352,0.10590240979683312,0.9686760251158618,-0.10446678202535442,11.832386363636363,0.8446896774523189,0.12398634766354288,-0.12103448714531062,0.0165677051199562,8.352272727272727,1.4166666666666667,,,,False
legal_deadline,B3_dual_target,B3_1000,False,pre-IM,False,375,0.07777008811420251,0.6163832088103,-0.1605692321645762,14.373333333333333,1.127664287358439,-0.5112810785481391,-0.1312448943202561,-0.029324337844320092,8.493333333333332,1.6923076923076925,,,,False
legal_deadline,B3_dual_target,B3_500,False,2021-2023,True,727,0.1002983112871399,0.8069583473037848,-0.13597691887490848,8.42503438789546,1.000930606530241,-0.19397225922645622,-0.1312448943202561,-0.004732024554652381,8.42503438789546,1.0,,,,False
legal_deadline,B3_dual_target,B3_500,False,post-IM,True,352,0.026255020813120287,0.2569401431017028,-0.13597691887490904,9.744318181818182,0.8446896774523189,-0.587749534350616,-0.12103448714531062,-0.014942431729598415,8.352272727272727,1.1666666666666667,,,,False
legal_deadline,B3_dual_target,B3_500,False,pre-IM,True,375,0.16980027994541963,1.1962508648960617,-0.12611589285449276,7.1866666666666665,1.127664287358439,0.06858657753762265,-0.1312448943202561,0.005129001465763339,8.493333333333332,0.8461538461538463,,,,False
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,maxdd_worsening,True,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,partial_ic,True,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,sharpe_improvement,False,True
legal_deadline,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,turnover_multiple,True,True
