date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-03-26,2393.408,2200.195,4328.652,4712.106,1657.0716,1292.8076,1122.1396,1121.3445
2014-03-27,2386.935,2200.73,4272.671,4663.178,1613.8384,1275.4917,1094.7121,1094.9237
2014-03-28,2382.988,2215.921,4188.39,4591.182,1569.614,1251.2604,1060.4545,1062.7106
2014-03-31,2382.352,2212.768,4182.867,4564.251,1560.8229,1234.3624,1055.2377,1058.4415
2014-04-01,2399.999,2220.363,4243.519,4640.342,1592.3626,1253.5423,1078.4494,1077.7579
2014-04-02,2422.588,2250.347,4241.993,4671.468,1571.5904,1253.5232,1072.7501,1073.715
2014-04-03,2399.689,2224.559,4230.741,4639.044,1572.3712,1252.7728,1077.7945,1078.3271
2014-04-04,2421.905,2241.347,4277.907,4690.316,1597.5491,1267.9231,1090.2906,1090.8044
2014-04-08,2493.169,2300.58,4326.624,4744.823,1605.2192,1281.5381,1100.7199,1104.0784
2014-04-09,2491.074,2296.688,4362.728,4774.94,1628.115,1290.658,1116.1025,1118.7217
2014-04-10,2508.328,2337.38,4386.515,4807.365,1636.4527,1297.9662,1120.3058,1121.0569
2014-04-11,2518.047,2333.883,4378.404,4786.961,1623.0548,1294.8128,1117.5122,1118.0203
2014-04-14,2513.31,2323.268,4408.311,4829.296,1632.314,1305.1536,1127.8741,1131.2334
2014-04-15,2464.24,2276.872,4365.308,4771.835,1626.1174,1295.5029,1121.7474,1123.2203
2014-04-16,2467.857,2283.44,4354.804,4777.643,1626.987,1302.241,1121.3304,1126.3945
2014-04-17,2459.893,2271.865,4350.983,4772.104,1625.2227,1300.6793,1125.1992,1128.2393
2014-04-18,2459.485,2267.062,4365.984,4782.347,1634.5323,1305.0439,1131.7359,1133.1916
2014-04-21,2420.201,2232.728,4302.712,4708.248,1617.1136,1277.7191,1110.8034,1113.3267
2014-04-22,2439.103,2255.376,4271.027,4695.573,1597.0873,1271.5451,1099.4879,1102.9163
2014-04-23,2442.149,2255.8,4249.632,4670.81,1587.524,1267.388,1094.9031,1099.5104
2014-04-24,2442.396,2259.957,4199.594,4628.976,1572.1394,1254.2931,1089.9821,1094.7227
2014-04-25,2419.87,2249.738,4099.468,4530.158,1543.6751,1231.4473,1068.5025,1068.8431
2014-04-28,2391.383,2230.722,3978.356,4428.971,1496.2362,1187.6405,1029.4033,1033.6214
2014-04-29,2412.867,2248.009,4040.187,4489.329,1513.7178,1207.2783,1043.0914,1047.2122
2014-04-30,2416.825,2243.889,4068.844,4510.632,1525.6117,1219.6336,1053.8879,1060.1944
2014-05-05,2403.315,2230.949,4113.027,4538.705,1549.0935,1229.4458,1070.6968,1078.2014
2014-05-06,2403.353,2227.47,4134.497,4558.026,1562.3339,1234.4505,1080.5412,1086.6548
2014-05-07,2378.433,2215.132,4061.588,4471.864,1529.9978,1211.0098,1059.6951,1065.637
2014-05-08,2371.171,2212.348,4062.471,4480.526,1526.0567,1213.3786,1062.0592,1066.8303
2014-05-09,2362.09,2208.529,4016.445,4440.804,1508.4261,1198.3255,1053.1372,1058.8179
2014-05-12,2398.06,2246.297,4110.324,4552.221,1538.6566,1226.3812,1075.368,1083.0146
2014-05-13,2399.037,2243.202,4102.682,4545.773,1535.2997,1226.7175,1076.0321,1083.6986
2014-05-14,2395.362,2242.327,4105.429,4538.076,1542.4536,1226.5148,1079.6822,1087.1872
2014-05-15,2370.282,2225.228,4032.818,4447.956,1514.2779,1201.9605,1057.3888,1066.9121
2014-05-16,2377.084,2232.316,4013.393,4443.387,1499.1656,1203.0197,1053.3888,1062.454
2014-05-19,2335.413,2201.556,3982.761,4406.092,1494.5536,1194.0405,1050.542,1058.6705
2014-05-20,2333.954,2204.169,3996.387,4420.206,1506.2465,1193.5989,1059.2021,1065.2001
2014-05-21,2356.321,2221.983,4038.362,4458.529,1518.4286,1202.0868,1071.8311,1079.0445
2014-05-22,2352.672,2219.695,4050.547,4437.672,1525.3375,1202.1282,1071.5307,1077.029
2014-05-23,2376.388,2237.558,4101.05,4477.998,1549.5408,1212.7355,1083.6361,1087.156
2014-05-26,2387.27,2240.34,4152.717,4513.002,1573.4563,1227.3291,1100.4687,1103.8184
2014-05-27,2380.751,2236.211,4145.439,4511.158,1562.0644,1219.9739,1099.253,1104.8781
2014-05-28,2402.266,2254.861,4196.549,4539.966,1591.2556,1231.8089,1112.5425,1116.2695
2014-05-29,2390.67,2247.437,4165.3,4483.721,1566.1815,1219.5261,1098.2591,1099.0053
