offset,n_windows,ic,net_sharpe,original_IC_phase,original_trade_phase
0,135,0.3344036556879632,1.0213199667503687,False,True
1,135,0.29924513390548024,0.9701391279408863,False,False
2,135,0.32357063440314543,1.0790900791934284,False,False
3,135,0.329948453691099,1.1033136946122695,False,False
4,135,0.2858063318251252,0.9360337032028255,False,False
5,135,0.14477698581047704,0.29096635428341994,False,False
6,135,0.1871672812614735,0.559002758859199,False,False
7,135,0.1364131126203069,0.5093779002472013,False,False
8,135,0.02115854968061709,0.12439356372452456,False,False
9,135,-0.07718768843239952,-0.35467199084512824,False,False
10,135,-0.013964484610356044,0.03259134511313691,False,False
11,135,-0.09139125751022849,0.14609357249095636,False,False
12,135,-0.10467264364209052,-0.19137942703236172,False,False
13,135,-0.0948384651892,-0.3289868281630456,False,False
14,135,-0.03904395732077885,0.0745502933130388,False,False
15,134,-0.028566654846794853,0.1149283989804128,False,False
16,134,0.056853904808178736,0.2857658220595343,False,False
17,134,0.18074751930965222,0.672148637780738,False,False
18,134,0.24163782683742868,0.9473865529135274,False,False
19,134,0.25986650092401764,0.9438991059860591,True,False
