kind,rep,scheme,p_maxT,p_minP
stationary,77,restricted,0.228,0.026
stationary,77,full_group,0.226,0.092
stationary,78,restricted,0.992,0.964
stationary,78,full_group,0.98,0.94
stationary,79,restricted,0.118,0.13
stationary,79,full_group,0.116,0.172
stationary,80,restricted,0.612,0.88
stationary,80,full_group,0.592,0.898
stationary,81,restricted,0.928,0.98
stationary,81,full_group,0.934,0.976
stationary,82,restricted,0.57,0.5
stationary,82,full_group,0.58,0.494
stationary,83,restricted,0.156,0.048
stationary,83,full_group,0.154,0.036
stationary,84,restricted,0.16,0.188
stationary,84,full_group,0.168,0.18
stationary,85,restricted,0.888,0.476
stationary,85,full_group,0.856,0.518
stationary,86,restricted,0.75,0.588
stationary,86,full_group,0.716,0.664
stationary,87,restricted,0.132,0.372
stationary,87,full_group,0.124,0.42
stationary,88,restricted,0.796,0.856
stationary,88,full_group,0.806,0.81
stationary,89,restricted,0.644,0.504
stationary,89,full_group,0.628,0.536
stationary,90,restricted,0.956,0.986
stationary,90,full_group,0.952,0.982
stationary,91,restricted,0.1,0.264
stationary,91,full_group,0.1,0.202
stationary,92,restricted,0.204,0.278
stationary,92,full_group,0.24,0.362
stationary,93,restricted,0.082,0.04
stationary,93,full_group,0.092,0.082
stationary,94,restricted,0.706,0.934
stationary,94,full_group,0.74,0.92
stationary,95,restricted,0.272,0.086
stationary,95,full_group,0.246,0.072
stationary,96,restricted,0.866,0.85
stationary,96,full_group,0.882,0.844
stationary,97,restricted,0.634,0.798
stationary,97,full_group,0.682,0.802
stationary,98,restricted,0.622,0.372
stationary,98,full_group,0.606,0.226
stationary,99,restricted,0.042,0.076
stationary,99,full_group,0.048,0.098
stationary,100,restricted,0.34,0.726
stationary,100,full_group,0.356,0.792
stationary,101,restricted,0.124,0.228
stationary,101,full_group,0.12,0.282
stationary,102,restricted,0.912,0.724
stationary,102,full_group,0.908,0.696
stationary,103,restricted,0.28,0.562
stationary,103,full_group,0.312,0.596
stationary,104,restricted,0.604,0.842
stationary,104,full_group,0.628,0.926
stationary,105,restricted,0.14,0.078
stationary,105,full_group,0.136,0.02
stationary,106,restricted,0.634,0.73
stationary,106,full_group,0.628,0.692
stationary,107,restricted,0.568,0.632
stationary,107,full_group,0.558,0.518
stationary,108,restricted,0.65,0.762
stationary,108,full_group,0.64,0.694
stationary,109,restricted,0.722,0.59
stationary,109,full_group,0.716,0.46
stationary,110,restricted,0.606,0.322
stationary,110,full_group,0.63,0.39
stationary,111,restricted,0.982,0.906
stationary,111,full_group,0.974,0.91
stationary,112,restricted,0.182,0.12
stationary,112,full_group,0.23,0.096
stationary,113,restricted,0.666,0.9
stationary,113,full_group,0.678,0.87
stationary,114,restricted,0.282,0.222
stationary,114,full_group,0.252,0.2
stationary,115,restricted,0.632,0.606
stationary,115,full_group,0.686,0.61
stationary,116,restricted,0.092,0.134
stationary,116,full_group,0.118,0.114
stationary,117,restricted,0.302,0.1
stationary,117,full_group,0.278,0.1
stationary,118,restricted,0.218,0.468
stationary,118,full_group,0.252,0.456
stationary,119,restricted,0.428,0.42
stationary,119,full_group,0.488,0.42
stationary,120,restricted,0.68,0.824
stationary,120,full_group,0.678,0.836
stationary,121,restricted,0.914,0.94
stationary,121,full_group,0.91,0.908
stationary,122,restricted,0.674,0.848
stationary,122,full_group,0.72,0.852
stationary,123,restricted,0.302,0.468
stationary,123,full_group,0.32,0.45
stationary,124,restricted,0.472,0.578
stationary,124,full_group,0.44,0.578
stationary,125,restricted,0.678,0.916
stationary,125,full_group,0.638,0.914
stationary,126,restricted,0.986,0.88
stationary,126,full_group,0.992,0.87
stationary,127,restricted,0.028,0.12
stationary,127,full_group,0.018,0.128
stationary,128,restricted,0.612,0.868
stationary,128,full_group,0.548,0.874
stationary,129,restricted,0.524,0.892
stationary,129,full_group,0.518,0.872
stationary,130,restricted,0.398,0.694
stationary,130,full_group,0.468,0.792
