name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
ew_L5_zw10_sm0,ew40,ew,5.0,10,0,old_sym,-0.4313104229526235,1706,-0.6484283335577747,727,0.2153062272989096,654,,,-0.6484283335577747,-0.6484283335577747,36,36
ew_L5_zw10_sm5,ew40,ew,5.0,10,5,old_sym,-0.4888188651550171,1706,-0.535487859101736,727,-0.2571442645291327,654,,,-0.535487859101736,-0.535487859101736,35,35
ew_L5_zw15_sm0,ew40,ew,5.0,15,0,old_sym,-0.7234762692422443,1706,-0.40572261562167655,727,0.6074438723092339,654,,,-0.7234762692422443,-0.7234762692422443,38,38
ew_L5_zw15_sm5,ew40,ew,5.0,15,5,old_sym,-0.35085645600853377,1706,-1.4654529667046818,727,-0.2790655110638812,654,,,-1.4654529667046818,-1.4654529667046818,40,40
ew_L5_zw25_sm0,ew40,ew,5.0,25,0,old_sym,-0.5683039145079803,1706,-0.8683107465218064,727,0.46045880549388557,654,,,-0.8683107465218064,-0.8683107465218064,39,39
ew_L5_zw25_sm5,ew40,ew,5.0,25,5,old_sym,-0.37075500442039705,1706,-0.3351589138159049,727,-0.7250484538923764,654,,,-0.37075500442039705,-0.7250484538923764,33,33
ew_L5_zw250_sm0,ew40,ew,5.0,250,0,old_sym,0.10822822526657604,1706,0.47863412063790917,727,0.03859355481445857,654,,,0.10822822526657604,0.03859355481445857,31,31
ew_L5_zw250_sm5,ew40,ew,5.0,250,5,old_sym,0.4565866905705209,1706,0.2796599448837765,727,0.37597938865526476,654,,,0.2796599448837765,0.2796599448837765,25,25
ew_L10_zw20_sm0,ew40,ew,10.0,20,0,old_sym,0.21705172810885393,1706,-0.6595920409106635,727,-0.29769707547322,654,,,-0.6595920409106635,-0.6595920409106635,37,37
ew_L10_zw20_sm5,ew40,ew,10.0,20,5,old_sym,0.019714750188529407,1706,-0.42363806851836205,727,0.5673862630117389,654,,,-0.42363806851836205,-0.42363806851836205,34,34
ew_L10_zw30_sm0,ew40,ew,10.0,30,0,old_sym,0.4286177842282315,1706,0.12889652089794404,727,-0.4444440008344201,654,,,0.12889652089794404,-0.4444440008344201,28,28
ew_L10_zw30_sm5,ew40,ew,10.0,30,5,old_sym,0.6655607919458716,1706,0.5326746316559677,727,0.3977321647038702,654,,,0.5326746316559677,0.3977321647038702,17,17
ew_L10_zw50_sm0,ew40,ew,10.0,50,0,old_sym,0.6419823692233225,1706,0.7448818872168436,727,0.1851225653715418,654,,,0.6419823692233225,0.1851225653715418,14,14
ew_L10_zw50_sm5,ew40,ew,10.0,50,5,old_sym,1.1143770831230126,1706,1.306041220353844,727,0.2309544283476241,654,,,1.1143770831230126,0.2309544283476241,5,5
ew_L10_zw250_sm0,ew40,ew,10.0,250,0,old_sym,0.8543833768162842,1706,1.4482453524266945,727,0.29498423366514526,654,,,0.8543833768162842,0.29498423366514526,10,10
ew_L10_zw250_sm5,ew40,ew,10.0,250,5,old_sym,0.8789105830008134,1706,0.564054495747526,727,0.12255245389451132,654,,,0.564054495747526,0.12255245389451132,16,16
ew_L20_zw40_sm0,ew40,ew,20.0,40,0,old_sym,1.0403422901945634,1706,1.298600118622568,727,0.9727751993811314,654,,,1.0403422901945634,0.9727751993811314,7,7
ew_L20_zw40_sm5,ew40,ew,20.0,40,5,old_sym,1.3237285451259748,1706,1.2678544277804065,727,1.4728825026631496,654,,,1.2678544277804065,1.2678544277804065,3,3
ew_L20_zw60_sm0,ew40,ew,20.0,60,0,old_sym,1.2772499150078027,1706,1.1846427295705608,727,0.7702935654080226,654,,,1.1846427295705608,0.7702935654080226,4,4
ew_L20_zw60_sm5,ew40,ew,20.0,60,5,old_sym,1.3139733536943752,1706,0.9987469014831175,727,0.7774069633512475,654,,,0.9987469014831175,0.7774069633512475,8,8
ew_L20_zw100_sm0,ew40,ew,20.0,100,0,old_sym,1.6375674275265866,1706,1.6484152476845495,727,0.8897190466335293,654,,,1.6375674275265866,0.8897190466335293,1,1
ew_L20_zw100_sm5,ew40,ew,20.0,100,5,old_sym,0.8858135740188773,1706,1.5752302883098,727,0.6592798014220692,654,,,0.8858135740188773,0.6592798014220692,9,9
ew_L20_zw250_sm0,ew40,ew,20.0,250,0,old_sym,1.487960918225174,1706,1.6981649901654725,727,0.7631565117074198,654,,,1.487960918225174,0.7631565117074198,2,2
ew_L20_zw250_sm5,ew40,ew,20.0,250,5,old_sym,1.0421375148828482,1706,1.1240665466188338,727,0.7332082797143861,654,,,1.0421375148828482,0.7332082797143861,6,6
ew_L40_zw80_sm0,ew40,ew,40.0,80,0,old_sym,0.7873427881909888,1706,1.596117585156927,727,0.9850960698797026,654,,,0.7873427881909888,0.7873427881909888,11,11
ew_L40_zw80_sm5,ew40,ew,40.0,80,5,old_sym,0.6566727581901499,1706,1.4534820019449317,727,0.826629534616624,654,,,0.6566727581901499,0.6566727581901499,13,13
ew_L40_zw120_sm0,ew40,ew,40.0,120,0,old_sym,0.7394963251979341,1706,1.2299773186673753,727,0.9713934143921655,654,,,0.7394963251979341,0.7394963251979341,12,12
ew_L40_zw120_sm5,ew40,ew,40.0,120,5,old_sym,0.3291733947995751,1706,0.78583246119198,727,0.4744892175874138,654,,,0.3291733947995751,0.3291733947995751,24,24
ew_L40_zw200_sm0,ew40,ew,40.0,200,0,old_sym,0.48512898205224764,1706,1.2433340679858629,727,1.1049483315823585,654,,,0.48512898205224764,0.48512898205224764,18,18
ew_L40_zw200_sm5,ew40,ew,40.0,200,5,old_sym,0.11107737937649077,1706,0.871967372614443,727,0.6906509405584441,654,,,0.11107737937649077,0.11107737937649077,30,30
ew_L40_zw250_sm0,ew40,ew,40.0,250,0,old_sym,0.6140769879859022,1706,0.7468278225125288,727,1.3241131544626754,654,,,0.6140769879859022,0.6140769879859022,15,15
ew_L40_zw250_sm5,ew40,ew,40.0,250,5,old_sym,0.3458351354968026,1706,0.884960445609876,727,0.5485202580391348,654,,,0.3458351354968026,0.3458351354968026,22,22
ew_L60_zw120_sm0,ew40,ew,60.0,120,0,old_sym,0.7722581234229998,1706,0.40340564838646936,727,0.10254044360385094,654,,,0.40340564838646936,0.10254044360385094,20,20
ew_L60_zw120_sm5,ew40,ew,60.0,120,5,old_sym,0.5840189169646766,1706,0.3565837442050772,727,-0.3967394272137671,654,,,0.3565837442050772,-0.3967394272137671,21,21
ew_L60_zw180_sm0,ew40,ew,60.0,180,0,old_sym,0.6556515612019391,1706,0.11468759641625216,727,-0.44451118075926815,654,,,0.11468759641625216,-0.44451118075926815,29,29
ew_L60_zw180_sm5,ew40,ew,60.0,180,5,old_sym,0.48021199759962524,1706,-0.034006470480923416,727,-0.42027543580679266,654,,,-0.034006470480923416,-0.42027543580679266,32,32
ew_L60_zw300_sm0,ew40,ew,60.0,300,0,old_sym,0.661331991841902,1706,0.21088265251087276,727,-0.0003411996708147099,654,,,0.21088265251087276,-0.0003411996708147099,26,26
ew_L60_zw300_sm5,ew40,ew,60.0,300,5,old_sym,0.7387939990933305,1706,0.2048846855139693,727,-0.2742322984807478,654,,,0.2048846855139693,-0.2742322984807478,27,27
ew_L60_zw250_sm0,ew40,ew,60.0,250,0,old_sym,0.9318086134045058,1706,0.4142318414720517,727,0.04609047755811157,654,,,0.4142318414720517,0.04609047755811157,19,19
ew_L60_zw250_sm5,ew40,ew,60.0,250,5,old_sym,0.7252321986786567,1706,0.3403238726572935,727,-0.48544303609627526,654,,,0.3403238726572935,-0.48544303609627526,23,23
