name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
ew_L20_zw100_sm0,ew40,ew,20.0,100,0,old_sym,1.6375674275265866,1706,1.6484152476845495,727,0.8897190466335293,654,,,1.6375674275265866,0.8897190466335293,1,1
classic_L60s0_zw40_sm0,momentum174,classic,,40,0,old_sym,1.0381767035454297,1706,1.9959650296681335,727,0.6249927156398064,654,60.0,0.0,1.0381767035454297,0.6249927156398064,15,1
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,old_sym,1.398334357271783,1706,1.8720188545831093,727,1.0971290673689094,654,20.0,0.0,1.398334357271783,1.0971290673689094,1,1
voladj_L20s0_zw40_sm0,momentum174,voladj,,40,0,old_sym,1.0919377981242464,1706,1.3460922010786915,727,0.8902855900788447,654,20.0,0.0,1.0919377981242464,0.8902855900788447,10,1
winrate_L20s0_zw250_sm0,momentum174,winrate,,250,0,old_sym,1.0045178383574378,1706,1.0987455970267876,727,0.5902956729832891,654,20.0,0.0,1.0045178383574378,0.5902956729832891,17,1
smooth_L20s0_zw250_sm0,momentum174,smooth,,250,0,old_sym,1.3757421516675374,1706,1.4699930560823025,727,1.0045308065713205,654,20.0,0.0,1.3757421516675374,1.0045308065713205,3,1
highdist_L60s0_zw40_sm0,momentum174,highdist,,40,0,old_sym,1.2020344452303866,1706,1.4063279001668711,727,0.5775388585636309,654,60.0,0.0,1.2020344452303866,0.5775388585636309,5,1
ew_L20_zw100_sm0,ew40,ew,20.0,100,0,fixed_sym,1.7023468561889123,1706,1.6276249913311567,727,0.8897190466335293,654,,,1.6276249913311567,0.8897190466335293,1,1
classic_L60s0_zw40_sm0,momentum174,classic,,40,0,fixed_sym,1.1029726433734497,1706,1.9846573752603538,727,0.6249927156398064,654,60.0,0.0,1.1029726433734497,0.6249927156398064,15,1
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,fixed_sym,1.4514785021886099,1706,1.8404493796728476,727,1.0971290673689094,654,20.0,0.0,1.4514785021886099,1.0971290673689094,1,1
voladj_L20s0_zw40_sm0,momentum174,voladj,,40,0,fixed_sym,1.1410584745851777,1706,1.3368956519025834,727,0.8902855900788447,654,20.0,0.0,1.1410584745851777,0.8902855900788447,10,1
winrate_L20s0_zw250_sm0,momentum174,winrate,,250,0,fixed_sym,1.027746680632715,1706,1.1133645523171185,727,0.5902956729832891,654,20.0,0.0,1.027746680632715,0.5902956729832891,22,1
smooth_L20s0_zw250_sm0,momentum174,smooth,,250,0,fixed_sym,1.4232242389839207,1706,1.468794133288237,727,1.0045308065713205,654,20.0,0.0,1.4232242389839207,1.0045308065713205,2,1
highdist_L60s0_zw40_sm0,momentum174,highdist,,40,0,fixed_sym,1.2606788804234985,1706,1.4020614941593625,727,0.5775388585636309,654,60.0,0.0,1.2606788804234985,0.5775388585636309,5,1
ew_L20_zw250_sm0,ew40,ew,20.0,250,0,spot_lf,1.3298808156396709,1706,1.1275356079223873,727,0.9250837887105418,654,,,1.1275356079223873,0.9250837887105418,1,1
classic_L60s0_zw40_sm0,momentum174,classic,,40,0,spot_lf,1.2319017333503004,1706,1.4139553127955118,727,0.863077806861711,654,60.0,0.0,1.2319017333503004,0.863077806861711,2,1
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,spot_lf,1.3841953429705758,1706,1.191630213859696,727,1.188790686461239,654,20.0,0.0,1.191630213859696,1.188790686461239,3,1
voladj_L20s0_zw120_sm0,momentum174,voladj,,120,0,spot_lf,1.1491676072551729,1706,1.1448219800878767,727,1.2374186147840642,654,20.0,0.0,1.1448219800878767,1.1448219800878767,4,1
winrate_L60s0_zw40_sm5,momentum174,winrate,,40,5,spot_lf,0.8295922255396115,1706,0.8607892275781223,727,0.38614270025051795,654,60.0,0.0,0.8295922255396115,0.38614270025051795,21,1
smooth_L20s0_zw120_sm0,momentum174,smooth,,120,0,spot_lf,1.2425391150724803,1706,1.354074536450406,727,0.9942725657225231,654,20.0,0.0,1.2425391150724803,0.9942725657225231,1,1
highdist_L60s0_zw40_sm5,momentum174,highdist,,40,5,spot_lf,1.1639676735046334,1706,1.1147511357459556,727,1.2063704650724503,654,60.0,0.0,1.1147511357459556,1.1147511357459556,6,1
