date,IC,IM,old,fixed
2015-04-16,0.3249725021363202,,0.3249725021363202,0.1624862510681601
2015-04-17,0.36352785592206466,,0.36352785592206466,0.18176392796103233
2015-04-20,0.4054176959632526,,0.4054176959632526,0.2027088479816263
2015-04-21,-0.051951781409373086,,-0.051951781409373086,-0.025975890704686543
2015-04-22,0.25477515346795737,,0.25477515346795737,0.12738757673397869
2015-04-23,0.28622942479578317,,0.28622942479578317,0.14311471239789159
2015-04-24,0.1897142886554428,,0.1897142886554428,0.0948571443277214
2015-04-27,0.39496930347599224,,0.39496930347599224,0.19748465173799612
2015-04-28,0.3103339466273203,,0.3103339466273203,0.15516697331366014
2015-04-29,0.3411865464662078,,0.3411865464662078,0.1705932732331039
2015-04-30,0.37599755425426307,,0.37599755425426307,0.18799877712713153
2015-05-04,0.636622119777416,,0.636622119777416,0.318311059888708
2015-05-05,0.2419164264848467,,0.2419164264848467,0.12095821324242335
2015-05-06,0.2117288260073858,,0.2117288260073858,0.1058644130036929
2015-05-07,-0.04573192333805198,,-0.04573192333805198,-0.02286596166902599
2015-05-08,0.1913277577084482,,0.1913277577084482,0.0956638788542241
2015-05-11,0.729490940754271,,0.729490940754271,0.3647454703771355
2015-05-12,1.3616428594787136,,1.3616428594787136,0.6808214297393568
2015-05-13,0.28318146824199364,,0.28318146824199364,0.14159073412099682
2015-05-14,0.24203519007946206,,0.24203519007946206,0.12101759503973103
2015-05-15,0.19452887364166194,,0.19452887364166194,0.09726443682083097
2015-05-18,0.13476359478952005,,0.13476359478952005,0.06738179739476002
2015-05-19,0.005203966207453886,,0.005203966207453886,0.002601983103726943
2015-05-20,-0.01241802913646783,,-0.01241802913646783,-0.006209014568233915
2015-05-21,-0.15096425076156916,,-0.15096425076156916,-0.07548212538078458
2015-05-22,0.04928768302959081,,0.04928768302959081,0.024643841514795404
2015-05-25,0.10686697031600283,,0.10686697031600283,0.05343348515800141
2015-05-26,-0.23254708917590125,,-0.23254708917590125,-0.11627354458795063
2015-05-27,-0.08263335614380465,,-0.08263335614380465,-0.04131667807190233
2015-05-28,-0.18287547507816085,,-0.18287547507816085,-0.09143773753908042
2015-05-29,-0.2688273685690633,,-0.2688273685690633,-0.13441368428453165
2015-06-01,-1.0387800534330356,,-1.0387800534330356,-0.5193900267165178
2015-06-02,-0.7178951827644638,,-0.7178951827644638,-0.3589475913822319
2015-06-03,-0.2559864011715877,,-0.2559864011715877,-0.12799320058579386
2015-06-04,0.2134995408288408,,0.2134995408288408,0.1067497704144204
2015-06-05,0.457398408750285,,0.457398408750285,0.2286992043751425
2015-06-08,1.2884180434303172,,1.2884180434303172,0.6442090217151586
2015-06-09,1.0384220074198232,,1.0384220074198232,0.5192110037099116
2015-06-10,0.7969867418588409,,0.7969867418588409,0.39849337092942044
2015-06-11,0.43148391866650604,,0.43148391866650604,0.21574195933325302
2015-06-12,0.5333136696890542,,0.5333136696890542,0.2666568348445271
2015-06-15,0.8397366709221221,,0.8397366709221221,0.41986833546106106
2015-06-16,0.45665722884041665,,0.45665722884041665,0.22832861442020833
2015-06-17,0.1224778957411489,,0.1224778957411489,0.06123894787057445
2015-06-18,0.17167902232806928,,0.17167902232806928,0.08583951116403464
2015-06-19,-0.0033839004962531298,,-0.0033839004962531298,-0.0016919502481265649
2015-06-23,0.2789587235641548,,0.2789587235641548,0.1394793617820774
2015-06-24,0.32399727119020805,,0.32399727119020805,0.16199863559510402
2015-06-25,0.878447618567272,,0.878447618567272,0.439223809283636
2015-06-26,0.8597838941138543,,0.8597838941138543,0.4298919470569271
