name,reference,cost_bps,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs
two_pool_ew_L20_zw100_sm0__slope_L20s0_zw120_sm0_3bps,two_pool_ew_L20_zw40_sm5__slope_L20s0_zw120_sm0_3bps,3.0,-0.4514883228572957,-0.8170940128464009,-0.13594448792185826,0.010994502748625687,-0.4664278551865913,0.17302570759972727,20,2000,20260914,2776
two_pool_ew_L20_zw100_sm0__slope_L20s0_zw120_sm0_3bps,two_pool_ew_L20_zw40_sm5__slope_L20s0_zw120_sm0_3bps,3.0,-0.4514883228572957,-0.8582949645337655,-0.12191181472700213,0.02148925537231384,-0.47538987351408,0.1851265267063071,60,2000,20260914,2776
two_pool_ew_L20_zw100_sm0__slope_L20s0_zw120_sm0_10bps,two_pool_ew_L20_zw40_sm5__slope_L20s0_zw120_sm0_10bps,10.0,-0.45016569973350984,-0.8115092059758291,-0.1358576318698479,0.009495252373813094,-0.4642674190112195,0.17051481491007106,20,2000,20260914,2776
two_pool_ew_L20_zw100_sm0__slope_L20s0_zw120_sm0_10bps,two_pool_ew_L20_zw40_sm5__slope_L20s0_zw120_sm0_10bps,10.0,-0.45016569973350984,-0.8499651596538531,-0.12755120287547475,0.02048975512243878,-0.4762025978805993,0.18113406213457134,60,2000,20260914,2776
