date,factor_value,position_中证1000,position_中证500,position_沪深300,position_common
2014-08-19,0.1075,0,1,1,1
2014-08-20,0.1643,0,1,1,1
2014-08-21,0.3193,0,1,1,1
2014-08-22,0.3435,0,1,1,1
2014-08-25,-0.0077,0,1,1,1
2014-08-26,-0.2771,0,1,1,1
2014-08-27,-0.1169,0,1,1,1
2014-08-28,-0.4446,0,1,1,1
2014-08-29,-0.3845,0,1,1,1
2014-09-01,0.0038,0,1,1,1
2014-09-02,-0.0859,0,1,1,1
2014-09-03,-0.1272,0,1,1,1
2014-09-04,-0.1955,0,1,1,1
2014-09-05,-0.3469,0,1,1,1
2014-09-09,-0.5451,0,1,1,1
2014-09-10,-0.2845,0,1,1,1
2014-09-11,-0.1887,0,1,1,1
2014-09-12,-0.2959,0,1,1,1
2014-09-15,-0.2081,0,1,1,1
2014-09-16,-0.4369,0,1,1,1
2014-09-17,-0.535,0,1,1,1
2014-09-18,-0.435,0,1,1,1
2014-09-19,-0.1756,0,1,1,1
2014-09-22,0.1584,0,1,1,1
2014-09-23,0.4413,0,1,1,1
2014-09-24,0.2339,0,1,1,1
2014-09-25,-0.0664,0,1,1,1
2014-09-26,-0.0665,0,1,1,1
2014-09-29,-0.2767,0,1,1,1
2014-09-30,-0.0726,0,1,1,1
2014-10-08,0.4883,0,1,1,1
2014-10-09,0.4014,0,1,1,1
2014-10-10,0.3384,0,1,1,1
2014-10-13,0.1297,0,1,1,1
2014-10-14,-0.1004,0,1,1,1
2014-10-15,-0.434,0,1,1,1
2014-10-16,-0.3205,0,1,1,1
2014-10-17,-0.0469,0,1,1,1
2014-10-20,0.1634,0,1,1,1
2014-10-21,0.2447,0,1,1,1
2014-10-22,0.1901,0,1,1,1
2014-10-23,0.2747,0,1,1,1
2014-10-24,0.1374,0,1,1,1
2014-10-27,0.216,0,1,1,1
2014-10-28,-0.2177,0,1,1,1
2014-10-29,-0.5328,0,1,1,1
2014-10-30,-0.7247,-1,-1,0,-1
2014-10-31,-0.8085,-1,-1,-1,-1
2014-11-03,-0.7932,-1,-1,-1,-1
2014-11-04,-0.7417,-1,-1,-1,-1
2014-11-05,-0.5859,-1,-1,-1,-1
2014-11-06,-0.3511,-1,-1,-1,-1
2014-11-07,-0.0888,-1,-1,0,-1
2014-11-10,-0.2276,-1,-1,0,-1
2014-11-11,0.04,-1,-1,0,-1
2014-11-12,-0.0988,-1,-1,0,-1
2014-11-13,-0.2856,-1,-1,0,-1
2014-11-14,-0.1775,-1,-1,0,-1
2014-11-17,0.3051,-1,-1,0,-1
2014-11-18,0.4017,-1,-1,0,-1
2014-11-19,0.5919,0,0,0,0
2014-11-20,0.6059,0,0,1,0
2014-11-21,0.4408,0,0,1,0
2014-11-24,0.0209,0,0,1,0
2014-11-25,0.0272,0,0,1,0
2014-11-26,-0.1597,0,0,1,0
2014-11-27,-0.0192,0,0,1,0
2014-11-28,-0.0399,0,0,1,0
2014-12-01,0.1759,0,0,1,0
2014-12-02,-0.0768,0,0,1,0
2014-12-03,0.025,0,0,1,0
2014-12-04,-0.2442,0,0,1,0
2014-12-05,-0.2083,0,0,1,0
2014-12-08,-0.6407,0,0,1,0
2014-12-09,-0.4788,0,0,1,0
2014-12-10,-0.4909,0,0,1,0
2014-12-11,-0.3311,0,0,1,0
2014-12-12,-0.2244,0,0,1,0
2014-12-15,0.4176,0,0,1,0
2014-12-16,0.1178,0,0,1,0
2014-12-17,-0.0937,0,0,1,0
2014-12-18,-0.07,0,0,1,0
2014-12-19,-0.5427,0,0,1,0
2014-12-22,-0.7004,-1,-1,0,-1
2014-12-23,-0.2872,-1,-1,0,-1
2014-12-24,0.1965,-1,-1,0,-1
2014-12-25,-0.0142,-1,-1,0,-1
2014-12-26,0.2494,-1,-1,0,-1
2014-12-29,0.2351,-1,-1,0,-1
2014-12-30,-0.0062,-1,-1,0,-1
2014-12-31,-0.3389,-1,-1,0,-1
2015-01-05,-0.3257,-1,-1,0,-1
2015-01-06,0.2468,-1,-1,0,-1
2015-01-07,0.309,-1,-1,0,-1
2015-01-08,0.5186,0,0,0,0
2015-01-09,0.5651,0,0,0,0
2015-01-12,0.7866,1,1,1,1
2015-01-13,0.7035,1,1,1,1
2015-01-14,0.7328,1,1,1,1
2015-01-15,0.4136,1,1,1,1
2015-01-16,0.4027,1,1,1,1
2015-01-19,0.5275,1,1,1,1
2015-01-20,0.5191,1,1,1,1
2015-01-21,0.2865,1,1,1,1
2015-01-22,0.5352,1,1,1,1
2015-01-23,0.3367,1,1,1,1
2015-01-26,-0.1974,1,1,1,1
2015-01-27,-0.3532,1,1,1,1
2015-01-28,-0.1413,1,1,1,1
2015-01-29,-0.2737,1,1,1,1
2015-01-30,-0.0876,1,1,1,1
2015-02-02,0.1627,1,1,1,1
2015-02-03,0.0955,1,1,1,1
2015-02-04,0.0279,1,1,1,1
2015-02-05,0.2151,1,1,1,1
2015-02-06,0.2028,1,1,1,1
2015-02-09,-0.26,1,1,1,1
2015-02-10,-0.1805,1,1,1,1
2015-02-11,0.0393,1,1,1,1
2015-02-12,-0.1774,1,1,1,1
2015-02-13,-0.2372,1,1,1,1
2015-02-16,0.1043,1,1,1,1
2015-02-17,0.0253,1,1,1,1
2015-02-25,-0.1697,1,1,1,1
2015-02-26,-0.4276,1,1,1,1
2015-02-27,-0.3184,1,1,1,1
2015-03-02,-0.4491,1,1,1,1
2015-03-03,-0.3711,1,1,1,1
2015-03-04,-0.0116,1,1,1,1
2015-03-05,0.5101,1,1,1,1
2015-03-06,-0.0626,1,1,1,1
2015-03-09,-0.1149,1,1,1,1
2015-03-10,0.1796,1,1,1,1
2015-03-11,-0.2049,1,1,1,1
2015-03-12,-0.5592,1,1,1,1
2015-03-13,-0.1,1,1,1,1
2015-03-16,-0.0239,1,1,1,1
