date,ret,equity,gross_pnl,pre_fill_pnl,post_fill_pnl,cost,cost_return,trade_notional,turnover,net_notional,gross_notional,rolls,symbols,decision_signal
2024-08-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2024-08-15,-0.00029999999999996696,0.9997,0.0,0.0,0.0,0.0003,0.0003,1.0,1.0,1.000300090027008,1.000300090027008,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-16,-0.005339713585403971,0.9943618883286717,-0.0053376946073467706,-0.0053376946073467706,0.0,4.1706398162051526e-07,4.1718913836202383e-07,0.0013902132720683843,0.0013906304612067463,1.0000004194287677,1.0000004194287677,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-19,0.0038695587923953667,0.9982096301164767,0.0038478210778388495,0.0038478210778388495,0.0,7.92900338167761e-08,7.97396146689081e-08,0.000264300112722587,0.000265798715563027,1.000000079432247,1.000000079432247,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-20,-0.018932712871028046,0.9793108138043863,-0.018898704786213028,-0.018898704786213028,0.0,1.115258773012048e-07,1.1172590800210107e-07,0.0003717529243373493,0.00037241969334033683,1.0000001138820034,1.0000001138820034,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-21,-0.0018066307771443801,0.977541560747777,-0.0017688123758424856,-0.0017688123758424856,0.0,4.4068076685628495e-07,4.499907084088518e-07,0.0014689358895209497,0.0014999690280295059,1.000000450805147,1.000000450805147,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-22,-0.011522177179645099,0.9662781536843743,-0.011263192903165707,-0.011263192903165707,0.0,2.141602369572443e-07,2.1908044174962854e-07,0.0007138674565241477,0.0007302681391654284,1.0000002216341497,1.0000002216341497,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-23,0.0006441329798507756,0.9669005653108718,0.0006224817229059583,0.0006224817229059583,0.0,7.009640844021265e-08,7.254268160046696e-08,0.00023365469480070882,0.0002418089386682232,1.0000000724959845,1.0000000724959845,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-26,0.0025158866663399504,0.9693331775508139,0.0024328028452800126,0.0024328028452800126,0.0,1.9060533788750215e-07,1.971302373023434e-07,0.0006353511262916739,0.0006571007910078114,1.0000001966355245,1.0000001966355245,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-27,-0.01040379357706267,0.959248435264177,-0.01008472315210536,-0.01008472315210536,0.0,1.9134531469375488e-08,1.9739891208224354e-08,6.378177156458496e-05,6.579963736074785e-05,1.0000000199474202,1.0000000199474202,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-28,0.0012127644129560355,0.9604117776296491,0.0011635115678863127,0.0011635115678863127,0.0,1.6920241423111887e-07,1.7639060749108287e-07,0.0005640080474370629,0.0005879686916369429,1.0000001761769464,1.0000001761769464,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-29,0.01583369991716599,0.9756186495135489,0.015207307925464049,0.015207307925464049,0.0,4.3604156434778806e-07,4.5401521982993946e-07,0.0014534718811592936,0.0015133840660997982,1.0000004469385293,1.0000004469385293,0,IC2409.CFE|IM2409.CFE,1.0
2024-08-30,0.019265216290268228,0.9944141538132468,0.018795916543845555,0.018795916543845555,0.0,4.122441476798664e-07,4.2254639954393507e-07,0.0013741471589328882,0.0014084879984797838,1.0000004145598151,1.0000004145598151,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-02,-0.021775531520218938,0.9727602570627346,-0.021653588371585736,-0.021653588371585736,0.0,3.083789264672915e-07,3.1011115970620603e-07,0.0010279297548909717,0.0010337038656873534,1.000000317014315,1.000000317014315,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-03,0.008330556580551818,0.9808638914235078,0.00810401043594892,0.00810401043594892,0.0,3.760751756262943e-07,3.8660622994802376e-07,0.0012535839187543143,0.0012886874331600794,1.000000383412193,1.000000383412193,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-04,-0.001974627219469949,0.9789270508849077,-0.0019366968029651678,-0.0019366968029651678,0.0,1.4373563492422145e-07,1.4653983715887517e-07,0.00047911878308073817,0.0004884661238629172,1.0000001468297712,1.0000001468297712,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-05,0.007057345625213873,0.9858356774248738,0.006909208158827297,0.006909208158827297,0.0,5.816188613400902e-07,5.941391248861004e-07,0.0019387295378003008,0.001980463749620335,1.000000589975464,1.000000589975464,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-06,-0.01616468207158117,0.9698999571244789,-0.0159353317855775,-0.0159353317855775,0.0,3.885148174355412e-07,3.940969335278984e-07,0.001295049391451804,0.0013136564450929949,1.0000004005720533,1.0000004005720533,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-09,-0.007696621309894791,0.9624350044460085,-0.007464616992384483,-0.007464616992384483,0.0,3.3568608589518264e-07,3.4610382589397314e-07,0.0011189536196506088,0.0011536794196465772,1.0000003487883176,1.0000003487883176,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-10,0.001638613499525432,0.9640120634367096,0.0015776350643298504,0.0015776350643298504,0.0,5.76073628644263e-07,5.985584751002062e-07,0.00192024542881421,0.0019951949170006872,1.0000005975792736,1.0000005975792736,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-11,0.0019364250859248422,0.9658788005794826,0.0018672197325683242,0.0018672197325683242,0.0,4.825897953463765e-07,5.006055563515882e-07,0.0016086326511545886,0.0016686851878386273,1.0000004996380447,1.0000004996380447,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-12,-0.0021346485876474475,0.963816988761987,-0.0020616077644645386,-0.0020616077644645386,0.0,2.040530311170585e-07,2.1126152783831278e-07,0.000680176770390195,0.0007042050927943759,1.0000002117134617,1.0000002117134617,0,IC2409.CFE|IM2409.CFE,1.0
2024-09-13,-0.011808362147846418,0.9524358887144386,-0.011095273136611617,-0.011095273136611617,0.0,0.000285826910936759,0.00029655724506775995,0.9527563697891966,0.9885241502258665,1.0003001009457155,1.0003001009457155,1,IC2412.CFE|IM2409.CFE,1.0
2024-09-18,-0.0006077033611198157,0.9518570902236158,-0.0002930698971044441,-0.0002930698971044441,0.0,0.00028572859371848124,0.000299997718590956,0.9524286457282709,0.9999923953031867,1.0003001801390703,1.0003001801390703,1,IC2412.CFE|IM2412.CFE,1.0
2024-09-19,0.019017143696602012,0.9699586932870278,0.01810205759682404,0.01810205759682404,0.0,4.545334120066214e-07,4.775227465079235e-07,0.0015151113733554047,0.0015917424883597454,1.000000468611102,1.000000468611102,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-20,-0.006746318846493127,0.9634150426741857,-0.006543500529803854,-0.006543500529803854,0.0,1.5008303818308206e-07,1.5473137074989836e-07,0.0005002767939436068,0.0005157712358329946,1.0000001557823281,1.0000001557823281,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-23,0.002854419355886373,0.9661650332197469,0.002750215947287426,0.002750215947287426,0.0,2.2540172613519136e-07,2.339611861462488e-07,0.0007513390871173046,0.000779870620487496,1.0000002332952638,1.0000002332952638,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-24,0.051121827101347606,1.0155571549993745,0.049392124735452514,0.049392124735452514,0.0,2.95582499593873e-09,3.0593375813741024e-09,9.852749986462433e-06,1.0197791937913675e-05,1.0000000029105451,1.0000000029105451,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-25,0.006267069804452019,1.0219217225801662,0.006364611362261808,0.006364611362261808,0.0,4.3781469900799324e-08,4.3110788679172166e-08,0.00014593823300266442,0.00014370262893057388,1.000000042842293,1.000000042842293,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-26,0.05780214746876555,1.0809909926902799,0.05906928471783547,0.05906928471783547,0.0,1.460772187841767e-08,1.4294364779266883e-08,4.869240626139223e-05,4.764788259755627e-05,1.000000013513269,1.000000013513269,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-27,0.08581366175971761,1.173754788102305,0.09276407291323945,0.09276407291323945,0.0,2.775012144266356e-07,2.567100154424172e-07,0.0009250040480887854,0.0008557000514747239,1.0000002364217955,1.0000002364217955,0,IC2412.CFE|IM2412.CFE,1.0
2024-09-30,0.08972589776699302,1.2790709902230908,0.10531639468173788,0.10531639468173788,0.0,1.9256095203119642e-07,1.6405551992893148e-07,0.0006418698401039881,0.0005468517330964383,1.0000001505475096,1.0000001505475096,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-08,0.05049385983094257,1.3436562215172405,0.0645934671451819,0.0645934671451819,0.0,8.235851032190767e-06,6.438931924141521e-06,0.027452836773969223,0.021463106413805073,1.0000061294331841,1.0000061294331841,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-09,-0.06168253512152655,1.2607760994422457,-0.08287441694613489,-0.08287441694613489,0.0,5.705128859975976e-06,4.2459736118616804e-06,0.01901709619991992,0.01415324537287227,1.000004525092808,1.000004525092808,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-10,-0.013830644266893732,1.2433387537106582,-0.017436819682230157,-0.017436819682230157,0.0,5.260493574650167e-07,4.172424887319291e-07,0.0017534978582167222,0.0013908082957730969,1.0000004230941535,1.0000004230941535,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-11,-0.04329432068073147,1.189509246992728,-0.05382910203651277,-0.05382910203651277,0.0,4.046814174031271e-07,3.254796138183448e-07,0.0013489380580104238,0.0010849320460611493,1.0000003402087192,1.0000003402087192,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-14,0.02724083524871479,1.2219124724168797,0.03240531268243839,0.03240531268243839,0.0,2.087258286623629e-06,1.7547222032115815e-06,0.0069575276220787624,0.005849074010705271,1.0000017081896893,1.0000017081896893,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-15,-0.026747704266243066,1.1892291189654391,-0.0326831795678804,-0.0326831795678804,0.0,1.738835601657517e-07,1.423044318565789e-07,0.0005796118672191724,0.00047434810618859636,1.000000146215357,1.000000146215357,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-16,0.0071283396377450625,1.1977063480325212,0.008478601965146831,0.008478601965146831,0.0,1.372898064784013e-06,1.1544437004522352e-06,0.004576326882613377,0.0038481456681741175,1.0000011462726794,1.0000011462726794,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-17,-0.007920946910884852,1.1882193796349259,-0.009486513305024015,-0.009486513305024015,0.0,4.5509257139865165e-07,3.799700754247773e-07,0.0015169752379955055,0.001266566918082591,1.0000003830038284,1.0000003830038284,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-18,0.04687394213432938,1.243915906078822,0.0556991028722954,0.0556991028722954,0.0,2.5764283990705246e-06,2.168310366947658e-06,0.008588094663568415,0.007227701223158859,1.000002071223936,1.000002071223936,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-21,0.015053321486101945,1.2626409721147025,0.018725611482067906,0.018725611482067906,0.0,5.454461876343479e-07,4.3849120745931287e-07,0.0018181539587811596,0.0014616373581977096,1.000000431988348,1.000000431988348,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-22,0.0075950597017546695,1.2722308056797953,0.009590889276428465,0.009590889276428465,0.0,1.055711335617787e-06,8.361136371566141e-07,0.0035190377853926234,0.002787045457188714,1.0000008298111718,1.0000008298111718,0,IC2412.CFE|IM2412.CFE,1.0
2024-10-23,0.0025872245329656707,1.2755223524318446,0.0032915769600728923,0.0032915769600728923,0.0,3.0208023541093037e-08,2.3744137782414317e-08,0.00010069341180364346,7.914712594138107e-05,1.000000023682865,1.000000023682865,0,IC2412.CFE|IM2412.CFE,1.0
