name,cost_bps,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day
futures_ew,3.0,504,0.6297167888607066,0.8104901917655258,2.3502790631873425,-0.1276549808695192,0.2679327739092877,-0.03116653222728421,-0.06168253512152655
futures_always_long,3.0,504,0.3679399874579864,0.39286112799266004,1.3629060874147017,-0.1857167066121641,0.2699672346140388,-0.037214656006309764,-0.09984359127077846
spot_slope,3.0,504,0.3420548843605962,0.3813650156568083,1.7538267512286438,-0.1462234562427992,0.1950334513491538,-0.026748781304055738,-0.0723743305108413
spot_ew,3.0,504,0.4245761563738771,0.500818733659264,2.2072609116206534,-0.11894937003471506,0.19235431304862705,-0.024631511801289942,-0.0723743305108413
current_two_pool,3.0,504,0.5001661899360728,0.6110976241922241,2.3283457232207447,-0.11680107605624712,0.21481611813395346,-0.025831738850684224,-0.06694085689116958
ew_two_pool,3.0,504,0.5329216775553688,0.663289336959082,2.437754591246343,-0.11680107605624712,0.21861170089434792,-0.02567826939279435,-0.06694085689116958
futures_ew,10.0,504,0.6080609692370773,0.7717077809369669,2.2679597381843495,-0.12925081483370282,0.2681092432989441,-0.031296205701861236,-0.06169332473230327
futures_always_long,10.0,504,0.36188620529065646,0.3844406603089573,1.3401556353083757,-0.18692340572974564,0.27003296912405617,-0.0372164695455745,-0.09984404886665565
spot_slope,10.0,504,0.3357906055744851,0.37274429067519543,1.7215318675796596,-0.14865244689793788,0.19505337769121908,-0.026751438601919822,-0.07237757918195886
spot_ew,10.0,504,0.41729309855822716,0.4899522765710322,2.1696453530627458,-0.11895516622539493,0.19233240030181062,-0.02463388665283312,-0.07237757918195886
current_two_pool,10.0,504,0.48407234321889686,0.585543548257773,2.2571433079056082,-0.11681310107950182,0.21446238771080298,-0.0258610021185899,-0.06695581753388502
ew_two_pool,10.0,504,0.5170426188487229,0.6372489579088747,2.3684781913062958,-0.11681310107950182,0.21830161693976016,-0.025731351343369843,-0.06695581753388502
