index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
399102.SZ,chinext,2026-06-30T00:00:00,622,775,39541696.54449986,38115899.44429996,1425797.0999999964,287315.4675999997,136496.2096999999,1191922.5165999997,233874.5836000003,-1310047.1459000027,-115749.95609999985
399102.SZ,chinext,2026-06-29T00:00:00,480,915,40124779.55959999,41931112.92779997,-1806333.370000001,-621315.1965999998,157326.79090000025,-1001102.8955999988,-805230.4725999996,679088.0813000018,1127245.2872000006
399102.SZ,chinext,2026-06-26T00:00:00,418,980,40458034.76849996,44856799.9012,-4398765.1319,-1468925.695700001,-427219.0472999997,-2879684.2889000024,-1519080.843800003,1702920.9793999984,2695844.152400001
399102.SZ,chinext,2026-06-25T00:00:00,496,903,45533126.91950007,45820225.2368,-287101.3353999998,-128517.81870000003,47018.12389999999,342559.4030999995,-629657.7204000007,-327063.28499999916,614161.6065
399102.SZ,chinext,2026-06-24T00:00:00,574,825,36818410.840000026,37360914.62019998,-542503.7786999996,-676766.4213000012,79526.10170000012,-67434.6247000006,-475069.15550000063,49106.93439999961,493396.84669999976
399102.SZ,chinext,2026-06-23T00:00:00,540,859,38237069.80170001,42612864.80590003,-4375795.010099996,-1319059.533299999,-465414.22259999905,-3012353.100200002,-1363441.9040000022,1804553.1254999987,2571241.8826000006
399102.SZ,chinext,2026-06-22T00:00:00,495,903,46465878.088999905,47310439.89020002,-844561.7978000004,-582293.6951999998,411853.4226999998,-792253.5495000005,-52308.25170000015,458229.39899999974,386332.396199999
399102.SZ,chinext,2026-06-18T00:00:00,547,849,39166712.04460001,39315451.631600045,-148739.58669999999,-77080.55430000012,-17041.83450000004,-61394.50220000044,-87345.08480000045,-329437.84069999953,478177.42920000124
399102.SZ,chinext,2026-06-17T00:00:00,598,798,36895014.724400036,37100527.04780003,-205512.3271000001,-415811.4498999998,455065.17350000003,242771.33610000016,-448283.65949999995,-117872.92699999972,323385.2520999996
399102.SZ,chinext,2026-06-16T00:00:00,593,803,36620238.52799995,36240634.00290004,379604.5240000004,-76288.49289999995,-109849.27539999994,419463.55739999947,-39859.03230000036,-229146.78880000036,-150457.73549999992
399102.SZ,chinext,2026-06-15T00:00:00,722,673,35723370.51820012,33926411.80879994,1796965.4454999976,316060.4649000003,429618.09529999987,1790298.8274000003,6659.882000000065,-1468686.7014999979,-328272.0134999999
399102.SZ,chinext,2026-06-12T00:00:00,645,752,35068383.64850003,35365639.63169998,-297255.98110000225,359398.6913000002,-323618.7634,-141271.67239999978,-155984.31079999963,-71370.9768999996,368626.9573999998
399102.SZ,chinext,2026-06-11T00:00:00,487,909,26522184.632300045,28225493.377100002,-1703308.7461,-293532.3819000005,69833.6488000001,-956982.2489999997,-746326.4957999998,840474.1709,862834.5749999983
399102.SZ,chinext,2026-06-10T00:00:00,447,950,25303190.794800017,28138096.32129992,-2834905.524599998,-884227.7111999999,-42644.10999999994,-1832786.017000003,-1002119.5094999993,1060794.9497000012,1774110.5757999984
399102.SZ,chinext,2026-06-09T00:00:00,664,734,32032110.101599954,30578586.75749994,1453523.3442999984,211456.31150000024,379825.58289999986,973938.1981999998,479585.1459000001,-941702.6137999997,-511820.7297999996
399102.SZ,chinext,2026-06-08T00:00:00,489,907,28912154.322100062,32058963.709299956,-3146809.3883000016,-1038651.9703999988,-196362.24470000024,-1761011.6773999978,-1385797.7097999991,773760.0300999988,2373049.358100001
399102.SZ,chinext,2026-06-05T00:00:00,562,835,35046156.85559991,37690558.86249982,-2644402.0058,-650269.9398999987,-597641.5599000003,-2136806.6221000063,-507595.38480000343,1379151.3142,1265250.6889000002
399102.SZ,chinext,2026-06-04T00:00:00,477,919,29248121.591299973,30917225.543500066,-1669103.9522000002,-861275.5031999993,17323.630700000016,-886920.2416999993,-782183.7105000003,495226.1329999989,1173877.8214999977
399102.SZ,chinext,2026-06-03T00:00:00,528,868,36757852.89370003,37422457.86339993,-664604.9690999988,51907.415500000294,-385128.2489000008,-528341.7304000002,-136263.23930000022,57444.098400000104,607160.8720999984
399102.SZ,chinext,2026-06-02T00:00:00,541,854,31119950.219700065,31322396.247899964,-202446.03060000023,-900605.561,123045.67550000008,212625.4757999999,-415071.5040000004,-380896.31079999974,583342.3409000001
399102.SZ,chinext,2026-06-01T00:00:00,574,821,30112618.312400017,32090355.16889994,-1977736.854700001,-151515.41460000043,-380413.6621999999,-1302797.3006000016,-674939.5558999999,504953.78110000066,1472783.074199997
399102.SZ,chinext,2026-05-29T00:00:00,478,917,36288552.89549995,40049345.24449998,-3760791.7674,-574746.1685000007,-543833.7951000006,-2204190.7585999942,-1556601.590400001,897959.350499999,2862832.997299998
399102.SZ,chinext,2026-05-28T00:00:00,557,838,33955176.99269993,34052727.472900026,-97550.48179999866,-855777.4369999997,246604.18459999983,166442.59209999986,-263993.07229999953,-583539.0965999995,681089.5773999977
