index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2020-04-30T00:00:00,187,112,10758395.546900002,9717750.7103,1040644.8366000012,628353.3054999998,81451.45780000002,874951.8152999994,165693.02129999996,-465971.39570000017,-574673.4408999998
000300.SH,csi_300,2020-04-29T00:00:00,141,158,7283400.242099997,7578730.647800005,-295330.40569999977,-121625.02140000003,1869.1441000000061,-134370.85880000016,-160959.54690000013,36771.24010000001,258559.16559999998
000300.SH,csi_300,2020-04-28T00:00:00,134,165,9079984.791100007,8821669.929399997,258314.8617,-188883.47019999998,41306.52760000002,378236.12320000026,-119921.26150000002,-250129.83879999994,-8185.022899999998
000300.SH,csi_300,2020-04-27T00:00:00,137,162,6911316.302999998,6889050.701699995,22265.601299999864,95580.68959999997,-66371.05670000004,99122.21060000006,-76856.60929999998,-116777.84450000008,94512.24320000003
000300.SH,csi_300,2020-04-24T00:00:00,53,246,5669920.279799997,7082169.411500003,-1412249.131700001,-761627.9415000002,-197697.71620000005,-835379.8457999992,-576869.2858999998,274277.4265000001,1137971.7052
000300.SH,csi_300,2020-04-23T00:00:00,103,195,6331626.406199998,7066294.2681,-734667.8619000001,-398051.78340000013,-150443.47549999988,-395530.1656999998,-339137.6962000001,148098.4362999999,586569.4256000001
000300.SH,csi_300,2020-04-22T00:00:00,131,168,6551763.805300004,6380512.425100001,171251.38019999987,-76281.30329999996,129321.05209999988,229229.87030000013,-57978.49009999995,-193446.9004,22195.520199999984
000300.SH,csi_300,2020-04-21T00:00:00,52,247,6631986.023900003,8110675.858000005,-1478689.8341000017,-952910.4705,34668.31059999999,-817504.9465,-661184.8876000001,286323.96310000005,1192365.8709999996
000300.SH,csi_300,2020-04-20T00:00:00,108,191,7063519.501600001,7555512.5397999985,-491993.03820000036,-333402.79030000017,47192.23290000006,-356737.2106,-135255.82760000005,181676.71089999998,310316.3272999999
000300.SH,csi_300,2020-04-17T00:00:00,162,137,10763012.407100003,10052220.9611,710791.4460000002,519710.23750000016,-82723.6334,673351.8668000002,37439.57919999999,-497053.28170000005,-213738.1642999999
000300.SH,csi_300,2020-04-16T00:00:00,131,168,6566347.110999993,6716175.030400003,-149827.91939999975,-218770.09540000008,123608.06000000004,56473.1084,-206301.02780000013,-43380.08340000003,193208.0028000001
000300.SH,csi_300,2020-04-15T00:00:00,89,210,7916741.695799998,8561314.181500003,-644572.4856999998,-341233.23449999985,-157000.84619999988,-319684.42939999996,-324888.05630000023,109838.90680000003,534733.5789000005
000300.SH,csi_300,2020-04-14T00:00:00,199,100,8940605.554000001,7993130.205799995,947475.3481999998,509297.32940000016,358874.4244999998,651908.0837000001,295567.2644999998,-325971.5557,-621503.7924999996
000300.SH,csi_300,2020-04-13T00:00:00,88,211,5364510.311799996,6007423.299999999,-642912.9881999998,-465938.96859999973,-70190.3264,-397361.67769999994,-245551.31049999996,68362.73459999998,574550.2536000006
000300.SH,csi_300,2020-04-10T00:00:00,71,228,7339133.768699993,8494815.521200005,-1155681.752499999,-592195.6934999997,-159848.09230000002,-662572.0458999999,-493109.70660000003,127890.96609999999,1027790.7864
